provider_num,npi,name,address,city,state,postcode,fips_county,lat,lon,phone,provider_type_code,category,emergency,upin,pin,region_code,bed_count,clia_lab_number
119,,MEMORY SERVICE - TORBAY,HAYTOR UNIT,TORQUAY,SW,TQ2 7AA,DEVON,50.482325,-3.5537901,,,,,,,,,
120,,"MEMORY SERVICE- EXETER, EAST & MID DEVON",WONFORD HOUSE HOSPITAL,EXETER,SW,EX2 5AF,DEVON,50.715395,-3.5062979,,,,,,,,,
121,,MEMORY SERVICE - NORTH DEVON,NORTH DEVON DISTRICT HOSPITAL,BARNSTAPLE,SW,EX31 4JB,DEVON,51.092201,-4.0511326,,,,,,,,,
122,,THE ALLENDALE COMMUNITY CENTRE,HANHAM ROAD,WIMBORNE,SW,BH21 1AS,DORSET,50.801115,-1.9847789,,,,,,,,,
123,,TORBAY PHARMACEUTICAL,WILKINS DRIVE,PAIGNTON,SW,TQ4 7FG,DEVON,50.426605,-3.5874161,,,,,,,,,
124,,CHARD DENTAL ACCESS CENTRE,21 LEACH ROAD,CHARD,SW,TA20 1FA,SOMERSET,50.885529,-2.9564689,,,,,,,,,
125,,TEWKESBURY COMMUNITY HOSPITAL,BARTON ROAD,TEWKESBURY,SW,GL20 5QN,GLOUCESTERSHIRE,51.992263,-2.1531045,,,,,,,,,
126,,ISTC PENINSULA NHS TREATMENT CENTRE,20 BREST ROAD,PLYMOUTH,SW,PL6 5XP,DEVON,50.412384,-4.1176719,,,,,,,,,
127,,EXMOUTH DERM PRESC,EXMOUTH HOSPITAL,EXMOUTH,SW,EX8 2JN,DEVON,50.620554,-3.4016084,,,,,,,,,
128,,NMP DR BASTIN,GREEN CLOSE,SIDMOUTH,SW,EX10 9JU,DEVON,50.702092,-3.2298579,,,,,,,,,
129,,COOMBEHAVEN WARD,WONFORD HOUSE HOSPITAL,EXETER,SW,EX2 5AF,DEVON,50.715395,-3.5062979,,,,,,,,,
130,,DELDERFIELD WARD,WONFORD HOUSE HOSPITAL,EXETER,SW,EX2 5AF,DEVON,50.715395,-3.5062979,,,,,,,,,
131,,SHERBORNE ECMHT,STEWART LODGE,SHERBORNE,SW,DT9 3JU,DORSET,50.949664,-2.5198404,,,,,,,,,
132,,SHAFTESBURY ECMHT,MELBURY UNIT,SHAFTESBURY,SW,SP7 8BD,DORSET,51.004721,-2.2001501,,,,,,,,,
133,,BLANDFORD ECMHT,BLANDFORD HOSPITAL,BLANDFORD FORUM,SW,DT11 7DD,DORSET,50.863313,-2.1681696,,,,,,,,,
134,,DORCHESTER ECMHT,2ND FLOOR ATRIUM HEALTH CENTRE,DORCHESTER,SW,DT1 1QR,DORSET,50.710824,-2.4382625,,,,,,,,,
135,,BRIDPORT ECMHT,BRIDPORT COMMUNITY HOSPITAL,BRIDPORT,SW,DT6 5DR,DORSET,50.741605,-2.769928,,,,,,,,,
136,,WEYMOUTH ECMHT,WEYMOUTH COMMUNITY HOSPITAL,WEYMOUTH,SW,DT4 7TB,DORSET,50.621054,-2.4510543,,,,,,,,,
137,,INTERMEDIATE CARE SERVICE FOR DEMENTIA,ALDERNEY HOSPITAL,POOLE,SW,BH12 4NB,DORSET,50.748674,-1.9400897,,,,,,,,,
138,,BIDEFORD DADDON COURT,UNIT 1 DADDON COURT,BIDEFORD,SW,EX39 3FH,DEVON,51.010235,-4.2340384,,,,,,,,,
139,,DURSLEY COMMUNITY FIRE AND RESCUE STATION,KINGSHILL ROAD,DURSLEY,SW,GL11 4BZ,GLOUCESTERSHIRE,51.688656,-2.3593451,,,,,,,,,
140,,THE GLENDENNING UNIT,30 MAIDEN CASTLE ROAD,DORCHESTER,SW,DT1 2ER,DORSET,50.706125,-2.4443931,,,,,,,,,
141,,BRIDGWATER COMMUNITY HOSPITAL,BOWER LANE,BRIDGWATER,SW,TA6 4GU,SOMERSET,51.140545,-2.9762254,,,,,,,,,
142,,LIPIDAEMIA CLINIC,179 DORCHESTER ROAD,WEYMOUTH,SW,DT4 7LE,DORSET,50.625193,-2.4575122,,,,,,,,,
143,,PLYMOUTH NUFFIELD HOSPITAL,DERRIFORD ROAD,PLYMOUTH,SW,PL6 8BG,DEVON,50.418667,-4.114461,,,,,,,,,
144,,GLOUCESTERSHIRE COUNTY COUNCIL,SOCIAL SERVICES DEPARTMENT,CHELTENHAM,SW,GL52 6XJ,GLOUCESTERSHIRE,51.895036,-2.0669319,,,,,,,,,
145,,DERMATOLOGY CANFORD HEATH,11 SHELLEY ROAD,BOURNEMOUTH,SW,BH1 4JQ,DORSET,50.729266,-1.8414734,,,,,,,,,
146,,DERMATOLOGY VICTORIA HOSP,11 SHELLEY ROAD,BOURNEMOUTH,SW,BH1 4JQ,DORSET,50.729266,-1.8414734,,,,,,,,,
147,,DERMATOLOGY POOLE HC CNTR,11 SHELLEY ROAD,BOURNEMOUTH,SW,BH1 4JQ,DORSET,50.729266,-1.8414734,,,,,,,,,
148,,DERMATOLOGY CLINIC SHELLEY ROAD,11 SHELLEY ROAD,BOURNEMOUTH,SW,BH1 4JQ,DORSET,50.729266,-1.8414734,,,,,,,,,
149,,TAVYSIDE HEALTH CENTRE,ABBEY RISE,TAVISTOCK,SW,PL19 9FD,DEVON,50.5458,-4.1459048,,,,,,,,,
150,,HIGHLANDS HEALTH CENTRE,FORE STREET,IVYBRIDGE,SW,PL21 9AE,DEVON,50.389303,-3.9214984,,,,,,,,,
151,,BEARWOOD NEIGHBOUR CENTRE,325 KING JOHN AVENUE,BOURNEMOUTH,SW,BH11 9TF,DORSET,50.768193,-1.9321382,,,,,,,,,
152,,EXETER MOBILITY CENTRE,WONFORD ROAD,EXETER,SW,EX2 4DU,DEVON,50.715469,-3.5123772,,,,,,,,,
153,,WEST EXE CHILDREN'S CENTRE,COWICK STREET,EXETER,SW,EX4 1HL,DEVON,50.714863,-3.5468639,,,,,,,,,
154,,THE LIMES SURGERY,CHURCH STILE,EXETER,SW,EX6 8DF,DEVON,50.679142,-3.4937566,,,,,,,,,
155,,SEATON HOSPITAL,VALLEY VIEW ROAD,SEATON,SW,EX12 2UU,DEVON,50.711803,-3.0715061,,,,,,,,,
156,,WOODBURY SURGERY,THE SURGERY,EXETER,SW,EX5 1NZ,DEVON,50.674009,-3.4001574,,,,,,,,,
157,,FH LIPID DISORDER CLINIC,BOSCOMBE & SPRINGBOURNE HEALTH CENT,BOURNEMOUTH,SW,BH1 4HT,DORSET,50.729007,-1.8426078,,,,,,,,,
158,,WOODLANDS,UNIT A,BRIDGWATER,SW,TA6 4FJ,SOMERSET,51.155283,-2.9858737,,,,,,,,,
159,,HEALTHCARE EXETER,30 NEW NORTH ROAD,EXETER,SW,EX4 4EX,DEVON,50.728034,-3.5322218,,,,,,,,,
160,,HEALTHCARE CHANNINGS WOOD,DENBURY,NEWTON ABBOT,SW,TQ12 6DW,DEVON,50.510492,-3.6518204,,,,,,,,,
161,,HEALTHCARE DARTMOOR,PRINCETOWN,YELVERTON,SW,PL20 6RR,DEVON,50.549215,-3.9974867,,,,,,,,,
162,,HEALTHCARE PORTLAND,104 GROVE ROAD,PORTLAND,SW,DT5 1DL,DORSET,50.549904,-2.4217782,,,,,,,,,
163,,HEALTHCARE THE VERNE,VERNE COMMON,PORTLAND,SW,DT5 1EQ,DORSET,50.561525,-2.4358873,,,,,,,,,
164,,NDDH UROLOGY PRESCRIBER,NORTH DEVON DISTRICT HOSPITAL,BARNSTAPLE,SW,EX31 4JB,DEVON,51.092201,-4.0511326,,,,,,,,,
165,,HEALTHCARE GUY'S MARSH,GUYS MARSH,SHAFTESBURY,SW,SP7 0AH,DORSET,50.984693,-2.2212905,,,,,,,,,
166,,ERNSETTLE SURGERY,ERNESETTLE GREEN,PLYMOUTH,SW,PL5 2ST,DEVON,50.420509,-4.1769368,,,,,,,,,
167,,LYDNEY HEALTH CENTRE,ALBERT STREET,LYDNEY,SW,GL15 5NQ,GLOUCESTERSHIRE,51.727904,-2.5298667,,,,,,,,,
168,,LEARNING DISABILITIES,31 SLADES FARM ROAD,BOURNEMOUTH,SW,BH10 4EU,DORSET,50.749533,-1.8948292,,,,,,,,,
169,,GEORGE MOORE COMMUNITY CLINIC,MOORE ROAD,CHELTENHAM,SW,GL54 2AZ,GLOUCESTERSHIRE,51.886326,-1.7567903,,,,,,,,,
170,,AWP WALPOLE ROAD,14 WALPOLE ROAD,BOURNEMOUTH,SW,BH1 4HA,DORSET,50.727068,-1.8451361,,,,,,,,,
171,,TAVISTOCK HOSPITAL,SPRING HILL,TAVISTOCK,SW,PL19 8LD,DEVON,50.547178,-4.1535757,,,,,,,,,
