Carrier,Locality Number,Locality Name,2016 PW GPCI (with 1.0 Floor),2016 PE GPCI,2016 MP GPCI,2017 PW GPCI (with 1.0 Floor),2017 PE GPCI,2017 MP GPCI,2018 PW GPCI ,2018 PE GPCI,2018 MP GPCI
01112,62,"RIVERSIDE-SAN BERNARDINO-ONTARIO, CA",1.027,1.083,0.658,1.024,1.079,0.626,1.020,1.074,0.689,
01112,63,"SACRAMENTO--ROSEVILLE--ARDEN-ARCADE, CA",1.027,1.083,0.658,1.024,1.080,0.610,1.025,1.086,0.562,
01112,64,"SALINAS, CA",1.027,1.083,0.658,1.024,1.083,0.610,1.024,1.092,0.562,
01182,72,"SAN DIEGO-CARLSBAD, CA",1.027,1.083,0.658,1.024,1.088,0.610,1.022,1.102,0.567,
01112,07,"SAN FRANCISCO-OAKLAND-HAYWARD (ALAMEDA/CONTRA COSTA CNTY), CA",1.061,1.260,0.457,1.068,1.293,0.439,1.075,1.325,0.421,
01112,52,"SAN FRANCISCO-OAKLAND-HAYWARD (MARIN CNTY), CA",1.059,1.286,0.496,1.058,1.271,0.477,1.062,1.279,0.458,
01112,05,"SAN FRANCISCO-OAKLAND-HAYWARD (SAN FRANCISCO CNTY), CA",1.079,1.388,0.457,1.077,1.357,0.439,1.075,1.325,0.421,
01112,06,"SAN FRANCISCO-OAKLAND-HAYWARD (SAN MATEO CNTY), CA",1.079,1.372,0.416,1.077,1.349,0.419,1.075,1.325,0.421,
01112,65,"SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY), CA",1.027,1.083,0.658,1.031,1.121,0.610,1.041,1.167,0.562,
01112,09,"SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY), CA",1.088,1.347,0.416,1.086,1.351,0.402,1.083,1.354,0.388,
01182,73,"SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.080,0.562,
01112,66,"SANTA CRUZ-WATSONVILLE, CA",1.027,1.083,0.658,1.024,1.103,0.610,1.026,1.132,0.562,
01182,74,"SANTA MARIA-SANTA BARBARA, CA",1.027,1.083,0.658,1.024,1.091,0.610,1.028,1.108,0.562,
01112,67,"SANTA ROSA, CA",1.027,1.083,0.658,1.024,1.093,0.610,1.023,1.111,0.562,
01112,68,"STOCKTON-LODI, CA ",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01112,53,"VALLEJO-FAIRFIELD, CA",1.059,1.286,0.496,1.057,1.271,0.477,1.055,1.256,0.458,
01112,69,"VISALIA-PORTERVILLE, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01112,70,"YUBA CITY, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
01112,75,"REST OF CALIFORNIA, CA",1.027,1.083,0.658,1.024,1.079,0.610,1.020,1.074,0.562,
04112,01,COLORADO,1.000,1.011,1.090,1.000,1.015,1.066,0.996,1.018,1.042,
13102,00,CONNECTICUT,1.024,1.121,1.232,1.023,1.117,1.244,1.021,1.112,1.255,
12202,01,DC + MD/VA SUBURBS,1.051,1.205,1.280,1.048,1.205,1.271,1.045,1.205,1.261,
12102,01,DELAWARE,1.012,1.031,1.083,1.010,1.025,1.101,1.007,1.019,1.119,
09102,03,"FORT LAUDERDALE, FL ",1.000,1.030,1.715,1.000,1.021,1.756,0.983,1.012,1.797,
09102,04,"MIAMI, FL",1.000,1.033,2.490,1.000,1.031,2.528,0.990,1.029,2.566,
09102,99,REST OF FLORIDA,1.000,0.960,1.315,1.000,0.956,1.337,0.975,0.952,1.358,
10202,01,"ATLANTA, GA",1.000,1.005,0.943,1.000,1.001,1.016,0.998,0.997,1.088,
10202,99,REST OF GEORGIA,1.000,0.899,0.904,1.000,0.899,0.989,0.980,0.899,1.073,
01212,01,"HAWAII, GUAM",1.003,1.162,0.618,1.002,1.154,0.616,1.001,1.146,0.614,
02202,00,IDAHO,1.000,0.898,0.508,1.000,0.900,0.510,0.962,0.902,0.512,
06102,16,"CHICAGO, IL",1.016,1.037,2.019,1.012,1.036,1.972,1.008,1.034,1.925,
06102,12,"EAST ST. LOUIS, IL",1.000,0.934,1.885,1.000,0.935,1.835,0.984,0.936,1.785,
06102,15,"SUBURBAN CHICAGO, IL",1.012,1.057,1.636,1.011,1.055,1.601,1.009,1.053,1.565,
06102,99,REST OF ILLINOIS,1.000,0.909,1.253,1.000,0.914,1.231,0.982,0.919,1.208,
08102,00,INDIANA,1.000,0.921,0.617,1.000,0.920,0.498,0.969,0.919,0.379,
05102,00,IOWA,1.000,0.896,0.493,1.000,0.902,0.458,0.969,0.907,0.423,
05202,00,KANSAS,1.000,0.903,0.662,1.000,0.907,0.639,0.966,0.911,0.615,
15102,00,KENTUCKY,1.000,0.872,0.795,1.000,0.876,0.807,0.974,0.880,0.819,
07202,01,"NEW ORLEANS, LA",1.000,0.983,1.390,1.000,0.975,1.332,0.987,0.966,1.273,
07202,99,REST OF LOUISIANA,1.000,0.887,1.205,1.000,0.887,1.202,0.977,0.887,1.199,
14112,03,SOUTHERN MAINE,1.000,1.007,0.642,1.000,1.007,0.656,0.980,1.007,0.670,
14112,99,REST OF MAINE,1.000,0.918,0.642,1.000,0.920,0.656,0.970,0.922,0.670,
12302,01,"BALTIMORE/SURR. CNTYS, MD",1.023,1.097,1.181,1.023,1.096,1.238,1.023,1.095,1.295,
12302,99,REST OF MARYLAND,1.015,1.036,0.971,1.012,1.035,1.027,1.009,1.033,1.082,
14212,01,"METROPOLITAN BOSTON, MA",1.017,1.163,0.617,1.025,1.171,0.839,1.033,1.179,1.061,
14212,99,REST OF MASSACHUSETTS,1.017,1.066,0.617,1.019,1.067,0.839,1.020,1.067,1.061,
08202,01,"DETROIT, MI",1.000,0.994,1.328,1.000,0.992,1.510,1.000,0.989,1.691,
08202,99,REST OF MICHIGAN,1.000,0.920,0.954,1.000,0.920,0.986,0.978,0.919,1.018,
06202,00,MINNESOTA,1.000,1.020,0.319,1.000,1.016,0.341,0.998,1.011,0.362,
07302,00,MISSISSIPPI,1.000,0.864,0.613,1.000,0.867,0.492,0.961,0.870,0.370,
05302,02,"METROPOLITAN KANSAS CITY, MO",1.000,0.952,1.025,1.000,0.958,1.049,0.984,0.963,1.073,
05302,01,"METROPOLITAN ST. LOUIS, MO",1.000,0.955,1.025,1.000,0.957,1.039,0.985,0.959,1.053,
05302,99,REST OF MISSOURI,1.000,0.848,0.946,1.000,0.856,0.970,0.961,0.863,0.993,
03202,01,MONTANA***,1.000,1.000,1.226,1.000,1.000,1.429,0.965,1.000,1.631,
05402,00,NEBRASKA,1.000,0.908,0.362,1.000,0.909,0.340,0.970,0.910,0.318,
01312,00,NEVADA***,1.005,1.051,0.982,1.004,1.034,0.946,1.002,1.017,0.909,
14312,40,NEW HAMPSHIRE,1.000,1.058,0.873,1.000,1.052,0.962,0.991,1.045,1.050,
12402,01,NORTHERN NJ,1.040,1.182,1.090,1.041,1.181,1.014,1.041,1.180,0.938,
12402,99,REST OF NEW JERSEY,1.025,1.125,1.090,1.025,1.124,1.014,1.024,1.123,0.938,
04212,05,NEW MEXICO,1.000,0.919,1.161,1.000,0.920,1.204,0.982,0.921,1.247,
13202,01,"MANHATTAN, NY",1.052,1.168,1.764,1.052,1.174,1.690,1.052,1.180,1.615,
13202,02,"NYC SUBURBS/LONG ISLAND, NY",1.046,1.209,2.215,1.044,1.207,2.182,1.041,1.205,2.149,
13202,03,"POUGHKPSIE/N NYC SUBURBS, NY",1.010,1.074,1.484,1.013,1.072,1.399,1.016,1.070,1.313,
13292,04,"QUEENS, NY",1.052,1.199,2.181,1.052,1.200,2.151,1.052,1.200,2.121,
13282,99,REST OF NEW YORK,1.000,0.945,0.760,1.000,0.948,0.678,0.987,0.950,0.595,
11502,00,NORTH CAROLINA,1.000,0.930,0.768,1.000,0.931,0.732,0.975,0.931,0.695,
03302,01,NORTH DAKOTA***,1.000,1.000,0.554,1.000,1.000,0.547,0.978,1.000,0.540,
15202,00,OHIO,1.000,0.918,0.993,1.000,0.918,0.999,0.990,0.917,1.005,
04312,00,OKLAHOMA,1.000,0.872,0.845,1.000,0.882,0.900,0.961,0.891,0.954,
02302,01,"PORTLAND, OR",1.005,1.049,0.708,1.008,1.052,0.746,1.010,1.054,0.783,
02302,99,REST OF OREGON,1.000,0.967,0.708,1.000,0.967,0.746,0.991,0.967,0.783,
12502,01,"METROPOLITAN PHILADELPHIA, PA",1.021,1.087,1.264,1.022,1.081,1.322,1.022,1.074,1.379,
12502,99,REST OF PENNSYLVANIA,1.000,0.929,0.987,1.000,0.933,1.010,0.990,0.936,1.033,
09202,20,PUERTO RICO,1.000,0.705,0.293,1.000,0.856,0.642,0.998,1.007,0.990,
14412,01,RHODE ISLAND,1.022,1.053,0.759,1.025,1.052,0.879,1.027,1.050,0.999,
11202,01,SOUTH CAROLINA,1.000,0.912,0.715,1.000,0.912,0.634,0.977,0.912,0.553,
03402,02,SOUTH DAKOTA***,1.000,1.000,0.400,1.000,1.000,0.395,0.961,1.000,0.389,
10302,35,TENNESSEE,1.000,0.898,0.524,1.000,0.900,0.525,0.976,0.901,0.526,
04412,31,"AUSTIN, TX",1.000,1.019,0.766,1.000,1.020,0.757,0.994,1.021,0.747,
04412,20,"BEAUMONT, TX",1.000,0.902,0.955,1.000,0.913,0.897,0.985,0.924,0.839,
04412,09,"BRAZORIA, TX",1.019,0.990,0.955,1.020,0.994,0.897,1.020,0.997,0.839,
04412,11,"DALLAS, TX",1.018,1.009,0.772,1.015,1.012,0.770,1.012,1.014,0.768,
04412,28,"FORT WORTH, TX",1.005,0.995,0.772,1.006,0.991,0.760,1.007,0.986,0.747,
04412,15,"GALVESTON, TX",1.019,1.013,0.955,1.020,1.012,0.897,1.020,1.011,0.839,
04412,18,"HOUSTON, TX",1.019,1.006,0.955,1.020,1.009,0.946,1.020,1.012,0.936,
04412,99,REST OF TEXAS,1.000,0.920,0.822,1.000,0.929,0.809,0.990,0.938,0.796,
03502,09,UTAH,1.000,0.922,1.169,1.000,0.925,1.167,0.980,0.927,1.165,
14512,50,VERMONT,1.000,1.004,0.682,1.000,1.010,0.639,0.979,1.015,0.595,
11302,00,VIRGINIA,1.000,0.983,0.824,1.000,0.985,0.866,0.992,0.986,0.908,
09202,50,VIRGIN ISLANDS,1.000,0.960,0.996,1.000,1.006,0.993,0.998,1.007,0.990,
02402,02,"SEATTLE (KING CNTY), WA",1.025,1.155,0.495,1.026,1.151,0.713,1.027,1.146,0.931,
02402,99,REST OF WASHINGTON,1.000,1.015,0.475,1.000,1.013,0.689,0.997,1.011,0.902,
11402,16,WEST VIRGINIA,1.000,0.836,1.282,1.000,0.847,1.289,0.966,0.857,1.296,
06302,00,WISCONSIN,1.000,0.955,0.566,1.000,0.956,0.457,0.983,0.957,0.347,
03602,21,WYOMING***,1.000,1.000,1.219,1.000,1.000,1.050,0.983,1.000,0.880,
,,,,,,,,,,,,
2017 GPCIs reflect the first year of a two year update transition.,,,,,,,,,,,,
,,,,,,,,,,,,
"* January 1, 2017 through December 31, 2017, the Work GPCIs reflect a 1.0 floor as required by Section 201 of the MACRA of 2015.  ",,,,,,,,,,,,
"   The 1.0 Work GPCI floor expires on December 31, 2017, therefore the Work GPCIs for 2018 do not reflect a 1.0 floor.",,,,,,,,,,,,
,,,,,,,,,,,,
**Work GPCI reflects a 1.5 floor in Alaska established by the MIPPA.,,,,,,,,,,,,
***PE GPCI reflects a 1.0 floor for frontier states established by the ACA.,,,,,,,,,,,,
,,,,,,,,,,,,
 ,,,,,,,,,,,,
