CPT1/HCPCS,Mod,Status,Description,Work RVUs,Non-Facility PE RVUs,Facility PE RVUs,Mal-Practice RVUs,Total Non-Facility RVUs,Total Facility RVUs,Global
00320,,J,Anesth neck organ 1yr/>,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00322,,J,Anesth biopsy of thyroid,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00326,,J,Anesth larynx/trach < 1 yr,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00350,,J,Anesth neck vessel surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00352,,J,Anesth neck vessel surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00400,,J,Anesth skin ext/per/atrunk,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00402,,J,Anesth surgery of breast,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00404,,J,Anesth surgery of breast,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00406,,J,Anesth surgery of breast,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00410,,J,Anesth correct heart rhythm,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0042T,,C,Ct perfusion w/contrast cbf,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00450,,J,Anesth surgery of shoulder,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00454,,J,Anesth collar bone biopsy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00470,,J,Anesth removal of rib,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00472,,J,Anesth chest wall repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00474,,J,Anesth surgery of rib,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00500,,J,Anesth esophageal surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0051T,,C,Implant total heart system,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0052T,,C,Replace thrc unit hrt syst,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00520,,J,Anesth chest procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00522,,J,Anesth chest lining biopsy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00524,,J,Anesth chest drainage,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00528,,J,Anes mediascpy & dx thorscpy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00529,,J,Anes medscpy&thorscpy 1 lung,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0053T,,C,Replace implantable hrt syst,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00530,,J,Anesth pacemaker insertion,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00532,,J,Anesth vascular access,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00534,,J,Anesth cardioverter/defib,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00537,,J,Anesth cardiac electrophys,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00539,,J,Anesth trach-bronch reconst,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0054T,,C,Bone srgry cmptr fluor image,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00540,,J,Anesth chest surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00541,,J,Anesth one lung ventilation,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00542,,J,Anesthesia removal pleura,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00546,,J,Anesth lung chest wall surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00548,,J,Anesth trachea bronchi surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0055T,,C,Bone srgry cmptr ct/mri imag,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00550,,J,Anesth sternal debridement,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00560,,J,Anesth heart surg w/o pump,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00561,,J,Anesth heart surg <1 yr,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00562,,J,Anesth hrt surg w/pmp age 1+,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00563,,J,Anesth heart surg w/arrest,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00566,,J,Anesth cabg w/o pump,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00567,,J,Anesth cabg w/pump,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0058T,,C,Cryopreservation ovary tiss,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00580,,J,Anesth heart/lung transplnt,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00600,,J,Anesth spine cord surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00604,,J,Anesth sitting procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00620,,J,Anesth spine cord surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00625,,J,Anes spine tranthor w/o vent,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00626,,J,Anes spine transthor w/vent,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00630,,J,Anesth spine cord surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00632,,J,Anesth removal of nerves,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00635,,J,Anesth lumbar puncture,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00640,,J,Anesth spine manipulation,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00670,,J,Anesth spine cord surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00700,,J,Anesth abdominal wall surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00702,,J,Anesth for liver biopsy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0071T,,C,Us leiomyomata ablate <200,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0072T,,C,Us leiomyomata ablate >200,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00730,,J,Anesth abdominal wall surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00740,,J,Anesth upper gi visualize,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0075T,,C,Perq stent/chest vert art,0.00,0.00,NA,0.00,0.00,NA,XXX
0075T,TC,C,Perq stent/chest vert art,0.00,0.00,NA,0.00,0.00,NA,XXX
0075T,26,C,Perq stent/chest vert art,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00750,,J,Anesth repair of hernia,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00752,,J,Anesth repair of hernia,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00754,,J,Anesth repair of hernia,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00756,,J,Anesth repair of hernia,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0076T,,C,S&i stent/chest vert art,0.00,0.00,NA,0.00,0.00,NA,XXX
0076T,TC,C,S&i stent/chest vert art,0.00,0.00,NA,0.00,0.00,NA,XXX
0076T,26,C,S&i stent/chest vert art,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00770,,J,Anesth blood vessel repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00790,,J,Anesth surg upper abdomen,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00792,,J,Anesth hemorr/excise liver,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00794,,J,Anesth pancreas removal,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00796,,J,Anesth for liver transplant,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00797,,J,Anesth surgery for obesity,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00800,,J,Anesth abdominal wall surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00802,,J,Anesth fat layer removal,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00810,,J,Anesth low intestine scope,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00820,,J,Anesth abdominal wall surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00830,,J,Anesth repair of hernia,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00832,,J,Anesth repair of hernia,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00834,,J,Anesth hernia repair < 1 yr,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00836,,J,Anesth hernia repair preemie,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00840,,J,Anesth surg lower abdomen,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00842,,J,Anesth amniocentesis,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00844,,J,Anesth pelvis surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00846,,J,Anesth hysterectomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00848,,J,Anesth pelvic organ surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0085T,,N,Breath test heart reject,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00851,,J,Anesth tubal ligation,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00860,,J,Anesth surgery of abdomen,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00862,,J,Anesth kidney/ureter surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00864,,J,Anesth removal of bladder,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00865,,J,Anesth removal of prostate,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00866,,J,Anesth removal of adrenal,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00868,,J,Anesth kidney transplant,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00870,,J,Anesth bladder stone surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00872,,J,Anesth kidney stone destruct,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00873,,J,Anesth kidney stone destruct,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00880,,J,Anesth abdomen vessel surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00882,,J,Anesth major vein ligation,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00902,,J,Anesth anorectal surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00904,,J,Anesth perineal surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00906,,J,Anesth removal of vulva,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00908,,J,Anesth removal of prostate,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00910,,J,Anesth bladder surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00912,,J,Anesth bladder tumor surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00914,,J,Anesth removal of prostate,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00916,,J,Anesth bleeding control,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00918,,J,Anesth stone removal,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00920,,J,Anesth genitalia surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00921,,J,Anesth vasectomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00922,,J,Anesth sperm duct surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00924,,J,Anesth testis exploration,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00926,,J,Anesth removal of testis,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00928,,J,Anesth removal of testis,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00930,,J,Anesth testis suspension,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00932,,J,Anesth amputation of penis,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00934,,J,Anesth penis nodes removal,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00936,,J,Anesth penis nodes removal,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00938,,J,Anesth insert penis device,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00940,,J,Anesth vaginal procedures,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00942,,J,Anesth surg on vag/urethral,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00944,,J,Anesth vaginal hysterectomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00948,,J,Anesth repair of cervix,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0095T,,C,Rmvl artific disc addl crvcl,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00950,,J,Anesth vaginal endoscopy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
00952,,J,Anesth hysteroscope/graph,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0098T,,C,Rev artific disc addl,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0100T,,C,Prosth retina receive&gen,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0101T,,C,Extracorp shockwv tx hi enrg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0102T,,C,Extracorp shockwv tx anesth,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0106T,,C,Touch quant sensory test,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0107T,,C,Vibrate quant sensory test,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0108T,,C,Cool quant sensory test,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0109T,,C,Heat quant sensory test,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0110T,,C,Nos quant sensory test,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0111T,,X,Rbc membranes fatty acids,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01112,,J,Anesth bone aspirate/bx,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01120,,J,Anesth pelvis surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01130,,J,Anesth body cast procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01140,,J,Anesth amputation at pelvis,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01150,,J,Anesth pelvic tumor surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01160,,J,Anesth pelvis procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01170,,J,Anesth pelvis surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01173,,J,Anesth fx repair pelvis,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01180,,J,Anesth pelvis nerve removal,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01190,,J,Anesth pelvis nerve removal,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01200,,J,Anesth hip joint procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01202,,J,Anesth arthroscopy of hip,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01210,,J,Anesth hip joint surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01212,,J,Anesth hip disarticulation,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01214,,J,Anesth hip arthroplasty,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01215,,J,Anesth revise hip repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01220,,J,Anesth procedure on femur,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01230,,J,Anesth surgery of femur,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01232,,J,Anesth amputation of femur,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01234,,J,Anesth radical femur surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01250,,J,Anesth upper leg surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0126T,,C,Chd risk imt study,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01260,,J,Anesth upper leg veins surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01270,,J,Anesth thigh arteries surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01272,,J,Anesth femoral artery surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01274,,J,Anesth femoral embolectomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01320,,J,Anesth knee area surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01340,,J,Anesth knee area procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01360,,J,Anesth knee area surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01380,,J,Anesth knee joint procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01382,,J,Anesth dx knee arthroscopy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01390,,J,Anesth knee area procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01392,,J,Anesth knee area surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01400,,J,Anesth knee joint surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01402,,J,Anesth knee arthroplasty,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01404,,J,Anesth amputation at knee,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01420,,J,Anesth knee joint casting,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01430,,J,Anesth knee veins surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01432,,J,Anesth knee vessel surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01440,,J,Anesth knee arteries surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01442,,J,Anesth knee artery surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01444,,J,Anesth knee artery repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01462,,J,Anesth lower leg procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01464,,J,Anesth ankle/ft arthroscopy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01470,,J,Anesth lower leg surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01472,,J,Anesth achilles tendon surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01474,,J,Anesth lower leg surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01480,,J,Anesth lower leg bone surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01482,,J,Anesth radical leg surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01484,,J,Anesth lower leg revision,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01486,,J,Anesth ankle replacement,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01490,,J,Anesth lower leg casting,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01500,,J,Anesth leg arteries surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01502,,J,Anesth lwr leg embolectomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01520,,J,Anesth lower leg vein surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01522,,J,Anesth lower leg vein surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0159T,,C,Cad breast mri,0.00,0.00,NA,0.00,0.00,NA,ZZZ
0159T,TC,C,Cad breast mri,0.00,0.00,NA,0.00,0.00,NA,ZZZ
0159T,26,C,Cad breast mri,0.00,0.00,0.00,0.00,0.00,0.00,ZZZ
01610,,J,Anesth surgery of shoulder,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01620,,J,Anesth shoulder procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01622,,J,Anes dx shoulder arthroscopy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0163T,,C,Lumb artif diskectomy addl,0.00,0.00,0.00,0.00,0.00,0.00,YYY
01630,,J,Anesth surgery of shoulder,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01634,,J,Anesth shoulder joint amput,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01636,,J,Anesth forequarter amput,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01638,,J,Anesth shoulder replacement,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0164T,,C,Remove lumb artif disc addl,0.00,0.00,0.00,0.00,0.00,0.00,YYY
0165T,,C,Revise lumb artif disc addl,0.00,0.00,0.00,0.00,0.00,0.00,YYY
01650,,J,Anesth shoulder artery surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01652,,J,Anesth shoulder vessel surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01654,,J,Anesth shoulder vessel surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01656,,J,Anesth arm-leg vessel surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01670,,J,Anesth shoulder vein surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01680,,J,Anesth shoulder casting,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01682,,J,Anesth airplane cast,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01710,,J,Anesth elbow area surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01712,,J,Anesth uppr arm tendon surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01714,,J,Anesth uppr arm tendon surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01716,,J,Anesth biceps tendon repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01730,,J,Anesth uppr arm procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01732,,J,Anesth dx elbow arthroscopy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0174T,,C,Cad cxr with interp,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01740,,J,Anesth upper arm surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01742,,J,Anesth humerus surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01744,,J,Anesth humerus repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0175T,,C,Cad cxr remote,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01756,,J,Anesth radical humerus surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01758,,J,Anesth humeral lesion surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01760,,J,Anesth elbow replacement,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01770,,J,Anesth uppr arm artery surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01772,,J,Anesth uppr arm embolectomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0178T,,C,64 lead ecg w/i&r,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01780,,J,Anesth upper arm vein surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01782,,J,Anesth uppr arm vein repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0179T,,C,64 lead ecg w/tracing,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0180T,,C,64 lead ecg w/i&r only,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01810,,J,Anesth lower arm surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01820,,J,Anesth lower arm procedure,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01829,,J,Anesth dx wrist arthroscopy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01830,,J,Anesth lower arm surgery,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01832,,J,Anesth wrist replacement,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0184T,,C,Exc rectal tumor endoscopic,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01840,,J,Anesth lwr arm artery surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01842,,J,Anesth lwr arm embolectomy,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01844,,J,Anesth vascular shunt surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01850,,J,Anesth lower arm vein surg,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01852,,J,Anesth lwr arm vein repair,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01860,,J,Anesth lower arm casting,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0188T,,N,Videoconf crit care 74 min,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0189T,,N,Videoconf crit care addl 30,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0190T,,C,Place intraoc radiation src,0.00,0.00,0.00,0.00,0.00,0.00,XXX
0191T,,C,Insert ant segment drain int,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01916,,J,Anesth dx arteriography,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01920,,J,Anesth catheterize heart,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01922,,J,Anesth cat or mri scan,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01924,,J,Anes ther interven rad artrl,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01925,,J,Anes ther interven rad card,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01926,,J,Anes tx interv rad hrt/cran,0.00,0.00,0.00,0.00,0.00,0.00,XXX
01930,,J,Anes ther interven rad vein,0.00,0.00,0.00,0.00,0.00,0.00,XXX
