Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,6.5,0.352164071,7.454854109,0.11489384,5.954272494,6.130641295,6.408775097,6.891533095,7.454854109,8.047178246,8.605635546,8.951543685,9.180938407
2,7.5,0.250497889,7.902436186,0.112949644,6.352668277,6.533372908,6.819122283,7.317373091,7.902436186,8.52187726,9.109878097,9.476008728,9.719620693
2,8.5,0.15724751,8.314178377,0.11128469,6.720327734,6.904885578,7.197413532,7.709516114,8.314178377,8.958324062,9.573546299,9.958479736,10.2153883
2,9.5,0.070885725,8.693418423,0.109863709,7.059731719,7.247735767,7.546341788,8.070932165,8.693418423,9.360270982,10.00079194,10.40335475,10.67280092
2,10.5,-0.00968493,9.043261854,0.10866078,7.373211901,7.564326904,7.868436369,8.404399764,9.043261854,9.7311934,10.3954511,10.81469528,11.0960696
2,11.5,-0.085258,9.366593571,0.10765621,7.662959063,7.856916169,8.166068895,8.712513432,9.366593571,10.07430572,10.76106284,11.19624565,11.48907597
2,12.5,-0.15640945,9.666089185,0.106834517,7.93103031,8.127621012,8.441459662,8.997691667,9.666089185,10.39257636,11.10088678,11.5514514,11.85539095
2,13.5,-0.22355869,9.944226063,0.106183085,8.179355552,8.378425424,8.696684147,9.262185089,9.944226063,10.68874201,11.4179197,11.88347697,12.19829279
2,14.5,-0.28701346,10.20329397,0.105691242,8.409743555,8.611186014,8.933679535,9.508084539,10.20329397,10.96532105,11.7149113,12.19522253,12.52078451
2,15.5,-0.34699919,10.4454058,0.105349631,8.62388725,8.827637666,9.154251142,9.737329319,10.4454058,11.2246268,11.99437938,12.48934,12.82561033
2,16.5,-0.40368918,10.67250698,0.105149754,8.82336957,9.029399482,9.360078736,9.951714686,10.67250698,11.46877937,12.258624,12.76824867,13.11527219
2,17.5,-0.45721877,10.88638558,0.105083666,9.00966812,9.217979979,9.55272268,10.15289979,10.88638558,11.69971783,12.50974133,13.03414978,13.39204468
2,18.5,-0.50770077,11.08868151,0.105143752,9.184160166,9.394782429,9.733629905,10.34241498,11.08868151,11.91921144,12.74963667,13.28904061,13.65798985
2,19.5,-0.55523599,11.28089537,0.105322575,9.348127323,9.561109949,9.904139709,10.52166904,11.28089537,12.1288704,12.98003694,13.53472797,13.91497124
2,20.5,-0.59992113,11.46439708,0.10561278,9.502760074,9.718170424,10.06548937,10.69195601,11.46439708,12.3301562,13.20250263,13.77284102,14.1646673
2,21.5,-0.64185418,11.64043402,0.106007025,9.649162144,9.867081272,10.21881956,10.85446195,11.64043402,12.52439148,13.41843913,14.00484351,14.40858419
2,22.5,-0.6811381,11.81013895,0.106497957,9.788354721,10.00887405,10.3651796,11.01027128,11.81013895,12.71276942,13.62910755,14.23204547,14.64806798
2,23.5,-0.71788283,11.97453748,0.107078197,9.921280547,10.14449891,10.50553251,11.16037297,11.97453748,12.89636272,13.8356351,14.45561433,14.88431632
2,24.5,-0.75220617,12.13455528,0.107740346,10.04880788,10.27482891,10.64075987,11.30566645,12.13455528,13.07613212,14.03902484,14.67658549,15.11838945
2,25.5,-0.78423359,12.2910249,0.108477009,10.17173431,10.40066414,10.77166654,11.44696728,12.2910249,13.25293459,14.24016506,14.89587242,15.35122083
2,26.5,-0.81409743,12.44469237,0.109280822,10.29079052,10.52273581,10.89898515,11.58501256,12.44469237,13.42753102,14.43983817,15.11427618,15.5836271
2,27.5,-0.8419355,12.59622335,0.110144488,10.40664383,10.64171007,11.02338047,11.72046615,12.59622335,13.60059358,14.63872906,15.33249457,15.8163176
2,28.5,-0.86788939,12.74620911,0.111060814,10.51990171,10.7581918,11.14545358,11.8539236,12.74620911,13.77271274,14.83743314,15.55113065,16.0499034
2,29.5,-0.89210264,12.89517218,0.112022758,10.63111516,10.8727282,11.26574591,11.98591692,12.89517218,13.94440383,15.03646393,15.770701,16.28490586
2,30.5,-0.91471881,13.04357164,0.113023466,10.74078194,10.98581228,11.38474303,12.11691911,13.04357164,14.11611337,15.23626013,15.99164336,16.52176469
2,31.5,-0.93587966,13.19180827,0.114056316,10.84934975,11.09788625,11.50287842,12.24734843,13.19180827,14.28822496,15.43719248,16.21432393,16.7608456
2,32.5,-0.95572344,13.34022934,0.115114952,10.95721927,11.2093447,11.62053697,12.37757256,13.34022934,14.46106492,15.63957012,16.43904429,17.00244749
2,33.5,-0.97438101,13.48913357,0.116193337,11.06474677,11.32053756,11.73805834,12.50791269,13.48913357,14.634908,15.84364677,16.66604772,17.24680884
2,34.5,-0.99198075,13.63877446,0.11728575,11.17224778,11.43177357,11.85574032,12.63864672,13.63877446,14.80998135,16.04962601,16.89552564,17.49411514
2,35.5,-1.00864074,13.78936547,0.118386847,11.27999893,11.54332263,11.9738418,12.77001339,13.78936547,14.98647034,16.25766706,17.12762297,17.74450372
2,36,-1.01665314,13.86507382,0.118939087,11.33404488,11.59928903,12.03312087,12.83599859,13.86507382,15.07529315,16.36249956,17.24468787,17.87088515
