Sex,Length,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
M,89.5,-0.838354876,12.92458613,0.075826044,11.29567376,11.47886643,11.77186133,12.29328999,12.92458613,13.6181589,14.30334895,14.74447181,15.044567
M,90.5,-0.861449493,13.15520182,0.075891019,11.49828978,11.68439228,11.98216306,12.51247319,13.15520182,13.86222981,14.56166964,15.01248591,15.31941326
M,91.5,-0.891773904,13.38782185,0.075987476,11.70281463,11.89175157,12.19422113,12.73341284,13.38782185,14.10890963,14.82355899,15.28488689,15.59929608
M,92.5,-0.929617736,13.6227442,0.076115636,11.90954225,12.10123261,12.4083174,12.95638887,13.6227442,14.35854899,15.08946216,15.5622076,15.88482163
M,93.5,-0.975268944,13.86025986,0.076275395,12.1187693,12.31312548,12.62473383,13.18167788,13.86025986,14.61149059,15.35982164,15.84498667,16.17661055
M,94.5,-1.028990493,14.10065234,0.076466299,12.33079298,12.52772045,12.84375146,13.40955269,14.10065234,14.86806787,15.63507513,16.13376622,16.47529604
M,95.5,-1.091024455,14.34419522,0.076687482,12.54591071,12.74530738,13.06564953,13.64028082,14.34419522,15.12860179,15.91565257,16.42909034,16.78152407
M,96.5,-1.161574946,14.59115139,0.076937631,12.76441819,12.9661743,13.29070461,13.87412402,14.59115139,15.39339911,16.20197359,16.73150285,17.09595206
M,97.5,-1.240820737,14.84177007,0.077214912,12.98660961,13.19060724,13.5191898,14.11133652,14.84177007,15.66274835,16.494444,17.04154573,17.41925008
M,98.5,-1.328879402,15.0962879,0.077516968,13.21277431,13.41888786,13.75137383,14.3521657,15.0962879,15.93691963,16.79345342,17.35975605,17.75209809
M,99.5,-1.425809463,15.35492729,0.077840877,13.44319598,13.65129272,13.98752021,14.59685108,15.35492729,16.21616173,17.09937174,17.68666374,18.09518631
M,100.5,-1.531575592,15.61789822,0.078183177,13.67814897,13.88809057,14.22788616,14.8456253,15.61789822,16.50070256,17.41254676,18.02278798,18.44921206
M,101.5,-1.646081976,15.88539464,0.078539804,13.91789949,14.12954284,14.47272193,15.09871195,15.88539464,16.79074422,17.73329941,18.36863542,18.81488277
M,102.5,-1.769082483,16.15760201,0.078906277,14.16269719,14.37589784,14.722269,15.35632936,16.15760201,17.08646948,18.06192364,18.72469422,19.19290687
M,103.5,-1.900221246,16.43469418,0.079277694,14.41277633,14.62739094,14.97675902,15.61868832,16.43469418,17.38803782,18.39868195,19.09143177,19.58399633
F,45,0.666839915,2.305396985,0.168969897,1.61302626,1.69530853,1.824644762,2.047707671,2.305396985,2.573066177,2.822211988,2.974943903,3.075559629
F,45.5,0.699616404,2.403256702,0.157654766,1.723754478,1.805222631,1.932850514,2.151843669,2.403256702,2.662835955,2.90317596,3.049956403,3.146436315
F,46.5,0.747915684,2.606020484,0.139389663,1.946460733,2.026496007,2.151303478,2.363960397,2.606020484,2.853889995,3.081735239,3.220172553,3.310892709
F,47.5,0.751754737,2.817114082,0.125837223,2.170805299,2.249554961,2.37216013,2.580564792,2.817114082,3.058703241,3.280280685,3.414702479,3.502712567
F,48.5,0.691329975,3.035356101,0.115888948,2.396673878,2.474214132,2.595089193,2.80098615,3.035356101,3.275451769,3.496304856,3.630584823,3.718622563
F,49.5,0.559107556,3.259693318,0.108648608,2.623845869,2.700266794,2.819827425,3.024685576,3.259693318,3.502419401,3.72742595,3.865029598,3.955569802
F,50.5,0.361549127,3.48922017,0.103402703,2.852008338,2.92747924,3.046162798,3.251250865,3.48922017,3.738025406,3.971395567,4.115400222,4.210681986
F,51.5,0.116436203,3.723195489,0.099599651,3.08077988,3.155581427,3.273900839,3.480372197,3.723195489,3.980867931,4.2261236,4.37920066,4.481218409
F,52.5,-0.152509094,3.961034945,0.096830356,3.309743456,3.384266533,3.502832371,3.71180166,3.961034945,4.229754129,4.489708217,4.654076004,4.76453627
F,53.5,-0.421478627,4.202270022,0.09480477,3.538486235,3.613206007,3.732716377,3.945306087,4.202270022,4.483693775,4.760455514,4.937828528,5.058090815
F,54.5,-0.671388289,4.446476028,0.093323068,3.766648425,3.842082114,3.963283111,4.180622529,4.446476028,4.741844038,5.036873117,5.228445091,5.359480791
F,55.5,-0.889973526,4.693220151,0.092246459,3.99394852,4.070613878,4.194251416,4.417443974,4.693220151,5.003447846,5.317643817,5.524112903,5.666497508
F,56.5,-1.071844454,4.942029343,0.091473166,4.22019582,4.298576091,4.425349217,4.65542253,4.942029343,5.267777008,5.601587401,5.823223715,5.977171656
F,57.5,-1.216671445,5.192403337,0.090923715,4.445271101,4.525795306,4.656327074,4.894194501,5.192403337,5.534118638,5.887634175,6.124358847,6.289778737
F,58.5,-1.327360462,5.443830096,0.090532906,4.669110719,4.75214371,4.886964606,5.133398784,5.443830096,5.801772695,6.174806785,6.426273604,6.602835746
F,59.5,-1.408261687,5.69581328,0.090246768,4.891682562,4.977524782,5.117070202,5.372695342,5.69581328,6.070070759,6.462216757,6.72787876,6.91507564
F,60.5,-1.464051065,5.947889759,0.090021128,5.112971092,5.201863101,5.34647836,5.611774363,5.947889759,6.33839139,6.749065162,7.028227249,7.225424353
F,61.5,-1.499105627,6.199640267,0.089820688,5.332968047,5.42509726,5.57504651,5.850360248,6.199640267,6.606171625,7.034644746,7.326504329,7.532980555
F,62.5,-1.517197913,6.450695818,0.089618171,5.551666409,5.64717487,5.80265208,6.088213081,6.450695818,6.872915135,7.318342,7.622019771,7.836997958
F,63.5,-1.521479703,6.700736725,0.089393174,5.769060531,5.868051772,6.029190763,6.325126546,6.700736725,7.138192567,7.59963607,7.914202723,8.136875366
F,64.5,-1.514481331,6.949493534,0.089131254,5.985144406,6.08769022,6.254574837,6.560927184,6.949493534,7.401643498,7.878098236,8.202595917,8.432144771
F,65.5,-1.498204976,7.196744733,0.088822943,6.199912645,6.306059022,6.478732239,6.795472337,7.196744733,7.662974516,8.15338936,8.486850867,8.722463522
F,66.5,-1.474231858,7.442313819,0.088462854,6.413361985,6.523134146,6.701605945,7.028648027,7.442313819,7.921956215,8.425256531,8.766723181,9.00760766
F,67.5,-1.443808911,7.686067039,0.088048963,6.625492182,6.738899009,6.923153436,7.260367355,7.686067039,8.17842062,8.693529674,9.04206755,9.287464886
F,68.5,-1.407959107,7.92790936,0.087581916,6.836308446,6.953345818,7.143346471,7.49056809,7.92790936,8.432256562,8.958117069,9.312833279,9.562029761
F,69.5,-1.367521025,8.167783677,0.087064605,7.045821054,7.166475096,7.362170518,7.719212002,8.167783677,8.683408324,9.219002186,9.579058661,9.831395513
F,70.5,-1.32324327,8.405666621,0.086501667,7.254047943,7.378297165,7.579624634,7.946282454,8.405666621,8.931870645,9.47623884,9.840866488,10.09574977
F,71.5,-1.275834578,8.641566305,0.085899159,7.461015613,7.588832522,7.795721098,8.171783008,8.641566305,9.177685743,9.729947188,10.09845888,10.35536822
F,72.5,-1.226014257,8.875519723,0.085264271,7.666760352,7.798112411,8.010485082,8.395735838,8.875519723,9.420939935,9.980309503,10.3521122,10.61060874
F,73.5,-1.174555804,9.107590221,0.084605096,7.871329398,8.006179356,8.223954294,8.61818018,9.107590221,9.661760324,10.22756595,10.60217203,10.86190554
F,74.5,-1.122323639,9.337865054,0.083930435,8.07478203,8.213087629,8.436178609,8.839170822,9.337865054,9.900311537,10.47201035,10.84904795,11.10976332
F,75.5,-1.070302348,9.566453061,0.083249631,8.277190538,8.418903651,8.647219687,9.05877667,9.566453061,10.13679255,10.7139859,11.09320847,11.35475136
F,76.5,-1.019617172,9.793482492,0.082572421,8.478641037,8.623706299,8.857150596,9.277079452,9.793482492,10.37143354,10.95388092,11.33517576,11.59749766
F,77.5,-0.971544123,10.01909902,0.081908788,8.679234065,8.82758712,9.066055489,9.494172583,10.01909902,10.60449286,11.19212443,11.57552036,11.83868308
F,78.5,-0.927495981,10.24346467,0.081268832,8.879084281,9.03065003,9.274029292,9.710160711,10.24346467,10.83625465,11.42918192,11.81485555,12.07903468
F,79.5,-0.889046221,10.46675386,0.080662561,9.078322619,9.233012616,9.481177715,9.925157686,10.46675386,11.06702353,11.66554993,12.05383282,12.3193224
F,80.5,-0.857844783,10.6891553,0.080099785,9.277093118,9.434804244,9.68761705,10.13928821,10.6891553,11.29712459,11.90175234,12.29313502,12.56034996
F,81.5,-0.835600041,10.91086924,0.079589888,9.475553729,9.636166759,9.893474476,10.35268693,10.91086924,11.52689868,12.13833477,12.53347134,12.80295084
F,82.5,-0.824007806,11.13210717,0.079141623,9.673874713,9.837253816,10.0988884,10.56549933,11.13210717,11.75669976,12.37585953,12.77557129,13.04798203
F,83.5,-0.824673085,11.35309164,0.078762888,9.872236954,10.03823028,10.30400903,10.77788274,11.35309164,11.98689198,12.61490029,13.02017859,13.29631805
F,84.5,-0.839021353,11.57405623,0.078460511,10.07082987,10.2392715,10.50899902,10.9900078,11.57405623,12.21784683,12.85603662,13.26804494,13.54884494
F,85.5,-0.868191531,11.79524697,0.078240047,10.26984825,10.44056188,10.71403421,11.20206069,11.79524697,12.44994139,13.0998487,13.51992325,13.80645301
F,86.5,-0.912987527,12.0169203,0.078105554,10.46949211,10.64229536,10.9193044,11.41424337,12.0169203,12.68355339,13.346911,13.77656207,14.07003317
F,87.5,-0.973732843,12.23934838,0.078059544,10.66996042,10.84467191,11.12501362,11.62677789,12.23934838,12.91906338,13.59778826,14.03869722,14.3404656
F,88.5,-1.050238631,12.46281861,0.078102898,10.87145032,11.04789724,11.33138025,11.83990685,12.46281861,13.15685175,13.85303006,14.3070456,14.61861423
F,89.5,-1.141750538,12.68763627,0.078234935,11.07415394,11.25218061,11.53863663,12.05389519,12.68763627,13.39729953,14.1131669,14.5822978,14.90531723
F,90.5,-1.246935039,12.9141268,0.078453576,11.27825609,11.45773296,11.74702786,12.26903094,12.9141268,13.64078954,14.37870706,14.86511095,15.20137719
F,91.5,-1.363881842,13.1426393,0.078755652,11.48393116,11.66476403,11.95681,12.48562589,13.1426393,13.88771008,14.65013514,15.1561012,15.50754879
F,92.5,-1.490235591,13.37354263,0.079137144,11.69134669,11.87348344,12.16824818,12.70401141,13.37354263,14.13845236,14.92790917,15.45583919,15.82453284
F,93.5,-1.623204367,13.60723197,0.079593737,11.9006578,12.08409573,12.38161332,12.92453941,13.60723197,14.39341959,15.21246325,15.76484189,16.1529576
F,94.5,-1.759750536,13.84412275,0.080121122,12.11201227,12.29680209,12.5971797,13.14757603,13.84412275,14.65302443,15.5042068,16.08356951,16.49337198
F,95.5,-1.896722704,14.08464853,0.080715361,12.32555163,12.51179974,12.81522219,13.37349756,14.08464853,14.91769089,15.80352641,16.41242128,16.84623319
F,96.5,-2.031079769,14.32925018,0.081372938,12.54141939,12.72928607,13.03601505,13.60268237,14.32925018,15.1878468,16.11078394,16.75173457,17.21190355
F,97.5,-2.159985258,14.57837334,0.082090922,12.75976132,12.9494582,13.25983009,13.83550775,14.57837334,15.4639243,16.42631821,17.10178143,17.59063809
F,98.5,-2.280992946,14.8324557,0.082866693,12.98073439,13.17251854,13.48693728,14.07234276,14.8324557,15.74634796,16.7504403,17.46276845,17.9825849
F,99.5,-2.392125361,15.09192012,0.083697706,13.20451042,13.39867734,13.71760521,14.31354493,15.09192012,16.03552754,17.08342993,17.83483458,18.38778042
F,100.5,-2.491985117,15.35716167,0.08458092,13.43128538,13.62815947,13.95210374,14.55945515,15.35716167,16.33184172,17.42552542,18.21805007,18.80615497
F,101.5,-2.579688446,15.62854849,0.085512655,13.66127661,13.86120318,14.19070443,14.81039951,15.62854849,16.63563645,17.77692011,18.61241094,19.23752318
F,102.5,-2.654922113,15.90640903,0.086487929,13.89473275,14.09806774,14.43368432,15.06668553,15.90640903,16.94720609,18.13774777,19.01783635,19.68159413
F,103.5,-2.717782155,16.19103966,0.087500575,14.13192569,14.33902847,14.68132531,15.32860703,16.19103966,17.2667985,18.50808075,19.43416015,20.13795636
