Code,Occupation
5010,"Switchboard operators, including answering service"
5020,Telephone operators
5030,"Communications equipment operators, all other"
5100,Bill and account collectors
5110,Billing and posting clerks 
5120,"Bookkeeping, accounting, and auditing clerks"
5130,Gaming cage workers
5140,Payroll and timekeeping clerks
5150,Procurement clerks
5160,Tellers
5165,"Financial clerks, all other"
5200,Brokerage clerks
5220,"Court, municipal, and license clerks"
5230,"Credit authorizers, checkers, and clerks"
5240,Customer service representatives
5250,"Eligibility interviewers, government programs"
5260,File clerks
5300,"Hotel, motel, and resort desk clerks"
5310,"Interviewers, except eligibility and loan"
5320,"Library assistants, clerical"
5330,Loan interviewers and clerks
5340,New accounts clerks
5350,Correspondence clerks and order clerks
5360,"Human resources assistants, except payroll and timekeeping"
5400,Receptionists and information clerks
5410,Reservation and transportation ticket agents and travel clerks
5420,"Information and record clerks, all other"
5500,Cargo and freight agents
5510,Couriers and messengers
5520,Dispatchers
5530,"Meter readers, utilities"
5540,Postal service clerks
5550,Postal service mail carriers
5560,"Postal service mail sorters, processors, and processing machine operators"
5600,"Production, planning, and expediting clerks"
5610,"Shipping, receiving, and traffic clerks"
5620,Stock clerks and order fillers
5630,"Weighers, measurers, checkers, and samplers, recordkeeping"
5700,Secretaries and administrative assistants
5800,Computer operators
5810,Data entry keyers
5820,Word processors and typists
5840,Insurance claims and policy processing clerks
5850,"Mail clerks and mail machine operators, except postal service"
5860,"Office clerks, general"
5900,"Office machine operators, except computer"
5910,Proofreaders and copy markers
5920,Statistical assistants
5940,"Miscellaneous office and administrative support workers, including desktop publishers"
6005,"First-line supervisors of farming, fishing, and forestry workers"
6010,Agricultural inspectors
6040,"Graders and sorters, agricultural products"
6050,"Miscellaneous agricultural workers, including animal breeders"
6100,Fishing and hunting workers
6120,Forest and conservation workers
6130,Logging workers
6200,First-line supervisors of construction trades and extraction workers
6210,Boilermakers
6220,"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers"
6230,Carpenters
6240,"Carpet, floor, and tile installers and finishers"
6250,"Cement masons, concrete finishers, and terrazzo workers"
6260,Construction laborers
6300,"Paving, surfacing, and tamping equipment operators"
6320,"Construction equipment operators except paving, surfacing, and tamping equipment operators"
6330,"Drywall installers, ceiling tile installers, and tapers"
6355,Electricians
6360,Glaziers
6400,Insulation workers
6420,Painters and paperhangers
6440,"Pipelayers, plumbers, pipefitters, and steamfitters"
6460,Plasterers and stucco masons
6515,Roofers
6520,Sheet metal workers
6530,Structural iron and steel workers
6600,"Helpers, construction trades"
6660,Construction and building inspectors
6700,Elevator installers and repairers
6710,Fence erectors
6720,Hazardous materials removal workers
6730,Highway maintenance workers
6740,Rail-track laying and maintenance equipment operators
6765,"Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers and sewer pipe cleaners"
6800,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
6820,"Earth drillers, except oil and gas"
6830,"Explosives workers, ordnance handling experts, and blasters"
6840,Mining machine operators
6940,"Miscellaneous extraction workers, including roof bolters and helpers"
7000,"First-line supervisors of mechanics, installers, and repairers"
7010,"Computer, automated teller, and office machine repairers"
7020,Radio and telecommunications equipment installers and repairers
7030,Avionics technicians
7040,"Electric motor, power tool, and related repairers"
7100,"Electrical and electronics repairers, transportation equipment, and industrial and utility"
7110,"Electronic equipment installers and repairers, motor vehicles"
7120,Electronic home entertainment equipment installers and repairers
7130,Security and fire alarm systems installers
7140,Aircraft mechanics and service technicians
7150,Automotive body and related repairers
7160,Automotive glass installers and repairers
7200,Automotive service technicians and mechanics
7210,Bus and truck mechanics and diesel engine specialists
7220,Heavy vehicle and mobile equipment service technicians and mechanics
7240,Small engine mechanics
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
7300,Control and valve installers and repairers
7315,"Heating, air conditioning, and refrigeration mechanics and installers"
7320,Home appliance repairers
7330,Industrial and refractory machinery mechanics
7340,"Maintenance and repair workers, general"
7350,"Maintenance workers, machinery"
7360,Millwrights
7410,Electrical power-line installers and repairers
7420,Telecommunications line installers and repairers
7430,Precision instrument and equipment repairers
7510,"Coin, vending, and amusement machine servicers and repairers"
7540,Locksmiths and safe repairers
7560,Riggers
7610,"Helpers--installation, maintenance, and repair workers "
7630,"Miscellaneous installation, maintenance, and repair workers, including wind turbine service technicians"
7700,First-line supervisors of production and operating workers
7710,"Aircraft structure, surfaces, rigging, and systems assemblers"
7720,"Electrical, electronics, and electromechanical assemblers"
7730,Engine and other machine assemblers
7740,Structural metal fabricators and fitters
7750,Miscellaneous assemblers and fabricators
7800,Bakers
7810,"Butchers and other meat, poultry, and fish processing workers"
7830,"Food and tobacco roasting, baking, and drying machine operators and tenders"
7840,Food batchmakers
7850,Food cooking machine operators and tenders
7855,"Food processing workers, all other"
7900,Computer control programmers and operators
7920,"Extruding and drawing machine setters, operators, and tenders, metal and plastic"
7930,"Forging machine setters, operators, and tenders, metal and plastic"
7940,"Rolling machine setters, operators, and tenders, metal and plastic"
7950,"Machine tool cutting setters, operators, and tenders, metal and plastic"
8030,Machinists
8040,"Metal furnace operators, tenders, pourers, and casters"
8100,"Model makers, patternmakers, and molding machine setters, metal and plastic"
8130,Tool and die makers
8140,"Welding, soldering, and brazing workers"
8220,"Miscellaneous metal workers and plastic workers, including multiple machine tool setters"
8250,Prepress technicians and workers
8255,Printing press operators
8256,Print binding and finishing workers
8300,Laundry and dry-cleaning workers
8310,"Pressers, textile, garment, and related materials"
8320,Sewing machine operators
8330,Shoe and leather workers
8350,"Tailors, dressmakers, and sewers"
8400,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders"
8410,"Textile knitting and weaving machine setters, operators, and tenders"
8420,"Textile winding, twisting, and drawing out machine setters, operators, and tenders"
8450,Upholsterers
8460,"Miscellaneous textile, apparel, and furnishings workers except upholsterers"
8500,Cabinetmakers and bench carpenters
8510,Furniture finishers
8530,"Sawing machine setters, operators, and tenders, wood"
8540,"Woodworking machine setters, operators, and tenders, except sawing"
8550,"Miscellaneous woodworkers, including model makers and patternmakers"
8600,"Power plant operators, distributors, and dispatchers"
8610,Stationary engineers and boiler operators
8620,Water and wastewater treatment plant and system operators
8630,Miscellaneous plant and system operators
8640,"Chemical processing machine setters, operators, and tenders"
8650,"Crushing, grinding, polishing, mixing, and blending workers"
8710,Cutting workers
8720,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
8730,"Furnace, kiln, oven, drier, and kettle operators and tenders"
8740,"Inspectors, testers, sorters, samplers, and weighers"
8750,Jewelers and precious stone and metal workers
8760,"Medical, dental, and ophthalmic laboratory technicians"
8800,Packaging and filling machine operators and tenders
8810,Painting workers
8830,Photographic process workers and processing machine operators
8850,Adhesive bonding machine operators and tenders
8910,Etchers and engravers
8920,"Molders, shapers, and casters, except metal and plastic"
8930,"Paper goods machine setters, operators, and tenders"
8940,Tire builders
8950,Helpers--production workers
8965,"Miscellaneous production workers, including semiconductor processors"
9000,Supervisors of transportation and material moving workers
9030,Aircraft pilots and flight engineers
9040,Air traffic controllers and airfield operations specialists
9050,Flight attendants
9110,"Ambulance drivers and attendants, except emergency medical technicians"
9120,Bus drivers
9130,Driver/sales workers and truck drivers
9140,Taxi drivers and chauffeurs
9150,"Motor vehicle operators, all other"
9200,Locomotive engineers and operators
9240,Railroad conductors and yardmasters
9260,"Subway, streetcar, and other rail transportation workers"
9300,"Sailors and marine oilers, and ship engineers"
9310,Ship and boat captains and operators
9350,Parking lot attendants
9360,Automotive and watercraft service attendants   
9410,Transportation inspectors
9420,"Miscellaneous transportation workers, including bridge and lock tenders and traffic technicians"
9415,"Transportation attendants, except flight attendants"
9510,Crane and tower operators
9520,"Dredge, excavating, and loading machine operators"
9560,"Conveyor operators and tenders, and hoist and winch operators"
9600,Industrial truck and tractor operators
9610,Cleaners of vehicles and equipment
9620,"Laborers and freight, stock, and material movers, hand"
9630,Machine feeders and offbearers
9640,"Packers and packagers, hand"
9650,Pumping station operators
9720,Refuse and recyclable material collectors
9750,"Miscellaneous material moving workers, including mine shuttle car operators, and tank car, truck, and ship loaders"
9800,Military officer special and tactical operations leaders
9810,First-line enlisted military supervisors
9820,Military enlisted tactical operations and air/weapons specialists and crew members
9830,"Military, rank not specified"
9920,"Unemployed, with no work experience in the last 5 years or earlier or never worked"
