School,ID,CoNo,StNo,Low,High,Students
BRADFORD CHRISTIAN ACADEMY,A0501894,9,25,5,12,123
BRAINTREE ST COLETTA DAY SCHOO,601442,21,25,-2,-2,23
BRANDON SCHOOL & RESIDENTAL TR,605083,17,25,2,12,56
BRIARWOOD CHILD ACADEMY,A0307529,5,25,-1,0,33
BRIDGE TO LEARNING CHILDRENS C,A9706361,9,25,-1,0,76
BRIDGEVIEW MONTESSORI SCHOOL,A0301825,1,25,-1,6,75
BRIMMER & MAY SCHOOL,604126,17,25,-1,12,394
BRITISH SCHOOL OF BOSTON,A0501895,25,25,-1,12,336
BROCKTON AREA SEVENTH-DAY ADVE,A0501896,23,25,-1,8,83
BROOKWOOD SCHOOL,604035,9,25,-1,8,404
BUCKINGHAM BROWNE & NICHOLS SC,603905,17,25,-1,12,1012
BURLINGTON MONTESSORI SCHOOL,BB121160,17,25,0,0,15
BUXTON SCHOOL,603836,3,25,9,12,81
CALVARY BAPTIST CHRISTIAN SCHO,AA000186,15,25,-1,12,47
CALVARY CHAPEL ACADEMY,A0701279,23,25,-1,12,112
CAMBRIDGE FRIENDS SCHOOL,603042,17,25,-1,8,192
CAMBRIDGE MONTESSORI SCHOOL,605072,17,25,-1,8,224
CAMPUS KINDER HAUS,A0307534,21,25,-1,0,52
CAPE ANN WALDORF SCHOOL,A9103022,9,25,-1,8,128
CAPE COD ACADEMY,605061,1,25,0,12,326
CARDINAL CUSHING CENTERS,599023,23,25,-2,-2,118
CARDINAL SPELLMAN HIGH SCHOOL,600744,23,25,9,12,668
CARRIAGE HOUSE SCHOOL,A9706389,21,25,-1,0,28
CATHEDRAL GRAMMAR SCHOOL,599034,25,25,-1,6,142
CATHEDRAL HIGH SCHOOL,602209,13,25,9,12,345
CATHEDRAL HIGH SCHOOL,599216,25,25,7,12,266
CATHOLIC MEMORIAL,601362,25,25,7,12,732
CCLC OF FRAMINGHAM,A9706680,17,25,-1,0,23
CEDAR BROOK SCHOOL,605301,5,25,-1,8,78
CENTER SCHOOL,A0701305,13,25,-1,12,90
CENTRAL CATHOLIC HIGH SCHOOL,599453,9,25,9,12,1353
CHAPEL HILL CHAUNCY HALL SCHOO,A9103025,17,25,9,12,163
CHARLES RIVER SCHOOL,A9103026,21,25,-1,8,206
CHEVERUS CENTENNIAL SCHOOL,600697,17,25,-1,8,342
CHILDREN'S CENTER AT GROTON,BB121134,17,25,-1,0,20
CHILDREN'S ENRICHMENT CENTER,A1170803,5,25,-1,0,40
CHILDREN'S HOUSE,A9706407,13,25,0,0,3
CHILDRENS MONTESSORI CENTER,A9502196,9,25,-1,0,40
CHILDRENS WORKSHOP MONTESSORI,A9706846,9,25,-1,0,31
CHRISTIAN CHILDREN'S CENTER,A1170807,23,25,-1,0,29
CHRISTIAN FAMILY MONTESSORI SC,A0770922,17,25,-1,0,27
CLARKE SCHOOL EAST,A9706423,21,25,-1,1,12
CLARKE SCHOOL FOR THE DEAF,604997,15,25,-1,8,45
CLEARWAY SCHOOL,2035916,17,25,6,12,34
CNS/PATHWAYS ACADEMY,A0701282,17,25,3,12,25
COHEN HILLEL ACADEMY,A9103032,9,25,0,8,125
COLE-HARRINGTON KINDERGARTEN E,A0307544,21,25,-1,0,77
COMMONWEALTH SCHOOL,604068,25,25,9,12,150
COMMUNITY CHRISTIAN ACADEMY,A0301792,17,25,-1,12,171
COMMUNITY KINDERGARTEN OF METH,A9706431,9,25,-1,0,27
COMMUNITY THERAPEUTIC DAY SCHO,A9103033,17,25,0,6,31
COMPASS,A9701944,25,25,2,12,42
CORNERSTONE ACADEMY,A9902353,27,25,0,5,50
CORNERSTONE CHRISTIAN ACADEMY,A0104087,21,25,0,8,60
CORNERSTONE CHRISTIAN SCHOOL,A9502265,11,25,-1,8,55
CORWIN-RUSSELL SCHOOL AT BROCC,A0104082,17,25,6,12,56
COTTAGE HILL ACADEMY,A0301793,27,25,7,12,7
COTTING SCHOOL,A9701946,17,25,-1,12,107
COUNTRY DAY SCHOOL OF THE HOLY,599635,17,25,-1,8,170
COVENANT CHRISTIAN ACADEMY,A9303203,9,25,-1,12,232
COVENANT SCHOOL,A9300463,17,25,0,8,38
COYLE & CASSIDY HIGH SCHOOL,601715,5,25,9,12,577
CREATIVE CORNER CHILDRENS LEAR,A0307547,17,25,0,0,22
CRISTO REY BOSTON HIGH SCHOOL,600824,25,25,9,12,311
CROSSROAD SCHOOL,A0740071,17,25,-2,-2,48
CURTIS BLAKE DAY SCHOOL,A9701947,13,25,2,9,64
CUSHING ACADEMY,603337,27,25,9,12,411
CUVILLY ARTS & EARTH CENTER,A9706447,9,25,-1,0,92
DANA HALL SCHOOL,603654,21,25,6,12,475
DARNELL SCH FOR EDUCATIONAL & ,A1101242,17,25,5,12,14
DARTMOUTH EARLY LEARNING CENTE,A9706449,5,25,-1,3,58
DAYSPRING CHRISTIAN ACADEMY,2033307,5,25,-1,8,257
DEARBORN ACADEMY,A9902356,17,25,2,12,90
DEDHAM COUNTRY DAY SCHOOL,604046,21,25,-1,8,252
DEERFIELD ACADEMY,603439,11,25,9,12,633
DELPHI ACADEMY,2035927,21,25,-1,8,139
DERBY ACADEMY,603687,23,25,-1,8,332
DEVEREUX SCHOOL,K9302590,9,25,-1,3,50
DEVEREUX SCHOOL,1930738,27,25,3,12,107
DEXTER SCHOOL,604104,21,25,-1,12,416
DISCOVERY DAYCARE CENTER,A9706457,21,25,-1,0,46
DOCTOR FRANKLIN PERKINS SCHOOL,604931,27,25,2,12,131
DOVECREST MONTESSORI ACADEMY,A1101243,23,25,-1,3,96
EAGLE HILL SCHOOL,603574,27,25,8,12,184
EAGLEBROOK SCHOOL,603359,11,25,6,9,251
EAGLETON SCHOOL,2033114,3,25,5,12,78
EAST BOSTON CENTRAL CATHOLIC S,601351,25,25,-1,8,272
EAST GATE CHRISTIAN ACADEMY,A9701948,5,25,-1,9,50
EASTERN POINT DAY SCHOOL,599646,9,25,-1,8,28
EASTON COUNTRY DAY SCHOOL,A9706474,5,25,-1,0,55
EBRIDGE MONTESSORI SCHOOL,A0701285,27,25,-1,3,89
EDGEWOOD ELEMENTARY SCHOOL/GBA,605312,17,25,-1,12,171
ELIOT-PEARSON CHILDREN'S SCHOO,A9706478,17,25,-1,2,80
ELIZABETH SETON ACADEMY,A0701286,25,25,9,12,95
EPIPHANY SCHOOL,A0104124,25,25,5,8,84
ESPERANZA ACADEMY,A0901802,9,25,5,8,68
ESPIRITO SANTO PAROCHIAL SCHOO,601985,5,25,-1,8,205
EVERGREEN CENTER,AA890444,27,25,-2,-2,93
EVERGREEN GARDEN,A1170822,27,25,-1,0,30
EVERGREEN MONTESSORI HOUSE,A9502202,17,25,-1,1,177.133351
EWING DAY ACADEMY,A9502224,27,25,6,12,32
FAIR ACRES COUNTRY DAY SCHOOL,A0307552,1,25,-1,0,109
FAITH BAPTIST CHRISTIAN ACADEM,A0304074,13,25,2,12,14
FAITH CHRISTIAN SCHOOL,A9103041,9,25,-1,8,44
FALL RIVER DEACONESS HOME SCHO,A9303191,5,25,7,12,24
FALMOUTH ACADEMY,1651798,1,25,7,12,189
FAULKNER KINDERGARTEN,A9706484,17,25,-1,0,26
FAY SCHOOL,604002,27,25,-1,9,461
FAYERWEATHER STREET SCHOOL,603858,17,25,-1,8,193
FELLOWSHIP CHRISTIAN ACADEMY,1930716,9,25,-1,12,144
FESSENDEN SCHOOL,604691,17,25,0,9,475
FIRST BAPTIST CHRISTIAN SCHOOL,A9103043,21,25,-1,8,146
FIRST LUTHERAN SCHOOL,2034129,13,25,-1,8,97
FL CHAMBERLAIN SCHOOL,A9103024,23,25,7,12,91
FOR PETES SAKE PRESCHOOL,A9706492,5,25,-1,0,230
FRANCES JACOBSON EARLY CHILDHO,A0307652,25,25,-1,0,98
FRANCO AMERICAN SCHOOL,599329,17,25,-1,8,228
FULL CIRCLE SCHOOL,A9103045,11,25,-1,6,53
G STANLEY HALL SCHOOL,A9303213,27,25,4,5,4
GANN ACADEMY-THE NEW JEWISH HI,A0501906,17,25,9,12,331
GARDEN OF KNOWLEDGE,A1170829,23,25,-1,3,48
GERMAINE LAWRENCE,2034424,17,25,8,12,31
GERMAN INTERNATIONAL SCHOOL BO,A0501907,25,25,-1,11,188
GLCAC CHILD CARE CENTER,A9706505,9,25,-1,0,168
GLEN URQUHART SCHOOL,2033828,9,25,0,8,217
GLENHAVEN ACADEMY,A0301811,17,25,7,12,30
GOOD SHEPHERD CHRISTIAN ACADEM,A9706859,23,25,-1,8,98
GORSE CHILDRENS CENTER,A9706503,15,25,-1,0,8
GRACE BAPTIST CHRISTIAN ACADEM,A0301801,5,25,-1,12,97
GREAT BARRINGTON RUDOLF STEINE,1930705,3,25,-1,8,203
GREAT BEGINNINGS LEARNING SCHO,A0770936,9,25,0,0,1
GREAT KNOWLEDGE,A9706941,21,25,-1,0,14
GREATER QUINCY CHILD CARE CENT,A0307560,21,25,-1,0,34
GREATER VISIONS CHILDRENS CENT,A0770937,17,25,-1,0,18
GREENFIELD CENTER SCHOOL,2033883,11,25,0,8,92
GROTON COMMUNITY SCHOOL,A9706508,17,25,-1,0,147
GROTON SCHOOL,603075,17,25,8,12,371
GROWING YEARS,A9706861,9,25,-1,0,132
HANDS-ON-MONTESSORI SCHOOL,A0501909,5,25,-1,0,57
HAPPY HOLLOW SCHOOL,A9706517,17,25,-1,0,61
HARBORLIGHT MONTESSORI SCHOOL,2033351,9,25,-1,8,267
HAVERHILL DAY CARE CENTER,A9706521,9,25,-1,0,57
HELLENIC AMERICAN ACADEMY,604352,17,25,-1,8,153
HERITAGE ACADEMY,604363,13,25,0,8,68
HERITAGE CHRISTIAN ACADEMY,A9103050,1,25,0,8,35
HIGH POINT SCHOOL,A0701289,3,25,-2,-2,50
HIGH ROAD SCHOOL OF MASSACHUSE,605174,23,25,8,12,10
HILL INSTITUTE KINDERGARTEN,A0990069,15,25,0,0,15
HILLCREST EDUCATIONAL CENTER -,A1101244,3,25,3,12,26
HILLCREST EDUCATIONAL CENTERS,A0701275,3,25,5,12,25
HILLSIDE SCHOOL,603982,17,25,5,9,141
HILLTOP SCHOOL,A9706525,9,25,-1,0,44
HOLDEN CHRISTIAN ACADEMY,A9502210,27,25,-1,8,100
HOLLOW REED SCHOOL,A9103054,25,25,-1,0,53
HOLY FAMILY ELEMENTARY SCHOOL,599952,23,25,0,8,396
HOLY FAMILY HOLY NAME SCHOOL,601828,5,25,-1,8,293
HOLY NAME CENTRAL CATHOLIC JR/,602854,27,25,7,12,612
HOLY NAME PARISH SCHOOL,A0501910,25,25,-1,6,488
HOLY NAME SCHOOL,601974,5,25,-1,8,234
HOLY NAME SCHOOL,602322,13,25,-1,8,118
HOLY TRINITY SCHOOL,601883,5,25,-1,8,238
HOLY TRINITY SCHOOL,A9701956,1,25,-1,5,66
HOLYOKE CATHOLIC HIGH SCHOOL,602253,13,25,9,12,301
HOPE CHRISTIAN SCHOOL,A0301805,23,25,-1,7,24
HOUSATONIC ACADEMY,A0104091,3,25,1,12,35
IDDI CRYSTAL SPRINGS SCHOOL,2033293,5,25,-2,-2,43
IMMACULATE CONCEPTION,599941,25,25,-1,8,250
IMMACULATE CONCEPTION SCHOOL,601249,17,25,-1,8,199
IMMACULATE CONCEPTION SCHOOL,600595,9,25,-1,8,263
IMMACULATE CONCEPTION SCHOOL,599078,17,25,-1,8,277
INLY SCHOOL,2035734,23,25,-1,8,255
INN STREET MONTESSORI SCHOOL,A0740066,9,25,1,8,41
INTEGRATED LEARNING ACADEMY-NE,BB121221,17,25,-2,-2,8
INTERNATIONAL SCHOOL OF BOSTON,604895,17,25,-1,12,552
ISLAMIC ACADEMY OF NEW ENGLAND,A9902363,21,25,-1,5,120
ITALIAN HOME FOR CHILDREN,A9103058,25,25,1,8,30
IVY STREET SCHOOL,A9701958,21,25,7,12,10
JACK N JILL KINDERGARTEN & CHI,A9706544,21,25,-1,0,50
JACKSON SCHOOL,1606392,17,25,0,6,263
JAMES F FARR ACADEMY,604884,17,25,8,12,27
JEWISH COMMUNITY DAY SCHOOL,A0304075,17,25,0,8,199
JOHN DEWEY ACADEMY,AA890448,3,25,10,12,17
JOYFUL LEARNING - SOUTHBROOK A,K9500289,23,25,-1,6,231
JUST RIGHT CHILD CARE,A9706556,21,25,-1,0,20
KALIA KIDS LEARNING CENTER,A0307567,23,25,-1,0,27
KATHLEEN THORNTON SCHOOL,A0701292,13,25,4,7,5
KENNEDY DAY,A1140011,25,25,-2,-2,74
KENNEDY HOPE ACADEMY,A1101247,25,25,7,12,9
KENNEDY-DONOVAN CENTER SCHOOL,A9103060,5,25,4,12,18
KENWOOD ACADEMY,A1101248,17,25,-2,-2,2
KEYSTONE MONTESSORI SCHOOL,A0104097,17,25,-1,4,97
KIDDIE KAMPUS II,A0770947,5,25,-1,0,150
KIDS ARE PEOPLE ELEMENTARY SCH,A9701959,25,25,-1,6,80
KINDERBOOK,A9706580,21,25,-1,0,24
KINDERCARE LEARNING CENTER,A1170854,9,25,-1,0,25
KINDERCARE LEARNING CENTER,A9706576,21,25,-1,0,104
KINDERCARE LEARNING CENTER,A0307641,23,25,-1,0,33
KINDERCARE LEARNING CENTER,A0770952,17,25,-1,0,51
KINDERCARE LEARNING CENTER,A0770954,17,25,-1,0,98
KINDERCARE LEARNING CENTER,A9706581,9,25,-1,0,70
KINDERCARE LEARNING CENTER,A0307542,23,25,-1,0,86
KINDERCARE LEARNING CENTER,A0307610,27,25,-1,1,44
KINDERCARE LEARNING CENTER #13,A0770955,23,25,0,0,8
KINDERCARE LEARNING CENTER #14,A0770958,9,25,-1,0,19
KINDERCARE LEARNING CENTER #67,A0307578,21,25,-1,0,26
KINDERCARE LEARNING CENTER - W,A0770953,17,25,-1,0,27
KINDERCARE LEARNING CENTERS,A0307609,23,25,-1,0,35
KING'S WOOD MONTESSORI SCHOOL,A9502216,21,25,-1,0,48
KINGSLEY MONTESSORI SCHOOL,603166,25,25,-1,6,249
KLUB KID TOO,A0770961,17,25,-1,0,29
KNOWLEDGE BEGINNINGS,A0770963,17,25,-1,0,113
KNOWLEDGE BEGINNINGS,A0750050,17,25,-1,0,77
KNOWLEDGE BEGINNINGS,A9706582,17,25,-1,0,35
KNOWLEDGE BEGINNINGS,A1170857,17,25,-1,0,110
KNOWLEDGE BEGINNINGS - RESEARC,A0770962,17,25,-1,0,35
KOLBURNE SCHOOL,603246,3,25,4,12,64
LANDER GRINSPOON ACADEMY - SOL,A9902380,15,25,-1,6,113
LANDMARK SCHOOL,A9103061,9,25,1,12,459
LATHAM SCHOOL,A0990070,1,25,6,12,42
LAWRENCE CATHOLIC ACADEMY,599351,9,25,-1,8,508
LEAGUE SCHOOL OF GREATER BOSTO,2035836,21,25,3,12,82
LEARNING PREP SCHOOL,604432,17,25,3,12,257
LEARNING PROJECT ELEMENTARY SC,1651721,25,25,0,6,117
LESLEY ELLIS SCHOOL,604953,17,25,-1,6,171
LEXINGTON CHRISTIAN ACADEMY,604137,17,25,6,12,302
LEXINGTON MONTESSORI SCHOOL,A9103065,17,25,-1,8,238
LIGHTHOUSE BAPTIST CHRISTIAN A,2035461,21,25,1,8,10
LIGHTHOUSE SCHOOL,A9103067,17,25,2,12,215
LILLIPUT EARLY CHILDHOOD CENTE,A9303205,27,25,-1,1,229
LINDEN HILL SCHOOL,604421,11,25,6,9,41
LITTLE ANGELS DAYCARE NURSERY,A9706609,17,25,-1,0,105
LITTLE ANGELS PRESCHOOL & DAYC,A9706608,17,25,-1,0,176
LITTLE BLESSINGS PRESCHOOL,A0307589,5,25,-1,0,83
LITTLE FLOWER LEARNING CENTER,BB121150,17,25,-1,0,8
LITTLE LAMBS CHRISTIAN LEARNIN,A1170860,23,25,-1,0,14
LITTLE THEATRE SCHOOL,A9706632,9,25,-1,0,106
LONG PLAIN CHRISTIAN NURSERY S,A9706633,5,25,-1,0,36
LONGMEADOW MONTESSORI,A9502220,13,25,0,0,36
LOWELL CATHOLIC,A9103071,17,25,9,12,390
LOWELL DAY NURSERY,A9706635,17,25,-1,0,86
LOWELL TREATMENT CENTER,A0901807,17,25,6,12,68
LUBAVITCHER YESHIVA ACADEMY,2033908,13,25,-1,8,85
MAIMONIDES SCHOOL,603585,21,25,0,12,531
MALDEN CATHOLIC HIGH SCHOOL,600562,17,25,9,12,589
MALIK ACADEMY/ AL BUSTAN PRESC,A0901810,17,25,-1,5,91
MANSFIELD CHILDRENS CENTER,A9706643,5,25,-1,0,35
MANVILLE SCHOOL,A9902368,25,25,1,10,95
MAPLE DENE ELEMENTARY SCHOOL,A9701964,17,25,0,6,26
MARIAN HIGH SCHOOL,599679,17,25,9,12,303
MATER DOLOROSA ELEMENTARY SCHO,602366,13,25,-1,8,251
MATIGNON HIGH SCHOOL,2160696,17,25,9,12,440
MAY CENTER FOR CHILD DEVELOPME,A0901811,13,25,-2,-2,24
MAY INSTITUTE FOR NEUROREHABIL,A0301810,23,25,3,12,56
MCAULEY NAZARETH HOME FOR BOYS,A9303197,27,25,3,7,6
MEADOWBROOK CHILD GARDEN,A0104102,17,25,-1,0,105
MEADOWBROOK SCHOOL,A9502274,17,25,-1,8,305
MEADOWRIDGE BEHAVIORAL HEALTH ,A0104103,5,25,8,12,28
MEADOWRIDGE PELHAM ACADEMY,A9701945,17,25,8,12,25
MEETING HOUSE MONTESSORI SCHOO,A0104104,21,25,-1,5,142
MELMARK NEW ENGLAND,A0301812,9,25,-2,-2,110
MELROSE MONTESSORI SCHOOL,A9502226,17,25,-1,1,35
MELROSE YMCA CHILDCARE,BB121202,17,25,-1,0,37
MERCY CENTRE,602581,27,25,4,11,22
MERIDIAN ACADEMY,A0701296,21,25,6,12,34
MERRY-DEB NURSERY SCHOOL,A9706655,21,25,-1,0,99
MESIVTA HIGH SCHOOL OF GREATER,A0104113,25,25,9,12,55
METRO WEST JEWISH DAY SCHOOL,A0501917,17,25,0,7,55
METROWEST CHRISTIAN ACADEMY,A9502218,17,25,-1,5,77
MIDDLESEX SCHOOL,603698,17,25,9,12,375
MILESTONES DAY SCHOOL,A0901821,17,25,3,12,63
MILFORD CATHOLIC ELEMENTARY SC,602785,27,25,-1,6,134
MILL POND SCHOOL,A0104105,13,25,7,12,19
MILTON ACADEMY,604192,21,25,0,12,997
MISS HALL'S SCHOOL,604283,3,25,9,12,182
MISS TANYAS WOODLAND SCHOOL,A0770974,27,25,-1,0,87
MONTESSORI ACADEMY-CAPE COD,A9502232,1,25,-1,0,35
MONTESSORI CHILDREN'S HOUSE OF,A9502233,27,25,-1,0,30
MONTESSORI CHILDREN'S HOUSE OF,K9302574,27,25,-1,0,20
MONTESSORI CHILDREN'S HOUSE OF,A1170874,19,25,-1,0,37
MONTESSORI COUNTRY DAY SCHOOL,A1170875,27,25,-2,-2,23
MONTESSORI SCHOOLS OF SANDWICH,A0301816,1,25,1,6,30
MONTROSE SCHOOL,2035949,21,25,6,12,195
MOTHER CAROLINE ACADEMY & EDUC,A9701970,25,25,5,8,54
MOUNT ALVERNIA ACADEMY,599704,17,25,-1,6,335
MOUNT HOPE CHRISTIAN SCHOOL,A9300467,17,25,-1,5,273
MOUNT SAINT JOSEPH ACADEMY,599318,25,25,9,12,191
MOUNTAIN BROOK CHILDRENS CT,A9706669,11,25,-1,0,26
MRS ALEXANDER'S SCHOOL,A9706671,9,25,-1,0,74
MT ALVERNIA HIGH SCHOOL,599748,17,25,7,12,217
MT GREYLOCK CHRISTIAN ACADEMY,AA000551,3,25,4,12,9
MULLEIN HILL CHRISTIAN ACADEMY,A9502251,23,25,-1,8,71
MURPHY & DWYER ACADEMY,A0901814,17,25,10,11,2
MUTANAFISUN ACADEMY,A0501919,21,25,-1,5,36
NANTUCKET LIGHTHOUSE SCHOOL,A0990071,19,25,-1,8,106
NANTUCKET NEW SCHOOL,A9103082,19,25,-1,8,145
NASHOBA LEARNING GROUP,A0501920,17,25,-1,12,87
NASHOBA MONTESSORI SCHOOL,A1170877,27,25,-1,1,39
NATIVITY PREPARATORY SCHOOL,A0501921,25,25,5,8,55
NATIVITY PREPARATORY SCHOOL OF,A0301813,5,25,5,8,54
NAZARENE CHRISTIAN ACADEMY,A0301814,5,25,-1,12,176
NAZARETH ACADEMY,A1101250,17,25,9,12,72
NE PEDIATRIC SCHOOL,A1101251,17,25,2,12,32
NEW BEGINNINGS ACADEMY,A9701972,25,25,-1,12,111
NEW DIRECTIONS SCHOOL AT NCCF,A9103084,15,25,3,12,30
NEW ENGLAND ACADEMY,A0901816,9,25,7,12,94
NEW ENGLAND ADOLESCENT RESEARC,A1101252,13,25,3,12,42
NEW ENGLAND CENTER FOR CHILDRE,A9303107,27,25,-2,-2,216
NEW ENGLAND CHRISTIAN ACADEMY,AB911682,5,25,-1,12,138
NEW ENGLAND HEBREW ACADEMY,AA001050,21,25,-1,9,307
NEW RIVER ACADEMY,A9701980,27,25,9,12,9
NEW TESTAMENT CHRISTIAN SCHOOL,604534,5,25,-1,12,121
NEW TESTAMENT CHRISTIAN SCHOOL,2035494,23,25,0,12,85
NEWBURYPORT MONTESSORI SCHOOL,A9502254,9,25,-1,0,107
NEWTON COUNTRY DAY SCHOOL,599759,17,25,5,12,406
NEWTON MONTESSORI SCHOOL,A0770976,17,25,-1,6,207
NEXT GENERATION CHILDREN'S CEN,A0307616,27,25,-1,0,180
NEXT GENERATION CHILDREN'S CEN,A1170879,21,25,-1,0,128
NEXT GENERATION CHILDRENS CENT,A0750048,9,25,-1,0,57
NEXT GENERATION CHILDRENS CENT,A9706692,17,25,-1,0,52
NOBLE & GREENOUGH SCHOOL,603745,21,25,7,12,589
NORTH SHORE CHRISTIAN SCHOOL,603814,9,25,-1,8,191
NORTH SHORE MONTESSORI SCHOOL,A1101254,9,25,-1,0,21
NOTRE DAME ACADEMY,602752,27,25,9,12,269
NOTRE DAME ACADEMY SCHOOL,599613,23,25,9,12,566
NOTRE DAME CHILDREN'S CLASS,K9302594,9,25,-1,2,49
NOTRE DAME HIGH SCHOOL,A0501923,9,25,9,12,272
NOTRE DAME PREPARATORY SCHOOL,602934,27,25,7,12,29
OAK HILL CHRISTIAN SCHOOL,A0501924,27,25,-1,7,33
OAK MEADOW MONTESSORI SCHOOL,A9502256,17,25,-1,8,252
ODYSSEY DAY SCHOOL,2161099,17,25,-1,8,128
OLD COLONY MONTESSORI SCHOOL,604556,23,25,-1,4,103
OPEN BIBLE ACADEMY,A9103086,17,25,-1,12,50
OUR LADY OF ASSUMPTION SCHOOL,601169,9,25,-1,8,407
OUR LADY OF LOURDES SCHOOL,601704,5,25,-1,5,132
OUR LADY OF PERPETUAL HELP/MIS,600019,25,25,-1,8,219
OUR LADY OF THE ANGELS MEMORIA,602843,27,25,-1,8,268
OUR LADY OF THE HOLY ROSARY EL,602683,27,25,-1,8,268
OUR LADY OF THE VALLEY REGIONA,602887,27,25,-1,8,204
OUR LADYS ACADEMY,600325,17,25,-1,8,314
OUR SISTER'S SCHOOL,A0901817,5,25,5,8,54
OVER THE RAINBOW,A1170884,17,25,-1,0,34
OVER THE RAINBOW NURSERY SCHOO,A9706714,17,25,-1,0,57
PACE SCHOOL,A9103088,13,25,8,12,19
PAIGE ACADEMY,A9103089,25,25,-1,6,122
PARK STREET SCHOOL,A0501926,25,25,-1,6,294
PARKSIDE CHRISTIAN ACADEMY,604818,25,25,-1,10,157
PATTI-CAKE DAYCARE CENTER,A9706719,17,25,-1,0,22
PENIKESE ISLAND SCHOOL,A9701974,1,25,8,10,6
PEPPERELL CHRISTIAN ACADEMY,A0501927,17,25,-1,10,24
PERKINS SCHOOL FOR THE BLIND,604589,17,25,-1,12,220
PETERSHAM MONTESSORI SCHOOLS,A9706722,27,25,-1,0,16
