"","SERIALNO","HINCP","NP","place_id","SYNTHETIC_HID","longitude","latitude","puma_id","ST","SEX","AGEP","SCH","SCHG","RELP","HISP","ESR","PINCP","NATIVITY","OCCP","POBP","RAC1P","SYNTHETIC_PID","school_id","workplace_id"
"22",1194224,97290,3,25013813101,"25013813101-1634",-72.72604101,42.06335348,1901,25,1,33,1,NA,2,3,3,6000,1,6720,72,1,"25013813101-1634-2945","",NA
"23",787324,147800,2,25023507101,"25023507101-898",-70.74943,42.0309,100,25,2,71,1,NA,1,1,1,82000,1,3230,25,1,"25023507101-898-1385","",107122855
"24",1149439,101500,5,25001014500,"25001014500-3059",-70.53634543,41.61367858,100,25,2,47,1,NA,0,1,1,1500,1,2540,53,1,"25001014500-3059-6844","",228280210
"25",1266754,172500,3,25017352102,"25017352102-1333",-71.08187,42.37224,3900,25,2,75,1,NA,0,1,6,15500,1,5700,25,1,"25017352102-1333-2113","",NA
"26",864535,39500,2,25003900500,"25003900500-596",-73.29709309,42.46537843,1300,25,2,72,1,NA,1,1,6,21400,1,5120,25,1,"25003900500-596-793","",NA
"27",85600,75600,4,25023505102,"25023505102-1295",-70.78649,42.21639,3306,25,1,44,1,NA,1,11,1,30000,2,8220,312,1,"25023505102-1295-2800","",1815786
"28",262346,217040,7,25017363102,"25017363102-2434",-71.41237,42.50235,3500,25,1,70,1,NA,6,1,6,2500,2,NA,207,6,"25017363102-2434-5300","",NA
"29",856257,60200,4,25023511301,"25023511301-1465",-71.0117,42.07723,2800,25,1,48,1,NA,0,1,1,58400,2,3600,362,9,"25023511301-1465-3353","",891533507
"30",1126017,87000,4,25023510200,"25023510200-1583",-71.01315,42.10478,4500,25,1,5,2,1,2,1,NA,87000,1,NA,25,1,"25023510200-1583-3507","2.51E+11",NA
"31",1134194,116800,4,25017341902,"25017341902-3101",-71.03752451,42.44293749,701,25,1,53,1,NA,1,1,1,70000,1,1360,25,1,"25017341902-3101-6420","",1820794
"32",353358,59800,2,25027747101,"25027747101-881",-71.53406,42.03789,4700,25,2,56,1,NA,0,1,1,58400,1,2550,48,1,"25027747101-881-1251","",313548885
"33",80492,220100,6,25001014500,"25001014500-3167",-70.53293573,41.61728196,3303,25,1,22,2,15,2,1,6,4600,1,4620,25,1,"25001014500-3167-7431","",NA
"34",141229,159000,5,25021406102,"25021406102-2021",-71.28608,42.19032,4302,25,1,67,1,NA,0,1,1,50000,1,6200,139,1,"25021406102-2021-5635","",937808558
"35",1032041,221000,4,25015821000,"25015821000-1857",-72.56576801,42.24058278,4303,25,2,50,1,NA,0,1,1,71000,1,3255,25,1,"25015821000-1857-3820","",657322129
"36",1019228,118600,4,25017320102,"25017320102-1283",-71.55825415,42.20598231,304,25,2,28,1,NA,3,1,1,40000,1,4760,25,1,"25017320102-1283-3185","",896893070
"37",803789,50000,4,25023510800,"25023510800-1859",-71.02463,42.08421,702,25,1,49,1,NA,0,1,1,50000,1,6260,25,1,"25023510800-1859-4083","",970193462
"38",1194681,77300,3,25021401000,"25021401000-977",-71.12419,42.32857,703,25,1,32,2,15,2,1,1,28000,1,8740,25,1,"25021401000-977-1756","",663796555
"39",924569,152000,2,25027730500,"25027730500-1184",-71.80577,42.29005,501,25,1,36,1,NA,0,1,1,152000,1,740,25,1,"25027730500-1184-1757","",551397474
"40",50134,81400,2,25017341400,"25017341400-1263",-71.0607977,42.4185135,501,25,1,16,2,12,2,1,6,0,1,NA,25,8,"25017341400-1263-1656","2.50E+11",NA
"41",744495,148500,4,25025070900,"25025070900-1726",-71.0767,42.33661,508,25,2,54,1,NA,0,1,1,100000,1,120,25,1,"25025070900-1726-2918","",854084449
"42",611497,40800,4,25009205500,"25009205500-1180",-70.96422086,42.48134993,300,25,2,23,2,15,5,3,1,20000,1,3730,25,8,"25009205500-1180-2578","",106798432
"43",925666,123000,4,25021418002,"25021418002-3169",-70.9939,42.24339,1900,25,2,32,1,NA,0,1,1,53000,1,1050,25,2,"25021418002-3169-6091","",107089849
"44",854347,55200,2,25021440100,"25021440100-1601",-71.34441,41.99986,300,25,1,80,1,NA,0,1,6,39600,1,NA,9,1,"25021440100-1601-2262","",NA
"45",170119,59200,5,25013801700,"25013801700-2117",-72.54536996,42.11281958,704,25,2,23,1,NA,10,5,6,0,2,NA,329,8,"25013801700-2117-5353","",NA
"46",1301589,15300,4,25001013900,"25001013900-2249",-70.59063359,41.73363588,3601,25,2,71,1,NA,0,1,3,11800,1,5120,25,1,"25001013900-2249-4185","",NA
"47",1063458,30270,3,25027730801,"25027730801-1066",-71.81554,42.28008,504,25,2,45,1,NA,1,1,1,270,2,4220,362,9,"25027730801-1066-1642","",704298561
"48",1213009,46000,2,25017339400,"25017339400-668",-71.12362428,42.41700618,4000,25,2,83,1,NA,0,1,6,14940,1,NA,25,1,"25017339400-668-842","",NA
"49",1445389,31200,2,25025040401,"25025040401-631",-71.06386,42.37048,507,25,1,20,2,15,7,1,6,12000,1,5260,6,1,"25025040401-631-699","",NA
"50",1267618,174700,4,25017358600,"25017358600-1755",-71.24428,42.46917,4903,25,1,50,1,NA,1,1,6,0,2,NA,301,1,"25017358600-1755-3958","",NA
"51",563814,159800,4,25005616100,"25005616100-1697",-71.03664567,41.83827284,3400,25,1,19,3,15,2,1,2,4900,1,4110,25,1,"25005616100-1697-4122","",406089086
"52",1196709,18800,2,25017353900,"25017353900-770",-71.11585,42.36938,703,25,2,23,2,15,13,1,1,7000,1,5350,25,1,"25017353900-770-853","",315154575
"53",972635,46800,4,25011041502,"25011041502-1577",-72.75109358,42.61444609,3306,25,2,36,1,NA,1,1,1,6800,1,2540,25,1,"25011041502-1577-2931","",901239012
"54",1234684,58500,4,25017352600,"25017352600-1047",-71.09225,42.37198,3603,25,2,52,1,NA,0,1,1,19500,2,2540,209,6,"25017352600-1047-2206","",898318266
"55",5965,130000,4,25017317203,"25017317203-1444",-71.36610906,42.62139654,703,25,1,23,1,NA,2,1,3,0,1,4720,25,1,"25017317203-1444-3280","",NA
"56",328716,484000,2,25009218100,"25009218100-1399",-70.74625689,42.5877838,303,25,2,6,2,2,7,1,NA,484000,1,NA,25,1,"25009218100-1399-2236","2.50E+11",NA
"57",389322,253180,4,25017338400,"25017338400-1657",-71.15828809,42.44964916,702,25,1,53,1,NA,0,1,1,188000,1,10,25,1,"25017338400-1657-4018","",236511929
"58",627049,118800,5,25009206400,"25009206400-1983",-70.93020555,42.48152048,703,25,1,23,3,15,2,1,1,10000,2,5330,100,1,"25009206400-1983-5245","",107007601
"59",169785,54000,3,25027720100,"25027720100-795",-71.91243,42.42851,3602,25,2,32,1,NA,0,1,1,27000,2,5820,100,1,"25027720100-795-1402","",839761871
"60",1235462,174000,4,25017361100,"25017361100-1911",-71.37242,42.45197,3500,25,1,7,3,4,2,1,NA,174000,1,NA,25,9,"25017361100-1911-3648","600234",NA
"61",443071,119600,5,25017335200,"25017335200-2222",-71.08746059,42.50991593,3603,25,2,25,1,NA,10,1,1,9000,1,4110,25,1,"25017335200-2222-5110","",400092466
"62",802537,160000,5,25017368400,"25017368400-2351",-71.24953,42.36589,505,25,2,1,NA,NA,2,1,NA,160000,1,NA,25,1,"25017368400-2351-4746","",NA
"63",1013838,24300,1,25021402200,"25021402200-66",-71.14157,42.23128,3900,25,2,80,1,NA,0,1,6,24300,2,NA,139,1,"25021402200-66-66","",NA
"64",247310,37220,2,25003921500,"25003921500-664",-73.15128314,42.69660656,3302,25,2,26,1,NA,0,1,3,37220,1,430,25,1,"25003921500-664-868","",NA
"65",972291,32000,3,25025082100,"25025082100-1559",-71.08485,42.31024,3304,25,2,26,1,NA,0,1,1,16000,2,310,129,2,"25025082100-1559-2568","",901194506
"66",262948,112200,5,25025091900,"25025091900-1231",-71.07306,42.30514,4000,25,2,8,2,4,4,1,NA,112200,1,NA,25,2,"25025091900-1231-2887","2.50E+11",NA
"67",964864,70700,2,25013810100,"25013810100-1289",-72.30967939,42.14981869,1400,25,1,51,1,NA,0,1,1,54000,1,4220,25,1,"25013810100-1289-1683","",907021497
"68",1087026,7200,2,25009260301,"25009260301-473",-71.06458999,42.78020339,200,25,2,21,3,15,12,1,6,3000,1,4110,33,1,"25009260301-473-475","",NA
"69",792816,59100,3,25027732700,"25027732700-1519",-71.79529,42.24358,1902,25,2,25,2,15,2,1,1,42100,1,3310,25,1,"25027732700-1519-2572","",683827844
"70",822408,43000,2,25025120201,"25025120201-770",-71.10831,42.30317,304,25,1,22,1,NA,13,3,1,28000,1,7950,72,8,"25025120201-770-1013","",853530152
"71",858933,400,2,25017321300,"25017321300-1201",-71.5599187,42.34063149,3303,25,2,33,1,NA,0,5,6,400,2,NA,329,9,"25017321300-1201-1208","",NA
"72",1360922,9000,2,25009254200,"25009254200-5",-71.14429735,42.64852885,507,25,2,25,3,15,0,1,6,4000,1,2000,13,1,"25009254200-5-5","",NA
"73",753215,503300,4,25021442103,"25021442103-1579",-71.38598,42.13527,3602,25,2,6,3,2,2,1,NA,503300,1,NA,25,1,"25021442103-1579-4279","A1170921",NA
"74",1292086,2300,2,25013811101,"25013811101-548",-72.60853533,42.18216159,1902,25,2,28,1,NA,0,1,6,2300,1,4950,24,1,"25013811101-548-564","",NA
"75",1214283,159000,5,25017330100,"25017330100-2584",-71.06740825,42.58283382,1400,25,1,53,1,NA,0,1,1,134000,2,2720,138,1,"25017330100-2584-6693","",385032255
"76",1173530,129000,4,25013812101,"25013812101-1848",-72.65094594,42.18747691,4903,25,2,13,2,9,2,1,NA,129000,1,NA,25,1,"25013812101-1848-3927","2.50E+11",NA
"77",1194250,115000,4,25017338100,"25017338100-730",-71.13027986,42.46379911,2800,25,2,47,1,NA,1,1,3,0,1,9920,25,1,"25017338100-730-1719","",NA
"78",1380244,123300,4,25021419600,"25021419600-2195",-70.98422,42.1959,1902,25,1,44,1,NA,1,1,1,95000,1,1010,25,1,"25021419600-2195-4229","",4374153
"79",340601,95000,3,25015820500,"25015820500-1832",-72.51941984,42.37732637,506,25,2,24,1,NA,0,1,1,40000,1,710,9,1,"25015820500-1832-3114","",400006276
"80",236110,118000,4,25009252601,"25009252601-2568",-71.1323637,42.74324723,3304,25,1,29,1,NA,2,1,3,8000,1,4720,25,2,"25009252601-2568-5914","",NA
"81",683862,55000,1,25005640200,"25005640200-1435",-71.16376324,41.68526403,3603,25,1,54,2,15,0,1,1,55000,1,810,25,1,"25005640200-1435-1436","",488062365
"82",1475333,199000,3,25021402400,"25021402400-1656",-71.15943,42.24503,505,25,2,2,NA,NA,2,1,NA,199000,1,NA,25,1,"25021402400-1656-2757","",NA
"83",228861,97800,2,25021403100,"25021403100-561",-71.21017,42.26926,3500,25,2,82,1,NA,1,1,1,41400,1,735,25,1,"25021403100-561-783","",853884583
"84",452313,92000,2,25023540102,"25023540102-411",-70.90106,41.8145,2800,25,2,59,1,NA,1,1,1,22000,1,2200,25,1,"25023540102-411-623","",687059840
"85",869812,54000,1,25009260800,"25009260800-465",-71.09208826,42.77108621,300,25,2,55,1,NA,0,1,1,54000,1,5560,25,1,"25009260800-465-467","",716095633
"86",678148,10700,1,25027756102,"25027756102-80",-71.906,42.10563,301,25,2,65,1,NA,0,1,1,10700,1,5400,25,1,"25027756102-80-80","",106501943
"87",514452,27800,3,25027743100,"25027743100-1243",-71.63773,42.17646,4500,25,1,61,1,NA,0,1,6,17500,2,6515,130,1,"25027743100-1243-2053","",NA
"88",577363,22000,4,25017310700,"25017310700-1142",-71.33261227,42.64607254,4000,25,1,30,1,NA,0,3,1,22000,1,5110,25,8,"25017310700-1142-2185","",385474382
"89",101213,26200,4,25009251500,"25009251500-1775",-71.17144026,42.69316547,703,25,2,2,NA,NA,2,2,NA,26200,1,NA,25,8,"25009251500-1775-3966","",NA
"90",952564,50304,2,25005651002,"25005651002-723",-70.95349336,41.64001456,503,25,2,24,1,NA,12,1,1,45004,1,1965,9,1,"25005651002-723-968","",9040338
"91",110290,212000,2,25021442103,"25021442103-675",-71.39485,42.10793,1901,25,1,57,1,NA,1,1,1,170000,1,430,25,1,"25021442103-675-1181","",459388419
"92",302009,124000,6,25009221300,"25009221300-2553",-70.64072168,42.62383376,704,25,1,55,1,NA,0,1,1,58000,1,2040,20,1,"25009221300-2553-5450","",494466352
"93",615370,90300,4,25023541100,"25023541100-1366",-70.78125,41.79896,3302,25,1,38,1,NA,0,16,1,24000,2,4510,364,9,"25023541100-1366-2944","",107764359
"94",1296195,110000,2,25017339700,"25017339700-887",-71.10548111,42.41419268,300,25,1,27,3,15,1,1,1,60000,1,1050,25,1,"25017339700-887-1355","",854310893
"95",173360,71000,2,25009260800,"25009260800-840",-71.09174591,42.77874683,302,25,1,73,1,NA,15,1,1,32000,1,9140,36,1,"25009260800-840-1193","",480831189
"96",957913,200000,2,25017382300,"25017382300-1132",-71.34374,42.26677,3302,25,2,31,1,NA,0,23,1,100000,2,3255,134,1,"25017382300-1132-1740","",380052779
"97",603212,112000,2,25005612200,"25005612200-1681",-71.06020824,41.91421473,1600,25,2,49,1,NA,1,1,1,55000,1,5540,25,1,"25005612200-1681-2552","",226068260
"98",136654,115200,1,25013812600,"25013812600-529",-72.70564037,42.09043932,3302,25,1,32,1,NA,0,1,1,115200,1,800,25,1,"25013812600-529-534","",106337223
"99",732678,20000,5,25017334100,"25017334100-1836",-71.10368127,42.50961099,4302,25,2,13,2,10,2,1,NA,20000,1,NA,25,1,"25017334100-1836-4562","2.51E+11",NA
"100",637431,291000,2,25017317203,"25017317203-881",-71.35634035,42.61386791,3400,25,1,70,1,NA,1,1,6,276000,1,10,36,1,"25017317203-881-1331","",NA
"101",640448,56400,5,25017311600,"25017311600-1843",-71.3365257,42.62589968,3305,25,1,30,1,NA,1,5,1,50000,2,4500,329,8,"25017311600-1843-4386","",854066875
"102",1276637,12810,2,25017373800,"25017373800-725",-71.20141,42.33017,505,25,2,89,1,NA,0,1,6,2000,1,NA,25,1,"25017373800-725-755","",NA
"103",1318473,128500,4,25027728400,"25027728400-1520",-71.88847,42.38494,3602,25,2,39,1,NA,0,1,1,30000,1,5940,44,1,"25027728400-1520-3509","",491134318
"104",109427,21000,2,25023502200,"25023502200-833",-70.91386,42.13538,300,25,2,43,1,NA,15,1,6,12000,1,NA,25,1,"25023502200-833-866","",NA
"105",144265,34300,2,2.5e+10,"25025000502-1317",-71.15071,42.33652,4302,25,2,70,1,NA,1,1,1,20000,1,3600,25,1,"25025000502-1317-1510","",1783208
"106",139947,98600,3,25027708100,"25027708100-1700",-71.8782,42.55841,3602,25,1,16,3,12,2,1,6,1300,1,4220,25,1,"25027708100-1700-2960","A9103103",NA
"107",569759,5500,1,25017336100,"25017336100-23",-71.07854065,42.45771858,704,25,2,62,1,NA,0,1,3,5500,1,2600,42,1,"25017336100-23-23","",NA
"108",294731,70200,7,25003933200,"25003933200-1097",-73.21513227,42.20464248,4301,25,1,19,2,15,7,1,6,6300,1,NA,25,1,"25003933200-1097-2278","",NA
"109",47514,175240,4,25025100800,"25025100800-2252",-71.05617,42.27991,4800,25,1,3,1,NA,2,1,NA,175240,1,NA,25,1,"25025100800-2252-4378","",NA
"110",1004397,12000,1,25005653203,"25005653203-136",-70.94375329,41.60531328,3601,25,2,82,1,NA,0,1,6,12000,1,NA,25,1,"25005653203-136-136","",NA
"111",1431948,92200,2,25009260401,"25009260401-732",-71.13831167,42.80704089,3303,25,1,48,1,NA,0,1,1,37200,1,6230,25,1,"25009260401-732-933","",377271093
"112",164423,72000,7,25025100500,"25025100500-2304",-71.06376,42.28911,704,25,1,46,1,NA,5,1,6,2400,1,4760,25,2,"25025100500-2304-6017","",NA
"113",622961,132000,3,25025040300,"25025040300-1707",-71.06095,42.37851,4800,25,2,32,1,NA,1,1,1,72000,1,2310,42,1,"25025040300-1707-2789","",564855195
"114",904100,69000,3,25009208200,"25009208200-1467",-71.00571478,42.45878767,4302,25,2,0,NA,NA,2,3,NA,69000,1,NA,25,1,"25009208200-1467-2253","",NA
"115",1043959,78000,5,25017335302,"25017335302-1686",-71.057268,42.51644652,505,25,2,14,2,11,2,1,NA,78000,1,NA,25,1,"25017335302-1686-3899","2.51E+11",NA
"116",1317523,135000,2,25021443102,"25021443102-1351",-71.48793,42.07069,3304,25,1,28,1,NA,12,1,1,85000,1,4920,51,1,"25021443102-1351-1962","",442847273
"117",1447865,110100,3,25009261000,"25009261000-1360",-71.08010324,42.76841727,3500,25,1,61,1,NA,0,1,1,106000,1,1820,36,1,"25009261000-1360-2387","",263257925
"118",1310759,95000,3,25005631700,"25005631700-1472",-71.2406683,41.9230595,304,25,2,32,1,NA,1,1,6,0,1,NA,36,1,"25005631700-1472-2510","",NA
"119",887890,48900,2,25023530300,"25023530300-983",-70.68256,41.96322,200,25,1,80,1,NA,1,1,6,22400,1,NA,25,1,"25023530300-983-1262","",NA
"120",683349,131800,4,25017373100,"25017373100-1869",-71.18918,42.35738,703,25,2,47,1,NA,1,1,1,10000,1,5120,25,1,"25017373100-1869-3653","",1099068
"121",991553,208820,2,25025020303,"25025020303-1334",-71.0642,42.36636,503,25,1,44,1,NA,1,1,1,57020,1,5000,25,1,"25025020303-1334-1730","",853795524
"122",693777,40100,2,25009266200,"25009266200-800",-70.94310069,42.85860783,1600,25,2,64,1,NA,0,1,6,16200,1,5120,9,1,"25009266200-800-1005","",NA
"123",486084,107600,6,25025170100,"25025170100-2689",-71.02935,42.41516,301,25,2,18,2,15,2,1,1,7600,1,5240,25,1,"25025170100-2689-7140","",400089553
"124",1098773,139000,5,25005655400,"25005655400-2081",-70.87536292,41.62976235,4303,25,2,32,1,NA,10,1,1,27000,1,4600,25,1,"25005655400-2081-4331","",211383963
"125",401950,230020,2,25025060400,"25025060400-2029",-71.03988,42.33115,3900,25,1,51,1,NA,1,1,1,135000,1,4710,25,1,"25025060400-2029-3052","",107286601
"126",986735,260000,4,25017367200,"25017367200-1821",-71.31897,42.34238,1000,25,2,13,2,10,2,1,NA,260000,1,NA,25,1,"25017367200-1821-3928","2.51E+11",NA
"127",519766,163000,4,25009209200,"25009209200-1502",-71.04103735,42.54101145,504,25,1,47,1,NA,11,1,1,10000,2,9360,362,1,"25009209200-1502-3647","",376602041
"128",1151046,105000,4,25017368800,"25017368800-1806",-71.23185,42.37592,3302,25,2,1,NA,NA,2,1,NA,105000,1,NA,25,1,"25017368800-1806-3260","",NA
"129",1117825,7100,4,25015822606,"25015822606-1425",-72.77796577,42.43382156,4901,25,1,9,2,5,2,1,NA,7100,1,NA,25,1,"25015822606-1425-2621","2.51E+11",NA
"130",1050351,48000,4,25027726200,"25027726200-2199",-71.98835,42.24735,3601,25,1,41,1,NA,1,1,1,23000,1,5000,25,1,"25027726200-2199-3687","",840651939
"131",957647,103000,3,25023511500,"25023511500-1007",-71.02818,42.07069,4800,25,2,51,1,NA,1,1,1,28000,1,4850,6,1,"25023511500-1007-2178","",107962425
"132",333355,139600,2,25023521101,"25023521101-872",-70.94897,42.07601,400,25,2,66,1,NA,1,1,1,33700,1,2630,42,1,"25023521101-872-1318","",221060254
"133",343741,56000,1,25013812902,"25013812902-381",-72.79563362,42.10193465,1900,25,2,56,1,NA,0,1,1,56000,1,2310,25,1,"25013812902-381-381","",1093723
"134",734310,152500,2,25013813404,"25013813404-1029",-72.46469252,42.04142875,3303,25,1,28,3,16,1,1,1,96500,1,3850,25,1,"25013813404-1029-1459","",106235971
"135",506294,134750,5,25009221600,"25009221600-1076",-70.67598758,42.62328852,4902,25,1,45,1,NA,0,1,1,101000,1,530,25,1,"25009221600-1076-2591","",429925647
"136",579862,33901,4,25013810300,"25013810300-1154",-72.34892235,42.18136044,304,25,1,41,1,NA,1,1,6,22000,1,2860,28,1,"25013810300-1154-2061","",NA
"137",1056812,190000,4,25005610204,"25005610204-1784",-71.18983703,42.03365333,504,25,2,12,2,9,2,1,NA,190000,1,NA,25,1,"25005610204-1784-4016","2.51E+11",NA
"138",161080,98200,3,25017321600,"25017321600-2243",-71.53959605,42.36780649,3603,25,2,72,1,NA,10,1,6,8300,2,NA,207,6,"25017321600-2243-3492","",NA
"139",55452,125000,7,25017333501,"25017333501-2044",-71.126809,42.50270734,504,25,2,9,2,6,2,1,NA,125000,1,NA,25,1,"25017333501-2044-5155","2.51E+11",NA
"140",979829,112800,4,25023530901,"25023530901-2820",-70.60384,41.77798,300,25,1,12,2,8,2,3,NA,112800,1,NA,25,1,"25023530901-2820-6546","2.51E+11",NA
"141",667506,230000,5,25025010701,"25025010701-1672",-71.08712,42.34755,1300,25,2,39,1,NA,1,1,1,95000,2,3258,206,6,"25025010701-1672-2741","",107305856
"142",1275604,60720,5,25009252603,"25009252603-1024",-71.17000196,42.75076193,3305,25,1,64,1,NA,5,1,6,8800,1,NA,25,1,"25009252603-1024-2454","",NA
"143",1462914,157000,4,25017321300,"25017321300-3099",-71.56272586,42.3435589,4800,25,2,9,2,5,2,1,NA,157000,1,NA,6,1,"25017321300-3099-6338","2.51E+11",NA
"144",532697,49970,3,25021413402,"25021413402-1081",-71.23357,42.18355,3603,25,2,58,1,NA,13,1,3,8970,2,4720,126,1,"25021413402-1081-1677","",NA
"145",622474,150400,1,25001014900,"25001014900-1123",-70.64779272,41.56505303,1900,25,1,57,1,NA,0,1,1,150400,1,3060,25,1,"25001014900-1123-1123","",316216480
"146",1043072,242020,2,25023504101,"25023504101-852",-70.8301,42.16472,1300,25,2,26,1,NA,1,1,1,130000,1,3160,9,1,"25023504101-852-1335","",450190459
"147",1244968,86600,2,25001011801,"25001011801-1054",-70.20996566,41.7114393,1902,25,2,86,1,NA,1,1,6,0,1,NA,25,1,"25001011801-1054-1473","",NA
"148",1467241,97000,2,25013812104,"25013812104-1008",-72.6312822,42.19120217,3301,25,2,13,3,10,7,1,NA,97000,2,NA,214,1,"25013812104-1008-1319","602264",NA
"149",654251,56800,2,25013813208,"25013813208-513",-72.60736668,42.05566949,4301,25,1,67,1,NA,0,1,6,19500,1,5610,129,1,"25013813208-513-815","",NA
"150",524365,212000,3,25009204400,"25009204400-1649",-70.88309528,42.52573577,303,25,2,56,1,NA,1,1,1,88000,1,2310,25,1,"25009204400-1649-2820","",541925525
"151",479913,65000,2,25021417100,"25021417100-561",-71.02697,42.254,3303,25,2,25,1,NA,12,1,1,20000,1,4920,25,1,"25021417100-561-674","",400398810
"152",1340203,124100,5,25009206300,"25009206300-1243",-70.945597,42.47352247,1300,25,2,43,1,NA,0,1,6,0,1,3600,25,1,"25009206300-1243-3380","",NA
"153",955505,286000,2,25021403300,"25021403300-589",-71.24449,42.26595,4903,25,1,58,1,NA,0,1,1,230500,1,20,36,1,"25021403300-589-959","",889912259
"154",452416,180000,2,25023505102,"25023505102-629",-70.775,42.19932,4903,25,1,60,1,NA,0,1,1,123000,2,2200,138,1,"25023505102-629-966","",440241727
"155",1035849,180900,7,25027715100,"25027715100-1636",-71.62246,42.4295,505,25,2,41,1,NA,0,1,1,140000,2,1020,150,1,"25027715100-1636-4726","",106609746
"156",1219219,154000,4,25017323100,"25017323100-1845",-71.51995103,42.43562223,400,25,1,49,1,NA,1,1,1,54000,1,1105,25,1,"25017323100-1845-3989","",602557
"157",589422,45300,2,25017300100,"25017300100-251",-71.79263017,42.65462805,200,25,1,58,1,NA,2,1,1,27000,1,4220,25,1,"25017300100-251-385","",266731462
"158",1379049,1517000,4,25017373900,"25017373900-2461",-71.18495,42.31259,505,25,1,14,3,11,2,23,NA,1517000,1,NA,25,1,"25017373900-2461-5343","599544",NA
"159",1652,75000,3,25017368400,"25017368400-1942",-71.25167,42.36427,505,25,2,5,3,1,2,1,NA,75000,1,NA,25,1,"25017368400-1942-3241","599329",NA
"160",1429505,79810,3,25009204101,"25009204101-1398",-70.89288221,42.50525887,100,25,2,58,1,NA,0,1,6,12010,1,430,22,1,"25009204101-1398-2318","",NA
"161",194075,166800,3,25017316500,"25017316500-1559",-71.27228514,42.59366605,703,25,1,77,1,NA,0,1,6,58100,1,4760,36,1,"25017316500-1559-3072","",NA
