BB2,CCW
ICD_DGNS_E_CD1,ICD_DGNS_E_CD1
ICD_DGNS_E_CD10,ICD_DGNS_E_CD10
ICD_DGNS_E_CD11,ICD_DGNS_E_CD11
ICD_DGNS_E_CD12,ICD_DGNS_E_CD12
ICD_DGNS_E_CD2,ICD_DGNS_E_CD2
ICD_DGNS_E_CD3,ICD_DGNS_E_CD3
ICD_DGNS_E_CD4,ICD_DGNS_E_CD4
ICD_DGNS_E_CD5,ICD_DGNS_E_CD5
ICD_DGNS_E_CD6,ICD_DGNS_E_CD6
ICD_DGNS_E_CD7,ICD_DGNS_E_CD7
ICD_DGNS_E_CD8,ICD_DGNS_E_CD8
ICD_DGNS_E_CD9,ICD_DGNS_E_CD9
ICD_DGNS_E_VRSN_CD1,
ICD_DGNS_E_VRSN_CD10,
ICD_DGNS_E_VRSN_CD11,
ICD_DGNS_E_VRSN_CD12,
ICD_DGNS_E_VRSN_CD2,
ICD_DGNS_E_VRSN_CD3,
ICD_DGNS_E_VRSN_CD4,
ICD_DGNS_E_VRSN_CD5,
ICD_DGNS_E_VRSN_CD6,
ICD_DGNS_E_VRSN_CD7,
ICD_DGNS_E_VRSN_CD8,
ICD_DGNS_E_VRSN_CD9,
ICD_DGNS_VRSN_CD1,
ICD_DGNS_VRSN_CD10,
ICD_DGNS_VRSN_CD11,
ICD_DGNS_VRSN_CD12,
ICD_DGNS_VRSN_CD13,
ICD_DGNS_VRSN_CD14,
ICD_DGNS_VRSN_CD15,
ICD_DGNS_VRSN_CD16,
ICD_DGNS_VRSN_CD17,
ICD_DGNS_VRSN_CD18,
ICD_DGNS_VRSN_CD19,
ICD_DGNS_VRSN_CD2,
ICD_DGNS_VRSN_CD20,
ICD_DGNS_VRSN_CD21,
ICD_DGNS_VRSN_CD22,
ICD_DGNS_VRSN_CD23,
ICD_DGNS_VRSN_CD24,
ICD_DGNS_VRSN_CD25,
ICD_DGNS_VRSN_CD3,
ICD_DGNS_VRSN_CD4,
ICD_DGNS_VRSN_CD5,
ICD_DGNS_VRSN_CD6,
ICD_DGNS_VRSN_CD7,
ICD_DGNS_VRSN_CD8,
ICD_DGNS_VRSN_CD9,
NCH_CLM_TYPE_CD,NCH_CLM_TYPE_CD
NCH_NEAR_LINE_REC_IDENT_CD,NCH_NEAR_LINE_REC_IDENT_CD
NCH_PRMRY_PYR_CD,NCH_PRMRY_PYR_CD
NCH_PRMRY_PYR_CLM_PD_AMT,NCH_PRMRY_PYR_CLM_PD_AMT
NCH_WKLY_PROC_DT,NCH_WKLY_PROC_DT
ORG_NPI_NUM,ORG_NPI_NUM
PRNCPAL_DGNS_CD,PRNCPAL_DGNS_CD
PRNCPAL_DGNS_VRSN_CD,
PRVDR_NUM,PRVDR_NUM
PRVDR_STATE_CD,PRVDR_STATE_CD
PTNT_DSCHRG_STUS_CD,PTNT_DSCHRG_STUS_CD
REV_CNTR,REV_CNTR
REV_CNTR_1ST_ANSI_CD,REV_CNTR_1ST_ANSI_CD
REV_CNTR_APC_HIPPS_CD,REV_CNTR_APC_HIPPS_CD
REV_CNTR_DDCTBL_COINSRNC_CD,REV_CNTR_DDCTBL_COINSRNC_CD
REV_CNTR_DT,REV_CNTR_DT
REV_CNTR_NCVRD_CHRG_AMT,REV_CNTR_NCVRD_CHRG_AMT
REV_CNTR_NDC_QTY,REV_CNTR_NDC_QTY
REV_CNTR_NDC_QTY_QLFR_CD,REV_CNTR_NDC_QTY_QLFR_CD
REV_CNTR_PMT_AMT_AMT,REV_CNTR_PMT_AMT_AMT
REV_CNTR_PMT_MTHD_IND_CD,REV_CNTR_PMT_MTHD_IND_CD
REV_CNTR_RATE_AMT,REV_CNTR_RATE_AMT
REV_CNTR_STUS_IND_CD,REV_CNTR_STUS_IND_CD
REV_CNTR_TOT_CHRG_AMT,REV_CNTR_TOT_CHRG_AMT
REV_CNTR_UNIT_CNT,REV_CNTR_UNIT_CNT
RNDRNG_PHYSN_NPI,RNDRNG_PHYSN_NPI
RNDRNG_PHYSN_UPIN,RNDRNG_PHYSN_UPIN
