BB2,CCW
ICD_DGNS_E_CD11,ICD_DGNS_E_CD11
ICD_DGNS_E_CD12,ICD_DGNS_E_CD12
ICD_DGNS_E_CD2,ICD_DGNS_E_CD2
ICD_DGNS_E_CD3,ICD_DGNS_E_CD3
ICD_DGNS_E_CD4,ICD_DGNS_E_CD4
ICD_DGNS_E_CD5,ICD_DGNS_E_CD5
ICD_DGNS_E_CD6,ICD_DGNS_E_CD6
ICD_DGNS_E_CD7,ICD_DGNS_E_CD7
ICD_DGNS_E_CD8,ICD_DGNS_E_CD8
ICD_DGNS_E_CD9,ICD_DGNS_E_CD9
ICD_DGNS_E_VRSN_CD1,
ICD_DGNS_E_VRSN_CD10,
ICD_DGNS_E_VRSN_CD11,
ICD_DGNS_E_VRSN_CD12,
ICD_DGNS_E_VRSN_CD2,
ICD_DGNS_E_VRSN_CD3,
ICD_DGNS_E_VRSN_CD4,
ICD_DGNS_E_VRSN_CD5,
ICD_DGNS_E_VRSN_CD6,
ICD_DGNS_E_VRSN_CD7,
ICD_DGNS_E_VRSN_CD8,
ICD_DGNS_E_VRSN_CD9,
ICD_DGNS_VRSN_CD1,
ICD_DGNS_VRSN_CD10,
ICD_DGNS_VRSN_CD11,
ICD_DGNS_VRSN_CD12,
ICD_DGNS_VRSN_CD13,
ICD_DGNS_VRSN_CD14,
ICD_DGNS_VRSN_CD15,
ICD_DGNS_VRSN_CD16,
ICD_DGNS_VRSN_CD17,
ICD_DGNS_VRSN_CD18,
ICD_DGNS_VRSN_CD19,
ICD_DGNS_VRSN_CD2,
ICD_DGNS_VRSN_CD20,
ICD_DGNS_VRSN_CD21,
ICD_DGNS_VRSN_CD22,
ICD_DGNS_VRSN_CD23,
ICD_DGNS_VRSN_CD24,
ICD_DGNS_VRSN_CD25,
ICD_DGNS_VRSN_CD3,
ICD_DGNS_VRSN_CD4,
ICD_DGNS_VRSN_CD5,
ICD_DGNS_VRSN_CD6,
ICD_DGNS_VRSN_CD7,
ICD_DGNS_VRSN_CD8,
ICD_DGNS_VRSN_CD9,
ICD_PRCDR_CD1,ICD_PRCDR_CD1
ICD_PRCDR_CD10,ICD_PRCDR_CD10
ICD_PRCDR_CD11,ICD_PRCDR_CD11
ICD_PRCDR_CD12,ICD_PRCDR_CD12
ICD_PRCDR_CD13,ICD_PRCDR_CD13
ICD_PRCDR_CD14,ICD_PRCDR_CD14
ICD_PRCDR_CD15,ICD_PRCDR_CD15
ICD_PRCDR_CD16,ICD_PRCDR_CD16
ICD_PRCDR_CD17,ICD_PRCDR_CD17
ICD_PRCDR_CD18,ICD_PRCDR_CD18
ICD_PRCDR_CD19,ICD_PRCDR_CD19
ICD_PRCDR_CD2,ICD_PRCDR_CD2
ICD_PRCDR_CD20,ICD_PRCDR_CD20
ICD_PRCDR_CD21,ICD_PRCDR_CD21
ICD_PRCDR_CD22,ICD_PRCDR_CD22
ICD_PRCDR_CD23,ICD_PRCDR_CD23
ICD_PRCDR_CD24,ICD_PRCDR_CD24
ICD_PRCDR_CD25,ICD_PRCDR_CD25
ICD_PRCDR_CD3,ICD_PRCDR_CD3
ICD_PRCDR_CD4,ICD_PRCDR_CD4
ICD_PRCDR_CD5,ICD_PRCDR_CD5
ICD_PRCDR_CD6,ICD_PRCDR_CD6
ICD_PRCDR_CD7,ICD_PRCDR_CD7
ICD_PRCDR_CD8,ICD_PRCDR_CD8
ICD_PRCDR_CD9,ICD_PRCDR_CD9
ICD_PRCDR_VRSN_CD1,
ICD_PRCDR_VRSN_CD10,
ICD_PRCDR_VRSN_CD11,
ICD_PRCDR_VRSN_CD12,
ICD_PRCDR_VRSN_CD13,
ICD_PRCDR_VRSN_CD14,
ICD_PRCDR_VRSN_CD15,
ICD_PRCDR_VRSN_CD16,
ICD_PRCDR_VRSN_CD17,
ICD_PRCDR_VRSN_CD18,
ICD_PRCDR_VRSN_CD19,
ICD_PRCDR_VRSN_CD2,
ICD_PRCDR_VRSN_CD20,
ICD_PRCDR_VRSN_CD21,
ICD_PRCDR_VRSN_CD22,
ICD_PRCDR_VRSN_CD23,
ICD_PRCDR_VRSN_CD24,
ICD_PRCDR_VRSN_CD25,
ICD_PRCDR_VRSN_CD3,
ICD_PRCDR_VRSN_CD4,
ICD_PRCDR_VRSN_CD5,
ICD_PRCDR_VRSN_CD6,
ICD_PRCDR_VRSN_CD7,
ICD_PRCDR_VRSN_CD8,
ICD_PRCDR_VRSN_CD9,
NCH_BENE_BLOOD_DDCTBL_LBLTY_AM,NCH_BENE_BLOOD_DDCTBL_LBLTY_AM
NCH_BENE_PTB_COINSRNC_AMT,NCH_BENE_PTB_COINSRNC_AMT
NCH_BENE_PTB_DDCTBL_AMT,NCH_BENE_PTB_DDCTBL_AMT
NCH_CLM_TYPE_CD,NCH_CLM_TYPE_CD
NCH_NEAR_LINE_REC_IDENT_CD,NCH_NEAR_LINE_REC_IDENT_CD
NCH_PRMRY_PYR_CD,NCH_PRMRY_PYR_CD
NCH_PRMRY_PYR_CLM_PD_AMT,NCH_PRMRY_PYR_CLM_PD_AMT
NCH_PROFNL_CMPNT_CHRG_AMT,NCH_PROFNL_CMPNT_CHRG_AMT
NCH_WKLY_PROC_DT,NCH_WKLY_PROC_DT
OP_PHYSN_NPI,OP_PHYSN_NPI
OP_PHYSN_UPIN,OP_PHYSN_UPIN
ORG_NPI_NUM,ORG_NPI_NUM
OT_PHYSN_NPI,OT_PHYSN_NPI
OT_PHYSN_UPIN,OT_PHYSN_UPIN
PRCDR_DT1,PRCDR_DT1
PRCDR_DT10,PRCDR_DT10
PRCDR_DT11,PRCDR_DT11
PRCDR_DT12,PRCDR_DT12
PRCDR_DT13,PRCDR_DT13
PRCDR_DT14,PRCDR_DT14
PRCDR_DT15,PRCDR_DT15
PRCDR_DT16,PRCDR_DT16
PRCDR_DT17,PRCDR_DT17
PRCDR_DT18,PRCDR_DT18
PRCDR_DT19,PRCDR_DT19
PRCDR_DT2,PRCDR_DT2
PRCDR_DT20,PRCDR_DT20
PRCDR_DT21,PRCDR_DT21
PRCDR_DT22,PRCDR_DT22
PRCDR_DT23,PRCDR_DT23
PRCDR_DT24,PRCDR_DT24
PRCDR_DT25,PRCDR_DT25
PRCDR_DT3,PRCDR_DT3
PRCDR_DT4,PRCDR_DT4
PRCDR_DT5,PRCDR_DT5
PRCDR_DT6,PRCDR_DT6
PRCDR_DT7,PRCDR_DT7
PRCDR_DT8,PRCDR_DT8
PRCDR_DT9,PRCDR_DT9
PRNCPAL_DGNS_CD,PRNCPAL_DGNS_CD
PRNCPAL_DGNS_VRSN_CD,
PRVDR_NUM,PRVDR_NUM
PRVDR_STATE_CD,PRVDR_STATE_CD
PTNT_DSCHRG_STUS_CD,PTNT_DSCHRG_STUS_CD
REV_CNTR,REV_CNTR
REV_CNTR_1ST_ANSI_CD,REV_CNTR_1ST_ANSI_CD
REV_CNTR_1ST_MSP_PD_AMT,REV_CNTR_1ST_MSP_PD_AMT
REV_CNTR_2ND_ANSI_CD,REV_CNTR_2ND_ANSI_CD
REV_CNTR_2ND_MSP_PD_AMT,REV_CNTR_2ND_MSP_PD_AMT
REV_CNTR_3RD_ANSI_CD,REV_CNTR_3RD_ANSI_CD
REV_CNTR_4TH_ANSI_CD,REV_CNTR_4TH_ANSI_CD
REV_CNTR_APC_HIPPS_CD,REV_CNTR_APC_HIPPS_CD
REV_CNTR_BENE_PMT_AMT,REV_CNTR_BENE_PMT_AMT
REV_CNTR_BLOOD_DDCTBL_AMT,REV_CNTR_BLOOD_DDCTBL_AMT
REV_CNTR_CASH_DDCTBL_AMT,REV_CNTR_CASH_DDCTBL_AMT
REV_CNTR_COINSRNC_WGE_ADJSTD_C,REV_CNTR_COINSRNC_WGE_ADJSTD_C
REV_CNTR_DSCNT_IND_CD,REV_CNTR_DSCNT_IND_CD
REV_CNTR_DT,REV_CNTR_DT
REV_CNTR_IDE_NDC_UPC_NUM,REV_CNTR_IDE_NDC_UPC_NUM
REV_CNTR_NCVRD_CHRG_AMT,REV_CNTR_NCVRD_CHRG_AMT
REV_CNTR_NDC_QTY,REV_CNTR_NDC_QTY
REV_CNTR_NDC_QTY_QLFR_CD,REV_CNTR_NDC_QTY_QLFR_CD
REV_CNTR_OTAF_PMT_CD,REV_CNTR_OTAF_PMT_CD
REV_CNTR_PACKG_IND_CD,REV_CNTR_PACKG_IND_CD
REV_CNTR_PMT_AMT_AMT,REV_CNTR_PMT_AMT_AMT
REV_CNTR_PMT_MTHD_IND_CD,REV_CNTR_PMT_MTHD_IND_CD
REV_CNTR_PRVDR_PMT_AMT,REV_CNTR_PRVDR_PMT_AMT
REV_CNTR_PTNT_RSPNSBLTY_PMT,REV_CNTR_PTNT_RSPNSBLTY_PMT
REV_CNTR_RATE_AMT,REV_CNTR_RATE_AMT
REV_CNTR_RDCD_COINSRNC_AMT,REV_CNTR_RDCD_COINSRNC_AMT
REV_CNTR_STUS_IND_CD,REV_CNTR_STUS_IND_CD
REV_CNTR_TOT_CHRG_AMT,REV_CNTR_TOT_CHRG_AMT
REV_CNTR_UNIT_CNT,REV_CNTR_UNIT_CNT
RNDRNG_PHYSN_NPI,RNDRNG_PHYSN_NPI
RNDRNG_PHYSN_UPIN,RNDRNG_PHYSN_UPIN
RSN_VISIT_CD1,RSN_VISIT_CD1
RSN_VISIT_CD2,RSN_VISIT_CD2
RSN_VISIT_CD3,RSN_VISIT_CD3
RSN_VISIT_VRSN_CD1,
RSN_VISIT_VRSN_CD2,
RSN_VISIT_VRSN_CD3,
