age,gender,state,Prescribe_Benazepril_Hydrochloride_10_Mg_Oral_Tablet,Prescribe_Benazepril_Hydrochloride_20_Mg_Oral_Tablet,Prescribe_Benazepril_Hydrochloride_40_Mg_Oral_Tablet,Prescribe_Benazepril_Hydrochloride_5_Mg_Oral_Tablet
36-45,F,West Virginia,0.0,0.065,0.0,0.935
36-45,F,Wyoming,0.0,0.0,1.0,0.0
36-45,M,Connecticut,0.0,0.0,1.0,0.0
36-45,M,Illinois,0.0,0.0,1.0,0.0
36-45,M,Indiana,0.0,0.0,1.0,0.0
36-45,M,Iowa,0.0,0.0,1.0,0.0
36-45,M,Kansas,0.0,0.0,1.0,0.0
36-45,M,Maine,0.0,0.0,1.0,0.0
36-45,M,Massachusetts,0.0,0.0,1.0,0.0
36-45,M,Michigan,0.0,0.0,1.0,0.0
36-45,M,Minnesota,0.0,0.0,1.0,0.0
36-45,M,Missouri,0.0,0.0,1.0,0.0
36-45,M,Nebraska,0.0,0.0,1.0,0.0
36-45,M,New Hampshire,0.0,0.0,1.0,0.0
36-45,M,New Jersey,0.0,0.0,1.0,0.0
36-45,M,New York,0.0,0.0,1.0,0.0
36-45,M,North Dakota,0.0,0.0,1.0,0.0
36-45,M,Ohio,0.0,0.0,1.0,0.0
36-45,M,Pennsylvania,0.0,0.0,1.0,0.0
36-45,M,Rhode Island,0.0,0.0,1.0,0.0
36-45,M,South Dakota,0.0,0.0,1.0,0.0
36-45,M,Vermont,0.0,0.0,1.0,0.0
36-45,M,Wisconsin,0.0,0.0,1.0,0.0
4-7,F,Illinois,0.0,0.0,1.0,0.0
4-7,F,Indiana,0.0,0.0,1.0,0.0
4-7,F,Iowa,0.0,0.0,1.0,0.0
4-7,F,Kansas,0.0,0.0,1.0,0.0
4-7,F,Michigan,0.0,0.0,1.0,0.0
4-7,F,Minnesota,0.0,0.0,1.0,0.0
4-7,F,Missouri,0.0,0.0,1.0,0.0
4-7,F,Nebraska,0.0,0.0,1.0,0.0
4-7,F,North Dakota,0.0,0.0,1.0,0.0
4-7,F,Ohio,0.0,0.0,1.0,0.0
4-7,F,South Dakota,0.0,0.0,1.0,0.0
4-7,F,Wisconsin,0.0,0.0,1.0,0.0
46-65,F,Alabama,0.266,0.061,0.17,0.503
46-65,F,Alaska,0.515,0.0,0.235,0.25
46-65,F,Arizona,0.515,0.0,0.235,0.25
46-65,F,Arkansas,0.266,0.061,0.17,0.503
46-65,F,California,0.515,0.0,0.235,0.25
46-65,F,Colorado,0.515,0.0,0.235,0.25
46-65,F,Connecticut,0.393,0.393,0.215,0.0
46-65,F,Delaware,0.266,0.061,0.17,0.503
46-65,F,District of Columbia,0.266,0.061,0.17,0.503
46-65,F,Florida,0.266,0.061,0.17,0.503
46-65,F,Georgia,0.266,0.061,0.17,0.503
46-65,F,Hawaii,0.515,0.0,0.235,0.25
46-65,F,Idaho,0.515,0.0,0.235,0.25
46-65,F,Illinois,0.294,0.294,0.412,0.0
46-65,F,Indiana,0.294,0.294,0.412,0.0
46-65,F,Iowa,0.294,0.294,0.412,0.0
46-65,F,Kansas,0.294,0.294,0.412,0.0
46-65,F,Kentucky,0.266,0.061,0.17,0.503
46-65,F,Louisiana,0.266,0.061,0.17,0.503
46-65,F,Maine,0.393,0.393,0.215,0.0
46-65,F,Maryland,0.266,0.061,0.17,0.503
46-65,F,Massachusetts,0.393,0.393,0.215,0.0
46-65,F,Michigan,0.294,0.294,0.412,0.0
46-65,F,Minnesota,0.294,0.294,0.412,0.0
46-65,F,Mississippi,0.266,0.061,0.17,0.503
46-65,F,Missouri,0.294,0.294,0.412,0.0
46-65,F,Montana,0.515,0.0,0.235,0.25
46-65,F,Nebraska,0.294,0.294,0.412,0.0
46-65,F,Nevada,0.515,0.0,0.235,0.25
46-65,F,New Hampshire,0.393,0.393,0.215,0.0
46-65,F,New Jersey,0.393,0.393,0.215,0.0
46-65,F,New Mexico,0.515,0.0,0.235,0.25
46-65,F,New York,0.393,0.393,0.215,0.0
46-65,F,North Carolina,0.266,0.061,0.17,0.503
46-65,F,North Dakota,0.294,0.294,0.412,0.0
46-65,F,Ohio,0.294,0.294,0.412,0.0
46-65,F,Oklahoma,0.266,0.061,0.17,0.503
46-65,F,Oregon,0.515,0.0,0.235,0.25
46-65,F,Pennsylvania,0.393,0.393,0.215,0.0
46-65,F,Rhode Island,0.393,0.393,0.215,0.0
46-65,F,South Carolina,0.266,0.061,0.17,0.503
46-65,F,South Dakota,0.294,0.294,0.412,0.0
46-65,F,Tennessee,0.266,0.061,0.17,0.503
46-65,F,Texas,0.266,0.061,0.17,0.503
46-65,F,Utah,0.515,0.0,0.235,0.25
46-65,F,Vermont,0.393,0.393,0.215,0.0
46-65,F,Virginia,0.266,0.061,0.17,0.503
46-65,F,Washington,0.515,0.0,0.235,0.25
46-65,F,West Virginia,0.266,0.061,0.17,0.503
46-65,F,Wisconsin,0.294,0.294,0.412,0.0
46-65,F,Wyoming,0.515,0.0,0.235,0.25
46-65,M,Alabama,0.133,0.597,0.27,0.0
46-65,M,Alaska,0.092,0.609,0.299,0.0
46-65,M,Arizona,0.092,0.609,0.299,0.0
46-65,M,Arkansas,0.133,0.597,0.27,0.0
46-65,M,California,0.092,0.609,0.299,0.0
46-65,M,Colorado,0.092,0.609,0.299,0.0
46-65,M,Delaware,0.133,0.597,0.27,0.0
46-65,M,District of Columbia,0.133,0.597,0.27,0.0
46-65,M,Florida,0.133,0.597,0.27,0.0
46-65,M,Georgia,0.133,0.597,0.27,0.0
46-65,M,Hawaii,0.092,0.609,0.299,0.0
46-65,M,Idaho,0.092,0.609,0.299,0.0
46-65,M,Illinois,0.0,0.506,0.494,0.0
46-65,M,Indiana,0.0,0.506,0.494,0.0
46-65,M,Iowa,0.0,0.506,0.494,0.0
46-65,M,Kansas,0.0,0.506,0.494,0.0
46-65,M,Kentucky,0.133,0.597,0.27,0.0
46-65,M,Louisiana,0.133,0.597,0.27,0.0
46-65,M,Maryland,0.133,0.597,0.27,0.0
46-65,M,Michigan,0.0,0.506,0.494,0.0
46-65,M,Minnesota,0.0,0.506,0.494,0.0
46-65,M,Mississippi,0.133,0.597,0.27,0.0
46-65,M,Missouri,0.0,0.506,0.494,0.0
46-65,M,Montana,0.092,0.609,0.299,0.0
46-65,M,Nebraska,0.0,0.506,0.494,0.0
46-65,M,Nevada,0.092,0.609,0.299,0.0
46-65,M,New Mexico,0.092,0.609,0.299,0.0
46-65,M,North Carolina,0.133,0.597,0.27,0.0
46-65,M,North Dakota,0.0,0.506,0.494,0.0
46-65,M,Ohio,0.0,0.506,0.494,0.0
46-65,M,Oklahoma,0.133,0.597,0.27,0.0
46-65,M,Oregon,0.092,0.609,0.299,0.0
46-65,M,South Carolina,0.133,0.597,0.27,0.0
46-65,M,South Dakota,0.0,0.506,0.494,0.0
46-65,M,Tennessee,0.133,0.597,0.27,0.0
46-65,M,Texas,0.133,0.597,0.27,0.0
46-65,M,Utah,0.092,0.609,0.299,0.0
46-65,M,Virginia,0.133,0.597,0.27,0.0
46-65,M,Washington,0.092,0.609,0.299,0.0
46-65,M,West Virginia,0.133,0.597,0.27,0.0
46-65,M,Wisconsin,0.0,0.506,0.494,0.0
46-65,M,Wyoming,0.092,0.609,0.299,0.0
65-103,F,Alabama,0.206,0.686,0.109,0.0
65-103,F,Alaska,0.188,0.579,0.163,0.069
65-103,F,Arizona,0.188,0.579,0.163,0.069
65-103,F,Arkansas,0.206,0.686,0.109,0.0
65-103,F,California,0.188,0.579,0.163,0.069
65-103,F,Colorado,0.188,0.579,0.163,0.069
65-103,F,Connecticut,0.086,0.465,0.45,0.0
65-103,F,Delaware,0.206,0.686,0.109,0.0
65-103,F,District of Columbia,0.206,0.686,0.109,0.0
65-103,F,Florida,0.206,0.686,0.109,0.0
65-103,F,Georgia,0.206,0.686,0.109,0.0
65-103,F,Hawaii,0.188,0.579,0.163,0.069
65-103,F,Idaho,0.188,0.579,0.163,0.069
65-103,F,Illinois,0.562,0.31,0.128,0.0
65-103,F,Indiana,0.562,0.31,0.128,0.0
65-103,F,Iowa,0.562,0.31,0.128,0.0
65-103,F,Kansas,0.562,0.31,0.128,0.0
65-103,F,Kentucky,0.206,0.686,0.109,0.0
65-103,F,Louisiana,0.206,0.686,0.109,0.0
65-103,F,Maine,0.086,0.465,0.45,0.0
65-103,F,Maryland,0.206,0.686,0.109,0.0
65-103,F,Massachusetts,0.086,0.465,0.45,0.0
65-103,F,Michigan,0.562,0.31,0.128,0.0
65-103,F,Minnesota,0.562,0.31,0.128,0.0
65-103,F,Mississippi,0.206,0.686,0.109,0.0
65-103,F,Missouri,0.562,0.31,0.128,0.0
65-103,F,Montana,0.188,0.579,0.163,0.069
65-103,F,Nebraska,0.562,0.31,0.128,0.0
65-103,F,Nevada,0.188,0.579,0.163,0.069
65-103,F,New Hampshire,0.086,0.465,0.45,0.0
65-103,F,New Jersey,0.086,0.465,0.45,0.0
65-103,F,New Mexico,0.188,0.579,0.163,0.069
65-103,F,New York,0.086,0.465,0.45,0.0
65-103,F,North Carolina,0.206,0.686,0.109,0.0
65-103,F,North Dakota,0.562,0.31,0.128,0.0
65-103,F,Ohio,0.562,0.31,0.128,0.0
65-103,F,Oklahoma,0.206,0.686,0.109,0.0
65-103,F,Oregon,0.188,0.579,0.163,0.069
65-103,F,Pennsylvania,0.086,0.465,0.45,0.0
65-103,F,Rhode Island,0.086,0.465,0.45,0.0
65-103,F,South Carolina,0.206,0.686,0.109,0.0
65-103,F,South Dakota,0.562,0.31,0.128,0.0
65-103,F,Tennessee,0.206,0.686,0.109,0.0
65-103,F,Texas,0.206,0.686,0.109,0.0
65-103,F,Utah,0.188,0.579,0.163,0.069
65-103,F,Vermont,0.086,0.465,0.45,0.0
65-103,F,Virginia,0.206,0.686,0.109,0.0
65-103,F,Washington,0.188,0.579,0.163,0.069
65-103,F,West Virginia,0.206,0.686,0.109,0.0
65-103,F,Wisconsin,0.562,0.31,0.128,0.0
65-103,F,Wyoming,0.188,0.579,0.163,0.069
65-103,M,Alabama,0.141,0.496,0.364,0.0
65-103,M,Alaska,0.0,0.427,0.422,0.151
65-103,M,Arizona,0.0,0.427,0.422,0.151
65-103,M,Arkansas,0.141,0.496,0.364,0.0
65-103,M,California,0.0,0.427,0.422,0.151
65-103,M,Colorado,0.0,0.427,0.422,0.151
65-103,M,Connecticut,0.319,0.0,0.408,0.273
65-103,M,Delaware,0.141,0.496,0.364,0.0
65-103,M,District of Columbia,0.141,0.496,0.364,0.0
65-103,M,Florida,0.141,0.496,0.364,0.0
65-103,M,Georgia,0.141,0.496,0.364,0.0
65-103,M,Hawaii,0.0,0.427,0.422,0.151
65-103,M,Idaho,0.0,0.427,0.422,0.151
65-103,M,Illinois,0.0,0.296,0.59,0.114
65-103,M,Indiana,0.0,0.296,0.59,0.114
65-103,M,Iowa,0.0,0.296,0.59,0.114
65-103,M,Kansas,0.0,0.296,0.59,0.114
65-103,M,Kentucky,0.141,0.496,0.364,0.0
65-103,M,Louisiana,0.141,0.496,0.364,0.0
65-103,M,Maine,0.319,0.0,0.408,0.273
65-103,M,Maryland,0.141,0.496,0.364,0.0
65-103,M,Massachusetts,0.319,0.0,0.408,0.273
65-103,M,Michigan,0.0,0.296,0.59,0.114
65-103,M,Minnesota,0.0,0.296,0.59,0.114
65-103,M,Mississippi,0.141,0.496,0.364,0.0
65-103,M,Missouri,0.0,0.296,0.59,0.114
65-103,M,Montana,0.0,0.427,0.422,0.151
65-103,M,Nebraska,0.0,0.296,0.59,0.114
65-103,M,Nevada,0.0,0.427,0.422,0.151
65-103,M,New Hampshire,0.319,0.0,0.408,0.273
65-103,M,New Jersey,0.319,0.0,0.408,0.273
65-103,M,New Mexico,0.0,0.427,0.422,0.151
65-103,M,New York,0.319,0.0,0.408,0.273
65-103,M,North Carolina,0.141,0.496,0.364,0.0
65-103,M,North Dakota,0.0,0.296,0.59,0.114
65-103,M,Ohio,0.0,0.296,0.59,0.114
65-103,M,Oklahoma,0.141,0.496,0.364,0.0
65-103,M,Oregon,0.0,0.427,0.422,0.151
65-103,M,Pennsylvania,0.319,0.0,0.408,0.273
65-103,M,Rhode Island,0.319,0.0,0.408,0.273
65-103,M,South Carolina,0.141,0.496,0.364,0.0
65-103,M,South Dakota,0.0,0.296,0.59,0.114
65-103,M,Tennessee,0.141,0.496,0.364,0.0
65-103,M,Texas,0.141,0.496,0.364,0.0
65-103,M,Utah,0.0,0.427,0.422,0.151
65-103,M,Vermont,0.319,0.0,0.408,0.273
65-103,M,Virginia,0.141,0.496,0.364,0.0
65-103,M,Washington,0.0,0.427,0.422,0.151
65-103,M,West Virginia,0.141,0.496,0.364,0.0
65-103,M,Wisconsin,0.0,0.296,0.59,0.114
65-103,M,Wyoming,0.0,0.427,0.422,0.151
