age,gender,state,Prescribe_Atenolol_100_Mg_Oral_Tablet,Prescribe_Atenolol_25_Mg_Oral_Tablet,Prescribe_Atenolol_50_Mg_Oral_Tablet
65-103,F,New Hampshire,0.074,0.287,0.639
65-103,F,New Jersey,0.074,0.287,0.639
65-103,F,New Mexico,0.074,0.411,0.515
65-103,F,New York,0.074,0.287,0.639
65-103,F,North Carolina,0.09,0.525,0.385
65-103,F,North Dakota,0.089,0.363,0.548
65-103,F,Ohio,0.089,0.363,0.548
65-103,F,Oklahoma,0.09,0.525,0.385
65-103,F,Oregon,0.074,0.411,0.515
65-103,F,Pennsylvania,0.074,0.287,0.639
65-103,F,Rhode Island,0.074,0.287,0.639
65-103,F,South Carolina,0.09,0.525,0.385
65-103,F,South Dakota,0.089,0.363,0.548
65-103,F,Tennessee,0.09,0.525,0.385
65-103,F,Texas,0.09,0.525,0.385
65-103,F,Utah,0.074,0.411,0.515
65-103,F,Vermont,0.074,0.287,0.639
65-103,F,Virginia,0.09,0.525,0.385
65-103,F,Washington,0.074,0.411,0.515
65-103,F,West Virginia,0.09,0.525,0.385
65-103,F,Wisconsin,0.089,0.363,0.548
65-103,F,Wyoming,0.074,0.411,0.515
65-103,M,Alabama,0.028,0.65,0.322
65-103,M,Alaska,0.047,0.361,0.593
65-103,M,Arizona,0.047,0.361,0.593
65-103,M,Arkansas,0.028,0.65,0.322
65-103,M,California,0.047,0.361,0.593
65-103,M,Colorado,0.047,0.361,0.593
65-103,M,Connecticut,0.041,0.693,0.266
65-103,M,Delaware,0.028,0.65,0.322
65-103,M,District of Columbia,0.028,0.65,0.322
65-103,M,Florida,0.028,0.65,0.322
65-103,M,Georgia,0.028,0.65,0.322
65-103,M,Hawaii,0.047,0.361,0.593
65-103,M,Idaho,0.047,0.361,0.593
65-103,M,Illinois,0.178,0.329,0.493
65-103,M,Indiana,0.178,0.329,0.493
65-103,M,Iowa,0.178,0.329,0.493
65-103,M,Kansas,0.178,0.329,0.493
65-103,M,Kentucky,0.028,0.65,0.322
65-103,M,Louisiana,0.028,0.65,0.322
65-103,M,Maine,0.041,0.693,0.266
65-103,M,Maryland,0.028,0.65,0.322
65-103,M,Massachusetts,0.041,0.693,0.266
65-103,M,Michigan,0.178,0.329,0.493
65-103,M,Minnesota,0.178,0.329,0.493
65-103,M,Mississippi,0.028,0.65,0.322
65-103,M,Missouri,0.178,0.329,0.493
65-103,M,Montana,0.047,0.361,0.593
65-103,M,Nebraska,0.178,0.329,0.493
65-103,M,Nevada,0.047,0.361,0.593
65-103,M,New Hampshire,0.041,0.693,0.266
65-103,M,New Jersey,0.041,0.693,0.266
65-103,M,New Mexico,0.047,0.361,0.593
65-103,M,New York,0.041,0.693,0.266
65-103,M,North Carolina,0.028,0.65,0.322
65-103,M,North Dakota,0.178,0.329,0.493
65-103,M,Ohio,0.178,0.329,0.493
65-103,M,Oklahoma,0.028,0.65,0.322
65-103,M,Oregon,0.047,0.361,0.593
65-103,M,Pennsylvania,0.041,0.693,0.266
65-103,M,Rhode Island,0.041,0.693,0.266
65-103,M,South Carolina,0.028,0.65,0.322
65-103,M,South Dakota,0.178,0.329,0.493
65-103,M,Tennessee,0.028,0.65,0.322
65-103,M,Texas,0.028,0.65,0.322
65-103,M,Utah,0.047,0.361,0.593
65-103,M,Vermont,0.041,0.693,0.266
65-103,M,Virginia,0.028,0.65,0.322
65-103,M,Washington,0.047,0.361,0.593
65-103,M,West Virginia,0.028,0.65,0.322
65-103,M,Wisconsin,0.178,0.329,0.493
65-103,M,Wyoming,0.047,0.361,0.593
