age,gender,state,Prescribe_Atorvastatin_10_Mg_Oral_Tablet,Prescribe_Atorvastatin_10_Mg_Oral_Tablet_Lipitor,Prescribe_Atorvastatin_20_Mg_Oral_Tablet,Prescribe_Atorvastatin_40_Mg_Oral_Tablet,Prescribe_Atorvastatin_40_Mg_Oral_Tablet_Lipitor,Prescribe_Atorvastatin_80_Mg_Oral_Tablet
26-35,F,Idaho,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Illinois,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Indiana,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Iowa,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Kansas,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Kentucky,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Louisiana,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Maine,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Maryland,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Massachusetts,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Michigan,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Minnesota,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Mississippi,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Missouri,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Montana,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Nebraska,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Nevada,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,New Hampshire,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,New Jersey,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,New Mexico,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,New York,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,North Carolina,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,North Dakota,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Ohio,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Oklahoma,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Oregon,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Pennsylvania,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Rhode Island,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,South Carolina,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,South Dakota,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Tennessee,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Texas,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Utah,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Vermont,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,Virginia,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Washington,0.0,0.0,1.0,0.0,0.0,0.0
26-35,F,West Virginia,0.599,0.0,0.201,0.201,0.0,0.0
26-35,F,Wisconsin,0.203,0.0,0.535,0.261,0.0,0.0
26-35,F,Wyoming,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Alabama,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Alaska,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Arizona,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Arkansas,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,California,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Colorado,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Connecticut,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,Delaware,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,District of Columbia,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Florida,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Georgia,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Hawaii,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Idaho,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Illinois,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Indiana,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Iowa,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Kansas,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Kentucky,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Louisiana,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Maine,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,Maryland,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Massachusetts,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,Michigan,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Minnesota,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Mississippi,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Missouri,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Montana,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Nebraska,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Nevada,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,New Hampshire,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,New Jersey,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,New Mexico,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,New York,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,North Carolina,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,North Dakota,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Ohio,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Oklahoma,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Oregon,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Pennsylvania,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,Rhode Island,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,South Carolina,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,South Dakota,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Tennessee,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Texas,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Utah,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,Vermont,0.0,0.0,0.324,0.676,0.0,0.0
26-35,M,Virginia,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Washington,0.0,0.0,1.0,0.0,0.0,0.0
26-35,M,West Virginia,0.065,0.0,0.798,0.0,0.0,0.137
26-35,M,Wisconsin,0.235,0.0,0.263,0.0,0.0,0.502
26-35,M,Wyoming,0.0,0.0,1.0,0.0,0.0,0.0
36-45,F,Alabama,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Alaska,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Arizona,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Arkansas,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,California,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Colorado,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Connecticut,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,Delaware,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,District of Columbia,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Florida,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Georgia,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Hawaii,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Idaho,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Illinois,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Indiana,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Iowa,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Kansas,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Kentucky,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Louisiana,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Maine,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,Maryland,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Massachusetts,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,Michigan,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Minnesota,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Mississippi,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Missouri,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Montana,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Nebraska,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Nevada,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,New Hampshire,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,New Jersey,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,New Mexico,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,New York,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,North Carolina,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,North Dakota,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Ohio,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Oklahoma,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Oregon,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Pennsylvania,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,Rhode Island,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,South Carolina,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,South Dakota,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Tennessee,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Texas,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Utah,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,Vermont,0.647,0.0,0.189,0.163,0.0,0.0
36-45,F,Virginia,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Washington,0.219,0.0,0.247,0.128,0.0,0.406
36-45,F,West Virginia,0.478,0.0,0.049,0.426,0.047,0.0
36-45,F,Wisconsin,0.248,0.0,0.451,0.301,0.0,0.0
36-45,F,Wyoming,0.219,0.0,0.247,0.128,0.0,0.406
36-45,M,Alabama,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Alaska,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Arizona,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Arkansas,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,California,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Colorado,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Connecticut,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,Delaware,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,District of Columbia,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Florida,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Georgia,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Hawaii,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Idaho,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Illinois,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Indiana,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Iowa,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Kansas,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Kentucky,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Louisiana,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Maine,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,Maryland,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Massachusetts,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,Michigan,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Minnesota,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Mississippi,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Missouri,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Montana,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Nebraska,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Nevada,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,New Hampshire,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,New Jersey,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,New Mexico,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,New York,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,North Carolina,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,North Dakota,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Ohio,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Oklahoma,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Oregon,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Pennsylvania,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,Rhode Island,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,South Carolina,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,South Dakota,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Tennessee,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Texas,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Utah,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,Vermont,0.252,0.0,0.291,0.152,0.0,0.306
36-45,M,Virginia,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Washington,0.413,0.0,0.315,0.129,0.0,0.143
36-45,M,West Virginia,0.129,0.0,0.578,0.139,0.0,0.154
36-45,M,Wisconsin,0.291,0.0,0.309,0.177,0.0,0.223
36-45,M,Wyoming,0.413,0.0,0.315,0.129,0.0,0.143
4-7,M,Alabama,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Arkansas,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Delaware,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,District of Columbia,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Florida,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Georgia,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Kentucky,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Louisiana,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Maryland,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Mississippi,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,North Carolina,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Oklahoma,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,South Carolina,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Tennessee,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Texas,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,Virginia,0.0,0.0,0.0,1.0,0.0,0.0
4-7,M,West Virginia,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Alabama,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Alaska,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Arizona,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Arkansas,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,California,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Colorado,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Connecticut,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,Delaware,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,District of Columbia,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Florida,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Georgia,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Hawaii,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Idaho,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Illinois,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Indiana,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Iowa,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Kansas,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Kentucky,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Louisiana,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Maine,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,Maryland,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Massachusetts,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,Michigan,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Minnesota,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Mississippi,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Missouri,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Montana,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Nebraska,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Nevada,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,New Hampshire,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,New Jersey,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,New Mexico,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,New York,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,North Carolina,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,North Dakota,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Ohio,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Oklahoma,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Oregon,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Pennsylvania,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,Rhode Island,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,South Carolina,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,South Dakota,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Tennessee,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Texas,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Utah,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,Vermont,0.28,0.025,0.399,0.247,0.0,0.048
46-65,F,Virginia,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Washington,0.246,0.0,0.304,0.355,0.009,0.087
46-65,F,West Virginia,0.286,0.004,0.316,0.279,0.0,0.115
46-65,F,Wisconsin,0.26,0.0,0.309,0.347,0.009,0.076
46-65,F,Wyoming,0.246,0.0,0.304,0.355,0.009,0.087
46-65,M,Alabama,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Alaska,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Arizona,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Arkansas,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,California,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Colorado,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Connecticut,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,Delaware,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,District of Columbia,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Florida,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Georgia,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Hawaii,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Idaho,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Illinois,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Indiana,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Iowa,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Kansas,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Kentucky,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Louisiana,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Maine,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,Maryland,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Massachusetts,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,Michigan,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Minnesota,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Mississippi,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Missouri,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Montana,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Nebraska,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Nevada,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,New Hampshire,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,New Jersey,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,New Mexico,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,New York,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,North Carolina,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,North Dakota,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Ohio,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Oklahoma,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Oregon,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Pennsylvania,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,Rhode Island,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,South Carolina,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,South Dakota,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Tennessee,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Texas,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Utah,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,Vermont,0.192,0.009,0.285,0.27,0.021,0.224
46-65,M,Virginia,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Washington,0.178,0.0,0.24,0.441,0.002,0.139
46-65,M,West Virginia,0.216,0.0,0.301,0.309,0.035,0.138
46-65,M,Wisconsin,0.16,0.0,0.258,0.458,0.039,0.086
46-65,M,Wyoming,0.178,0.0,0.24,0.441,0.002,0.139
65-103,F,Alabama,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Alaska,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Arizona,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Arkansas,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,California,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Colorado,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Connecticut,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,Delaware,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,District of Columbia,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Florida,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Georgia,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Hawaii,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Idaho,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Illinois,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Indiana,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Iowa,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Kansas,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Kentucky,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Louisiana,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Maine,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,Maryland,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Massachusetts,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,Michigan,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Minnesota,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Mississippi,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Missouri,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Montana,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Nebraska,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Nevada,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,New Hampshire,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,New Jersey,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,New Mexico,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,New York,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,North Carolina,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,North Dakota,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Ohio,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Oklahoma,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Oregon,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Pennsylvania,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,Rhode Island,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,South Carolina,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,South Dakota,0.216,0.007,0.287,0.364,0.011,0.116
65-103,F,Tennessee,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Texas,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Utah,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,Vermont,0.344,0.0,0.288,0.252,0.0,0.116
65-103,F,Virginia,0.31,0.017,0.367,0.241,0.005,0.06
65-103,F,Washington,0.262,0.007,0.275,0.372,0.0,0.084
65-103,F,West Virginia,0.31,0.017,0.367,0.241,0.005,0.06
