age,gender,state,Prescribe_24_Hr_Metoprolol_Succinate_100_Mg_Extended_Release_Oral_Tablet,Prescribe_24_Hr_Metoprolol_Succinate_200_Mg_Extended_Release_Oral_Tablet,Prescribe_24_Hr_Metoprolol_Succinate_25_Mg_Extended_Release_Oral_Tablet,Prescribe_24_Hr_Metoprolol_Succinate_25_Mg_Extended_Release_Oral_Tablet_Toprol,Prescribe_24_Hr_Metoprolol_Succinate_50_Mg_Extended_Release_Oral_Tablet,Prescribe_24_Hr_Metoprolol_Succinate_50_Mg_Extended_Release_Oral_Tablet_Toprol,Prescribe_5_Ml_Metoprolol_Tartrate_1_Mg_Ml_Cartridge,Prescribe_5_Ml_Metoprolol_Tartrate_1_Mg_Ml_Injection,Prescribe_Metoprolol_Tartrate_100_Mg_Oral_Tablet,Prescribe_Metoprolol_Tartrate_25_Mg_Oral_Tablet,Prescribe_Metoprolol_Tartrate_50_Mg_Oral_Tablet,Prescribe_Metoprolol_Tartrate_50_Mg_Oral_Tablet_Lopressor
18-25,F,Nebraska,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,New Hampshire,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,New Jersey,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,New York,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,North Dakota,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Ohio,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Pennsylvania,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,Rhode Island,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,South Dakota,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
18-25,F,Vermont,0.0,0.0,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.251,0.0,0.0
18-25,F,Wisconsin,0.0,0.0,0.0,0.0,0.543,0.0,0.0,0.0,0.0,0.211,0.246,0.0
26-35,F,Alabama,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Arkansas,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Delaware,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,District of Columbia,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Florida,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Georgia,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Illinois,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Indiana,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Iowa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Kansas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Kentucky,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Louisiana,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Maryland,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Michigan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Minnesota,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Mississippi,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Missouri,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Nebraska,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,North Carolina,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,North Dakota,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Ohio,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Oklahoma,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,South Carolina,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,South Dakota,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Tennessee,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Texas,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Virginia,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,West Virginia,0.0,0.0,0.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353,0.0
26-35,F,Wisconsin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Alabama,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Arkansas,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Connecticut,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,Delaware,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,District of Columbia,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Florida,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Georgia,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Illinois,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Indiana,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Iowa,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Kansas,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Kentucky,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Louisiana,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Maine,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,Maryland,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Massachusetts,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,Michigan,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Minnesota,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Mississippi,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Missouri,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Nebraska,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,New Hampshire,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,New Jersey,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,New York,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,North Carolina,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,North Dakota,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Ohio,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Oklahoma,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Pennsylvania,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,Rhode Island,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,South Carolina,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,South Dakota,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Tennessee,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Texas,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Vermont,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.0
26-35,M,Virginia,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,West Virginia,0.0,0.0,0.0,0.0,0.453,0.0,0.0,0.0,0.0,0.03,0.517,0.0
26-35,M,Wisconsin,0.0,0.0,0.483,0.0,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36-45,F,Alabama,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Alaska,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Arizona,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Arkansas,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,California,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Colorado,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Connecticut,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,Delaware,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,District of Columbia,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Florida,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Georgia,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Hawaii,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Idaho,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Illinois,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Indiana,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Iowa,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Kansas,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Kentucky,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Louisiana,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Maine,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,Maryland,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Massachusetts,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,Michigan,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Minnesota,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Mississippi,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Missouri,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Montana,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Nebraska,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Nevada,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,New Hampshire,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,New Jersey,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,New Mexico,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,New York,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,North Carolina,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,North Dakota,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Ohio,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Oklahoma,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Oregon,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Pennsylvania,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,Rhode Island,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,South Carolina,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,South Dakota,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Tennessee,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Texas,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Utah,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,Vermont,0.0,0.0,0.124,0.0,0.464,0.0,0.0,0.0,0.0,0.412,0.0,0.0
36-45,F,Virginia,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Washington,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,F,West Virginia,0.149,0.0,0.165,0.0,0.087,0.0,0.0,0.0,0.047,0.529,0.023,0.0
36-45,F,Wisconsin,0.105,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.194,0.401,0.195,0.0
36-45,F,Wyoming,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.0
36-45,M,Alabama,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Alaska,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Arizona,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Arkansas,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,California,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Colorado,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Connecticut,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,Delaware,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,District of Columbia,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Florida,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Georgia,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Hawaii,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Idaho,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Illinois,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Indiana,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Iowa,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Kansas,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Kentucky,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Louisiana,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Maine,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,Maryland,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Massachusetts,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,Michigan,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Minnesota,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Mississippi,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Missouri,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Montana,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Nebraska,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Nevada,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,New Hampshire,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,New Jersey,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,New Mexico,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,New York,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,North Carolina,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,North Dakota,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Ohio,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Oklahoma,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Oregon,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Pennsylvania,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,Rhode Island,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,South Carolina,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,South Dakota,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Tennessee,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Texas,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Utah,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,Vermont,0.0,0.0,0.189,0.0,0.386,0.0,0.0,0.0,0.0,0.236,0.189,0.0
36-45,M,Virginia,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Washington,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
36-45,M,West Virginia,0.135,0.07,0.0,0.0,0.163,0.0,0.0,0.0,0.038,0.33,0.264,0.0
36-45,M,Wisconsin,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.422,0.0,0.419,0.0
36-45,M,Wyoming,0.0,0.0,0.162,0.0,0.203,0.0,0.0,0.0,0.0,0.635,0.0,0.0
46-65,F,Alabama,0.125,0.008,0.277,0.0,0.16,0.0,0.0,0.0,0.05,0.149,0.232,0.0
46-65,F,Alaska,0.171,0.034,0.042,0.0,0.205,0.0,0.0,0.0,0.148,0.177,0.222,0.0
46-65,F,Arizona,0.171,0.034,0.042,0.0,0.205,0.0,0.0,0.0,0.148,0.177,0.222,0.0
46-65,F,Arkansas,0.125,0.008,0.277,0.0,0.16,0.0,0.0,0.0,0.05,0.149,0.232,0.0
46-65,F,California,0.171,0.034,0.042,0.0,0.205,0.0,0.0,0.0,0.148,0.177,0.222,0.0
46-65,F,Colorado,0.171,0.034,0.042,0.0,0.205,0.0,0.0,0.0,0.148,0.177,0.222,0.0
46-65,F,Connecticut,0.155,0.043,0.153,0.0,0.28,0.0,0.0,0.0,0.081,0.194,0.094,0.0
46-65,F,Delaware,0.125,0.008,0.277,0.0,0.16,0.0,0.0,0.0,0.05,0.149,0.232,0.0
46-65,F,District of Columbia,0.125,0.008,0.277,0.0,0.16,0.0,0.0,0.0,0.05,0.149,0.232,0.0
46-65,F,Florida,0.125,0.008,0.277,0.0,0.16,0.0,0.0,0.0,0.05,0.149,0.232,0.0
46-65,F,Georgia,0.125,0.008,0.277,0.0,0.16,0.0,0.0,0.0,0.05,0.149,0.232,0.0
46-65,F,Hawaii,0.171,0.034,0.042,0.0,0.205,0.0,0.0,0.0,0.148,0.177,0.222,0.0
46-65,F,Idaho,0.171,0.034,0.042,0.0,0.205,0.0,0.0,0.0,0.148,0.177,0.222,0.0
46-65,F,Illinois,0.096,0.049,0.23,0.0,0.246,0.0,0.0,0.0,0.0,0.189,0.19,0.0
46-65,F,Indiana,0.096,0.049,0.23,0.0,0.246,0.0,0.0,0.0,0.0,0.189,0.19,0.0
46-65,F,Iowa,0.096,0.049,0.23,0.0,0.246,0.0,0.0,0.0,0.0,0.189,0.19,0.0
