age,gender,state,Prescribe_24_Hr_Propranolol_Hydrochloride_120_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_160_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_60_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Propranolol_Hydrochloride_80_Mg_Extended_Release_Oral_Capsule,Prescribe_Propranolol_Hydrochloride_10_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_20_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_40_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_60_Mg_Oral_Tablet,Prescribe_Propranolol_Hydrochloride_80_Mg_Oral_Tablet
26-35,M,Mississippi,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Missouri,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,Nebraska,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,North Carolina,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,North Dakota,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Ohio,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Oklahoma,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,South Carolina,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,South Dakota,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Tennessee,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Texas,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,Virginia,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,M,West Virginia,0.0,0.0,0.0,0.252,0.0,0.174,0.574,0.0,0.0
26-35,M,Wisconsin,0.0,0.0,0.0,0.479,0.132,0.0,0.389,0.0,0.0
26-35,M,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36-45,F,Alabama,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Alaska,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Arizona,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Arkansas,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,California,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Colorado,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Connecticut,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,Delaware,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,District of Columbia,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Florida,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Georgia,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Hawaii,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Idaho,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Illinois,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Indiana,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Iowa,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Kansas,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Kentucky,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Louisiana,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Maine,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,Maryland,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Massachusetts,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,Michigan,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Minnesota,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Mississippi,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Missouri,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Montana,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Nebraska,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Nevada,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,New Hampshire,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,New Jersey,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,New Mexico,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,New York,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,North Carolina,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,North Dakota,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Ohio,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Oklahoma,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Oregon,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Pennsylvania,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,Rhode Island,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,South Carolina,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,South Dakota,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Tennessee,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Texas,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Utah,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,Vermont,0.0,0.0,0.0,0.0,0.191,0.573,0.237,0.0,0.0
36-45,F,Virginia,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Washington,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,F,West Virginia,0.0,0.0,0.301,0.0,0.0,0.428,0.271,0.0,0.0
36-45,F,Wisconsin,0.153,0.0,0.307,0.27,0.0,0.0,0.27,0.0,0.0
36-45,F,Wyoming,0.0,0.849,0.0,0.0,0.151,0.0,0.0,0.0,0.0
36-45,M,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Connecticut,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Illinois,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Indiana,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Iowa,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Kansas,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Maine,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Massachusetts,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Michigan,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Minnesota,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Missouri,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Nebraska,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,New Hampshire,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,New Jersey,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,New York,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,North Dakota,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Ohio,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Pennsylvania,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Rhode Island,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,South Dakota,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Vermont,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36-45,M,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Wisconsin,0.0,0.0,0.241,0.241,0.252,0.265,0.0,0.0,0.0
36-45,M,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,Alabama,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Alaska,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Arizona,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Arkansas,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,California,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Colorado,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Connecticut,0.0,0.507,0.0,0.0,0.391,0.102,0.0,0.0,0.0
46-65,F,Delaware,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,District of Columbia,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Florida,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Georgia,0.0,0.0,0.157,0.0,0.0,0.706,0.0,0.0,0.137
46-65,F,Hawaii,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Idaho,0.0,0.0,0.0,0.0,0.275,0.434,0.291,0.0,0.0
46-65,F,Illinois,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Indiana,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Iowa,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
46-65,F,Kansas,0.0,0.0,0.155,0.0,0.168,0.484,0.088,0.0,0.105
