age,gender,state,Prescribe_Lisinopril_10_Mg_Oral_Tablet,Prescribe_Lisinopril_1_Mg_Ml_Oral_Solution_Qbrelis,Prescribe_Lisinopril_20_Mg_Oral_Tablet,Prescribe_Lisinopril_2_5_Mg_Oral_Tablet,Prescribe_Lisinopril_30_Mg_Oral_Tablet,Prescribe_Lisinopril_40_Mg_Oral_Tablet,Prescribe_Lisinopril_5_Mg_Oral_Tablet
18-25,F,Vermont,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,F,Virginia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Washington,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,F,West Virginia,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18-25,F,Wisconsin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Wyoming,0.5,0.0,0.5,0.0,0.0,0.0,0.0
18-25,M,Alabama,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Alaska,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Arizona,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Arkansas,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,California,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Colorado,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Delaware,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Florida,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Georgia,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Hawaii,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Idaho,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Illinois,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Indiana,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Iowa,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Kansas,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Kentucky,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Louisiana,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Maryland,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Michigan,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Minnesota,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Mississippi,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Missouri,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Montana,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Nebraska,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Nevada,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,New Mexico,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,North Carolina,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,North Dakota,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Ohio,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Oklahoma,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Oregon,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,South Carolina,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,South Dakota,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Tennessee,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Texas,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Utah,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Virginia,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Washington,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,West Virginia,0.0,0.0,0.0,0.0,0.0,0.685,0.315
18-25,M,Wisconsin,0.693,0.0,0.0,0.0,0.307,0.0,0.0
18-25,M,Wyoming,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Alaska,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Arizona,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Arkansas,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,California,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Colorado,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Connecticut,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,Delaware,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,District of Columbia,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Florida,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Georgia,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Hawaii,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Idaho,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Illinois,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Indiana,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Iowa,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Kansas,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Kentucky,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Louisiana,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Maine,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,Maryland,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Massachusetts,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,Michigan,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Minnesota,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Mississippi,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Missouri,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Montana,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Nebraska,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Nevada,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,New Hampshire,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,New Jersey,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,New Mexico,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,New York,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,North Carolina,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,North Dakota,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Ohio,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Oklahoma,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Oregon,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Pennsylvania,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,Rhode Island,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,South Carolina,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,South Dakota,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Tennessee,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Texas,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Utah,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,Vermont,0.0,0.0,0.717,0.0,0.0,0.283,0.0
26-35,F,Virginia,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Washington,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,F,West Virginia,0.292,0.0,0.216,0.137,0.054,0.102,0.2
26-35,F,Wisconsin,0.0,0.0,0.316,0.445,0.0,0.0,0.238
26-35,F,Wyoming,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Alabama,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Alaska,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Arizona,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Arkansas,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,California,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Colorado,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Connecticut,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,Delaware,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,District of Columbia,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Florida,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Georgia,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Hawaii,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Idaho,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Illinois,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Indiana,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Iowa,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Kansas,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Kentucky,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Louisiana,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Maine,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,Maryland,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Massachusetts,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,Michigan,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Minnesota,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Mississippi,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Missouri,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Montana,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Nebraska,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Nevada,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,New Hampshire,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,New Jersey,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,New Mexico,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,New York,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,North Carolina,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,North Dakota,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Ohio,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Oklahoma,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Oregon,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Pennsylvania,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,Rhode Island,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,South Carolina,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,South Dakota,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Tennessee,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Texas,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Utah,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,Vermont,0.839,0.0,0.0,0.0,0.0,0.101,0.06
26-35,M,Virginia,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Washington,0.0,0.0,0.566,0.0,0.0,0.0,0.434
26-35,M,West Virginia,0.537,0.0,0.036,0.085,0.0,0.285,0.056
26-35,M,Wisconsin,0.366,0.0,0.372,0.0,0.0,0.059,0.203
26-35,M,Wyoming,0.0,0.0,0.566,0.0,0.0,0.0,0.434
36-45,F,Alabama,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Alaska,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Arizona,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Arkansas,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,California,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Colorado,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Connecticut,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,Delaware,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,District of Columbia,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Florida,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Georgia,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Hawaii,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Idaho,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Illinois,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Indiana,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Iowa,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Kansas,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Kentucky,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Louisiana,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Maine,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,Maryland,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Massachusetts,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,Michigan,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Minnesota,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Mississippi,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Missouri,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Montana,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Nebraska,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Nevada,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,New Hampshire,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,New Jersey,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,New Mexico,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,New York,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,North Carolina,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,North Dakota,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Ohio,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Oklahoma,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Oregon,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Pennsylvania,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,Rhode Island,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,South Carolina,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,South Dakota,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Tennessee,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Texas,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Utah,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,Vermont,0.335,0.0,0.4,0.148,0.0,0.0,0.117
36-45,F,Virginia,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Washington,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,F,West Virginia,0.446,0.0,0.186,0.106,0.0,0.033,0.229
36-45,F,Wisconsin,0.093,0.0,0.592,0.086,0.0,0.144,0.084
36-45,F,Wyoming,0.272,0.0,0.102,0.163,0.0,0.293,0.17
36-45,M,Alabama,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,Alaska,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,Arizona,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,Arkansas,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,California,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,Colorado,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,Connecticut,0.446,0.0,0.193,0.132,0.0,0.12,0.109
36-45,M,Delaware,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,District of Columbia,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,Florida,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,Georgia,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,Hawaii,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,Idaho,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,Illinois,0.442,0.0,0.208,0.0,0.0,0.182,0.167
36-45,M,Indiana,0.442,0.0,0.208,0.0,0.0,0.182,0.167
36-45,M,Iowa,0.442,0.0,0.208,0.0,0.0,0.182,0.167
36-45,M,Kansas,0.442,0.0,0.208,0.0,0.0,0.182,0.167
36-45,M,Kentucky,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,Louisiana,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,Maine,0.446,0.0,0.193,0.132,0.0,0.12,0.109
36-45,M,Maryland,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,Massachusetts,0.446,0.0,0.193,0.132,0.0,0.12,0.109
36-45,M,Michigan,0.442,0.0,0.208,0.0,0.0,0.182,0.167
36-45,M,Minnesota,0.442,0.0,0.208,0.0,0.0,0.182,0.167
36-45,M,Mississippi,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,Missouri,0.442,0.0,0.208,0.0,0.0,0.182,0.167
36-45,M,Montana,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,Nebraska,0.442,0.0,0.208,0.0,0.0,0.182,0.167
36-45,M,Nevada,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,New Hampshire,0.446,0.0,0.193,0.132,0.0,0.12,0.109
36-45,M,New Jersey,0.446,0.0,0.193,0.132,0.0,0.12,0.109
36-45,M,New Mexico,0.243,0.0,0.393,0.05,0.043,0.108,0.163
36-45,M,New York,0.446,0.0,0.193,0.132,0.0,0.12,0.109
36-45,M,North Carolina,0.468,0.0,0.174,0.028,0.022,0.172,0.136
36-45,M,North Dakota,0.442,0.0,0.208,0.0,0.0,0.182,0.167
