age,gender,state,Prescribe_Hydrochlorothiazide_12_5_Mg_Valsartan_160_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Valsartan_320_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Valsartan_80_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_25_Mg_Valsartan_160_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_25_Mg_Valsartan_320_Mg_Oral_Tablet
36-45,M,Iowa,0.0,0.0,1.0,0.0,0.0
36-45,M,Kansas,0.0,0.0,1.0,0.0,0.0
36-45,M,Kentucky,0.0,0.0,0.342,0.0,0.658
36-45,M,Louisiana,0.0,0.0,0.342,0.0,0.658
36-45,M,Maryland,0.0,0.0,0.342,0.0,0.658
36-45,M,Michigan,0.0,0.0,1.0,0.0,0.0
36-45,M,Minnesota,0.0,0.0,1.0,0.0,0.0
36-45,M,Mississippi,0.0,0.0,0.342,0.0,0.658
36-45,M,Missouri,0.0,0.0,1.0,0.0,0.0
36-45,M,Nebraska,0.0,0.0,1.0,0.0,0.0
36-45,M,North Carolina,0.0,0.0,0.342,0.0,0.658
36-45,M,North Dakota,0.0,0.0,1.0,0.0,0.0
36-45,M,Ohio,0.0,0.0,1.0,0.0,0.0
36-45,M,Oklahoma,0.0,0.0,0.342,0.0,0.658
36-45,M,South Carolina,0.0,0.0,0.342,0.0,0.658
36-45,M,South Dakota,0.0,0.0,1.0,0.0,0.0
36-45,M,Tennessee,0.0,0.0,0.342,0.0,0.658
36-45,M,Texas,0.0,0.0,0.342,0.0,0.658
36-45,M,Virginia,0.0,0.0,0.342,0.0,0.658
36-45,M,West Virginia,0.0,0.0,0.342,0.0,0.658
36-45,M,Wisconsin,0.0,0.0,1.0,0.0,0.0
46-65,F,Alabama,0.135,0.0,0.297,0.049,0.519
46-65,F,Arkansas,0.135,0.0,0.297,0.049,0.519
46-65,F,Connecticut,0.497,0.0,0.0,0.435,0.069
46-65,F,Delaware,0.135,0.0,0.297,0.049,0.519
46-65,F,District of Columbia,0.135,0.0,0.297,0.049,0.519
46-65,F,Florida,0.135,0.0,0.297,0.049,0.519
46-65,F,Georgia,0.135,0.0,0.297,0.049,0.519
46-65,F,Illinois,0.0,0.0,1.0,0.0,0.0
46-65,F,Indiana,0.0,0.0,1.0,0.0,0.0
46-65,F,Iowa,0.0,0.0,1.0,0.0,0.0
46-65,F,Kansas,0.0,0.0,1.0,0.0,0.0
46-65,F,Kentucky,0.135,0.0,0.297,0.049,0.519
46-65,F,Louisiana,0.135,0.0,0.297,0.049,0.519
46-65,F,Maine,0.497,0.0,0.0,0.435,0.069
46-65,F,Maryland,0.135,0.0,0.297,0.049,0.519
46-65,F,Massachusetts,0.497,0.0,0.0,0.435,0.069
46-65,F,Michigan,0.0,0.0,1.0,0.0,0.0
46-65,F,Minnesota,0.0,0.0,1.0,0.0,0.0
46-65,F,Mississippi,0.135,0.0,0.297,0.049,0.519
46-65,F,Missouri,0.0,0.0,1.0,0.0,0.0
46-65,F,Nebraska,0.0,0.0,1.0,0.0,0.0
46-65,F,New Hampshire,0.497,0.0,0.0,0.435,0.069
46-65,F,New Jersey,0.497,0.0,0.0,0.435,0.069
46-65,F,New York,0.497,0.0,0.0,0.435,0.069
46-65,F,North Carolina,0.135,0.0,0.297,0.049,0.519
46-65,F,North Dakota,0.0,0.0,1.0,0.0,0.0
46-65,F,Ohio,0.0,0.0,1.0,0.0,0.0
46-65,F,Oklahoma,0.135,0.0,0.297,0.049,0.519
46-65,F,Pennsylvania,0.497,0.0,0.0,0.435,0.069
46-65,F,Rhode Island,0.497,0.0,0.0,0.435,0.069
46-65,F,South Carolina,0.135,0.0,0.297,0.049,0.519
46-65,F,South Dakota,0.0,0.0,1.0,0.0,0.0
46-65,F,Tennessee,0.135,0.0,0.297,0.049,0.519
46-65,F,Texas,0.135,0.0,0.297,0.049,0.519
46-65,F,Vermont,0.497,0.0,0.0,0.435,0.069
46-65,F,Virginia,0.135,0.0,0.297,0.049,0.519
46-65,F,West Virginia,0.135,0.0,0.297,0.049,0.519
46-65,F,Wisconsin,0.0,0.0,1.0,0.0,0.0
46-65,M,Alabama,0.216,0.091,0.178,0.389,0.126
46-65,M,Alaska,1.0,0.0,0.0,0.0,0.0
46-65,M,Arizona,1.0,0.0,0.0,0.0,0.0
46-65,M,Arkansas,0.216,0.091,0.178,0.389,0.126
46-65,M,California,1.0,0.0,0.0,0.0,0.0
46-65,M,Colorado,1.0,0.0,0.0,0.0,0.0
46-65,M,Connecticut,0.229,0.0,0.315,0.228,0.228
46-65,M,Delaware,0.216,0.091,0.178,0.389,0.126
46-65,M,District of Columbia,0.216,0.091,0.178,0.389,0.126
46-65,M,Florida,0.216,0.091,0.178,0.389,0.126
46-65,M,Georgia,0.216,0.091,0.178,0.389,0.126
46-65,M,Hawaii,1.0,0.0,0.0,0.0,0.0
46-65,M,Idaho,1.0,0.0,0.0,0.0,0.0
46-65,M,Illinois,0.157,0.105,0.0,0.406,0.332
46-65,M,Indiana,0.157,0.105,0.0,0.406,0.332
46-65,M,Iowa,0.157,0.105,0.0,0.406,0.332
46-65,M,Kansas,0.157,0.105,0.0,0.406,0.332
46-65,M,Kentucky,0.216,0.091,0.178,0.389,0.126
46-65,M,Louisiana,0.216,0.091,0.178,0.389,0.126
46-65,M,Maine,0.229,0.0,0.315,0.228,0.228
46-65,M,Maryland,0.216,0.091,0.178,0.389,0.126
46-65,M,Massachusetts,0.229,0.0,0.315,0.228,0.228
46-65,M,Michigan,0.157,0.105,0.0,0.406,0.332
46-65,M,Minnesota,0.157,0.105,0.0,0.406,0.332
46-65,M,Mississippi,0.216,0.091,0.178,0.389,0.126
46-65,M,Missouri,0.157,0.105,0.0,0.406,0.332
46-65,M,Montana,1.0,0.0,0.0,0.0,0.0
46-65,M,Nebraska,0.157,0.105,0.0,0.406,0.332
46-65,M,Nevada,1.0,0.0,0.0,0.0,0.0
46-65,M,New Hampshire,0.229,0.0,0.315,0.228,0.228
46-65,M,New Jersey,0.229,0.0,0.315,0.228,0.228
46-65,M,New Mexico,1.0,0.0,0.0,0.0,0.0
46-65,M,New York,0.229,0.0,0.315,0.228,0.228
46-65,M,North Carolina,0.216,0.091,0.178,0.389,0.126
46-65,M,North Dakota,0.157,0.105,0.0,0.406,0.332
46-65,M,Ohio,0.157,0.105,0.0,0.406,0.332
46-65,M,Oklahoma,0.216,0.091,0.178,0.389,0.126
46-65,M,Oregon,1.0,0.0,0.0,0.0,0.0
46-65,M,Pennsylvania,0.229,0.0,0.315,0.228,0.228
46-65,M,Rhode Island,0.229,0.0,0.315,0.228,0.228
46-65,M,South Carolina,0.216,0.091,0.178,0.389,0.126
46-65,M,South Dakota,0.157,0.105,0.0,0.406,0.332
46-65,M,Tennessee,0.216,0.091,0.178,0.389,0.126
46-65,M,Texas,0.216,0.091,0.178,0.389,0.126
46-65,M,Utah,1.0,0.0,0.0,0.0,0.0
46-65,M,Vermont,0.229,0.0,0.315,0.228,0.228
46-65,M,Virginia,0.216,0.091,0.178,0.389,0.126
46-65,M,Washington,1.0,0.0,0.0,0.0,0.0
46-65,M,West Virginia,0.216,0.091,0.178,0.389,0.126
46-65,M,Wisconsin,0.157,0.105,0.0,0.406,0.332
46-65,M,Wyoming,1.0,0.0,0.0,0.0,0.0
65-103,F,Alabama,0.335,0.058,0.207,0.073,0.328
65-103,F,Alaska,0.55,0.0,0.45,0.0,0.0
65-103,F,Arizona,0.55,0.0,0.45,0.0,0.0
65-103,F,Arkansas,0.335,0.058,0.207,0.073,0.328
65-103,F,California,0.55,0.0,0.45,0.0,0.0
65-103,F,Colorado,0.55,0.0,0.45,0.0,0.0
65-103,F,Connecticut,0.471,0.0,0.096,0.366,0.067
65-103,F,Delaware,0.335,0.058,0.207,0.073,0.328
65-103,F,District of Columbia,0.335,0.058,0.207,0.073,0.328
65-103,F,Florida,0.335,0.058,0.207,0.073,0.328
65-103,F,Georgia,0.335,0.058,0.207,0.073,0.328
65-103,F,Hawaii,0.55,0.0,0.45,0.0,0.0
65-103,F,Idaho,0.55,0.0,0.45,0.0,0.0
65-103,F,Illinois,0.0,0.0,0.0,0.0,1.0
65-103,F,Indiana,0.0,0.0,0.0,0.0,1.0
65-103,F,Iowa,0.0,0.0,0.0,0.0,1.0
65-103,F,Kansas,0.0,0.0,0.0,0.0,1.0
65-103,F,Kentucky,0.335,0.058,0.207,0.073,0.328
65-103,F,Louisiana,0.335,0.058,0.207,0.073,0.328
65-103,F,Maine,0.471,0.0,0.096,0.366,0.067
65-103,F,Maryland,0.335,0.058,0.207,0.073,0.328
65-103,F,Massachusetts,0.471,0.0,0.096,0.366,0.067
65-103,F,Michigan,0.0,0.0,0.0,0.0,1.0
65-103,F,Minnesota,0.0,0.0,0.0,0.0,1.0
65-103,F,Mississippi,0.335,0.058,0.207,0.073,0.328
65-103,F,Missouri,0.0,0.0,0.0,0.0,1.0
65-103,F,Montana,0.55,0.0,0.45,0.0,0.0
65-103,F,Nebraska,0.0,0.0,0.0,0.0,1.0
65-103,F,Nevada,0.55,0.0,0.45,0.0,0.0
65-103,F,New Hampshire,0.471,0.0,0.096,0.366,0.067
65-103,F,New Jersey,0.471,0.0,0.096,0.366,0.067
65-103,F,New Mexico,0.55,0.0,0.45,0.0,0.0
65-103,F,New York,0.471,0.0,0.096,0.366,0.067
65-103,F,North Carolina,0.335,0.058,0.207,0.073,0.328
65-103,F,North Dakota,0.0,0.0,0.0,0.0,1.0
65-103,F,Ohio,0.0,0.0,0.0,0.0,1.0
65-103,F,Oklahoma,0.335,0.058,0.207,0.073,0.328
65-103,F,Oregon,0.55,0.0,0.45,0.0,0.0
65-103,F,Pennsylvania,0.471,0.0,0.096,0.366,0.067
65-103,F,Rhode Island,0.471,0.0,0.096,0.366,0.067
65-103,F,South Carolina,0.335,0.058,0.207,0.073,0.328
65-103,F,South Dakota,0.0,0.0,0.0,0.0,1.0
65-103,F,Tennessee,0.335,0.058,0.207,0.073,0.328
65-103,F,Texas,0.335,0.058,0.207,0.073,0.328
65-103,F,Utah,0.55,0.0,0.45,0.0,0.0
65-103,F,Vermont,0.471,0.0,0.096,0.366,0.067
65-103,F,Virginia,0.335,0.058,0.207,0.073,0.328
65-103,F,Washington,0.55,0.0,0.45,0.0,0.0
65-103,F,West Virginia,0.335,0.058,0.207,0.073,0.328
65-103,F,Wisconsin,0.0,0.0,0.0,0.0,1.0
65-103,F,Wyoming,0.55,0.0,0.45,0.0,0.0
65-103,M,Alabama,0.322,0.091,0.0,0.443,0.144
65-103,M,Arkansas,0.322,0.091,0.0,0.443,0.144
65-103,M,Connecticut,0.14,0.128,0.0,0.0,0.732
65-103,M,Delaware,0.322,0.091,0.0,0.443,0.144
65-103,M,District of Columbia,0.322,0.091,0.0,0.443,0.144
65-103,M,Florida,0.322,0.091,0.0,0.443,0.144
65-103,M,Georgia,0.322,0.091,0.0,0.443,0.144
65-103,M,Illinois,0.199,0.0,0.0,0.801,0.0
65-103,M,Indiana,0.199,0.0,0.0,0.801,0.0
65-103,M,Iowa,0.199,0.0,0.0,0.801,0.0
65-103,M,Kansas,0.199,0.0,0.0,0.801,0.0
65-103,M,Kentucky,0.322,0.091,0.0,0.443,0.144
65-103,M,Louisiana,0.322,0.091,0.0,0.443,0.144
65-103,M,Maine,0.14,0.128,0.0,0.0,0.732
65-103,M,Maryland,0.322,0.091,0.0,0.443,0.144
65-103,M,Massachusetts,0.14,0.128,0.0,0.0,0.732
65-103,M,Michigan,0.199,0.0,0.0,0.801,0.0
65-103,M,Minnesota,0.199,0.0,0.0,0.801,0.0
65-103,M,Mississippi,0.322,0.091,0.0,0.443,0.144
65-103,M,Missouri,0.199,0.0,0.0,0.801,0.0
65-103,M,Nebraska,0.199,0.0,0.0,0.801,0.0
65-103,M,New Hampshire,0.14,0.128,0.0,0.0,0.732
65-103,M,New Jersey,0.14,0.128,0.0,0.0,0.732
65-103,M,New York,0.14,0.128,0.0,0.0,0.732
65-103,M,North Carolina,0.322,0.091,0.0,0.443,0.144
65-103,M,North Dakota,0.199,0.0,0.0,0.801,0.0
65-103,M,Ohio,0.199,0.0,0.0,0.801,0.0
65-103,M,Oklahoma,0.322,0.091,0.0,0.443,0.144
65-103,M,Pennsylvania,0.14,0.128,0.0,0.0,0.732
65-103,M,Rhode Island,0.14,0.128,0.0,0.0,0.732
65-103,M,South Carolina,0.322,0.091,0.0,0.443,0.144
65-103,M,South Dakota,0.199,0.0,0.0,0.801,0.0
65-103,M,Tennessee,0.322,0.091,0.0,0.443,0.144
65-103,M,Texas,0.322,0.091,0.0,0.443,0.144
65-103,M,Vermont,0.14,0.128,0.0,0.0,0.732
65-103,M,Virginia,0.322,0.091,0.0,0.443,0.144
65-103,M,West Virginia,0.322,0.091,0.0,0.443,0.144
65-103,M,Wisconsin,0.199,0.0,0.0,0.801,0.0
