age,gender,state,Prescribe_24_Hr_Carvedilol_Phosphate_10_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Carvedilol_Phosphate_20_Mg_Extended_Release_Oral_Capsule,Prescribe_24_Hr_Carvedilol_Phosphate_20_Mg_Extended_Release_Oral_Capsule_Coreg,Prescribe_Carvedilol_12_5_Mg_Oral_Tablet,Prescribe_Carvedilol_12_5_Mg_Oral_Tablet_Coreg,Prescribe_Carvedilol_25_Mg_Oral_Tablet,Prescribe_Carvedilol_25_Mg_Oral_Tablet_Coreg,Prescribe_Carvedilol_3_125_Mg_Oral_Tablet,Prescribe_Carvedilol_6_25_Mg_Oral_Tablet,Prescribe_Carvedilol_6_25_Mg_Oral_Tablet_Coreg
26-35,M,Indiana,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Iowa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Kansas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Michigan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Minnesota,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Missouri,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Montana,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Nebraska,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Nevada,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,New Mexico,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,North Dakota,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Ohio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Oregon,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,South Dakota,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Utah,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26-35,M,Washington,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26-35,M,Wisconsin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Wyoming,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36-45,F,Alabama,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Alaska,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,Arizona,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,Arkansas,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,California,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,Colorado,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,Delaware,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,District of Columbia,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Florida,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Georgia,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Hawaii,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,Idaho,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Kentucky,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Louisiana,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Maryland,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Mississippi,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Montana,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Nevada,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,New Mexico,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,North Carolina,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Oklahoma,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Oregon,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,South Carolina,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Tennessee,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Texas,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Utah,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,Virginia,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Washington,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,F,West Virginia,0.0,0.0,0.0,0.16,0.0,0.495,0.0,0.345,0.0,0.0
36-45,F,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,F,Wyoming,0.0,0.0,0.0,0.0,0.0,0.842,0.0,0.0,0.158,0.0
36-45,M,Alabama,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Arkansas,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Delaware,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Florida,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Georgia,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Kentucky,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Louisiana,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Maryland,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Mississippi,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,North Carolina,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Oklahoma,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,South Carolina,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Tennessee,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Texas,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,Virginia,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36-45,M,West Virginia,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.535,0.0
36-45,M,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,Alabama,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Alaska,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Arizona,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Arkansas,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,California,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Colorado,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Connecticut,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,Delaware,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,District of Columbia,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Florida,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Georgia,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Hawaii,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Idaho,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Illinois,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Indiana,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Iowa,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Kansas,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Kentucky,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Louisiana,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Maine,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,Maryland,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Massachusetts,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,Michigan,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Minnesota,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Mississippi,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Missouri,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Montana,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Nebraska,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Nevada,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,New Hampshire,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,New Jersey,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,New Mexico,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,New York,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,North Carolina,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,North Dakota,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Ohio,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Oklahoma,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Oregon,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Pennsylvania,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,Rhode Island,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,South Carolina,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,South Dakota,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Tennessee,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Texas,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Utah,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,Vermont,0.0,0.0,0.0,0.319,0.0,0.102,0.0,0.218,0.361,0.0
46-65,F,Virginia,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Washington,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,F,West Virginia,0.033,0.0,0.0,0.214,0.0,0.152,0.0,0.295,0.306,0.0
46-65,F,Wisconsin,0.0,0.0,0.0,0.066,0.0,0.594,0.0,0.113,0.227,0.0
46-65,F,Wyoming,0.0,0.0,0.0,0.103,0.0,0.527,0.0,0.211,0.159,0.0
46-65,M,Alabama,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Alaska,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Arizona,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Arkansas,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,California,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Colorado,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Connecticut,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,Delaware,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,District of Columbia,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Florida,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Georgia,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Hawaii,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Idaho,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Illinois,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Indiana,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Iowa,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Kansas,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Kentucky,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Louisiana,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Maine,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,Maryland,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Massachusetts,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,Michigan,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Minnesota,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Mississippi,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,Missouri,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Montana,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,Nebraska,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Nevada,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,New Hampshire,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,New Jersey,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,New Mexico,0.0,0.0,0.0,0.261,0.0,0.135,0.0,0.51,0.083,0.01
46-65,M,New York,0.0,0.0,0.152,0.293,0.0,0.337,0.0,0.163,0.055,0.0
46-65,M,North Carolina,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
46-65,M,North Dakota,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Ohio,0.0,0.0,0.0,0.181,0.0,0.318,0.051,0.209,0.24,0.0
46-65,M,Oklahoma,0.0,0.0,0.0,0.177,0.0,0.34,0.0,0.179,0.304,0.0
