age,gender,state,Prescribe_Atenolol,Prescribe_Bisoprolol,Prescribe_Bisoprolol_Hydrochlorothiazide,Prescribe_Carvedilol,Prescribe_Labetalol,Prescribe_Metoprolol,Prescribe_Nebivolol,Prescribe_Propranolol
12-17,M,Ohio,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Oklahoma,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,South Carolina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,South Dakota,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12-17,M,Tennessee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Texas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Virginia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,West Virginia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12-17,M,Wisconsin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Alabama,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Alaska,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Arizona,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Arkansas,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,California,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Colorado,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Connecticut,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Delaware,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,District of Columbia,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Florida,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Georgia,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Hawaii,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Idaho,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Illinois,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Indiana,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Iowa,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Kansas,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Kentucky,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Louisiana,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Maine,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Maryland,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Massachusetts,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Michigan,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Minnesota,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Mississippi,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Missouri,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Montana,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Nebraska,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Nevada,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,New Hampshire,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,New Jersey,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,New Mexico,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,New York,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,North Carolina,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,North Dakota,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Ohio,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Oklahoma,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Oregon,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Pennsylvania,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Rhode Island,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,South Carolina,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,South Dakota,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Tennessee,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Texas,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Utah,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,Vermont,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18-25,F,Virginia,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Washington,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,F,West Virginia,0.495,0.0,0.0,0.0,0.0,0.0,0.0,0.505
18-25,F,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.809,0.0,0.191
18-25,F,Wyoming,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.318
18-25,M,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18-25,M,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26-35,F,Alabama,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Alaska,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Arizona,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Arkansas,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,California,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Colorado,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Connecticut,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,Delaware,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,District of Columbia,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Florida,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Georgia,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Hawaii,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Idaho,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Illinois,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Indiana,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Iowa,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Kansas,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Kentucky,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Louisiana,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Maine,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,Maryland,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Massachusetts,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,Michigan,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Minnesota,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Mississippi,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Missouri,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Montana,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Nebraska,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Nevada,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,New Hampshire,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,New Jersey,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,New Mexico,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,New York,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,North Carolina,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,North Dakota,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Ohio,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Oklahoma,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Oregon,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Pennsylvania,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,Rhode Island,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,South Carolina,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,South Dakota,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Tennessee,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Texas,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Utah,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,Vermont,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.025
26-35,F,Virginia,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Washington,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,F,West Virginia,0.0,0.0,0.056,0.081,0.364,0.05,0.0,0.449
26-35,F,Wisconsin,0.0,0.0,0.0,0.0,0.203,0.127,0.0,0.671
26-35,F,Wyoming,0.177,0.0,0.0,0.05,0.086,0.0,0.0,0.686
26-35,M,Alabama,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Alaska,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Arizona,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Arkansas,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,California,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Colorado,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Connecticut,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,Delaware,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,District of Columbia,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Florida,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Georgia,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Hawaii,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Idaho,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Illinois,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Indiana,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Iowa,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Kansas,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Kentucky,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Louisiana,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Maine,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,Maryland,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Massachusetts,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,Michigan,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Minnesota,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Mississippi,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Missouri,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Montana,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Nebraska,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Nevada,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,New Hampshire,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,New Jersey,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,New Mexico,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,New York,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,North Carolina,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,North Dakota,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Ohio,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Oklahoma,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Oregon,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Pennsylvania,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,Rhode Island,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,South Carolina,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,South Dakota,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Tennessee,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Texas,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Utah,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,Vermont,0.0,0.0,0.0,0.277,0.0,0.723,0.0,0.0
26-35,M,Virginia,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Washington,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
26-35,M,West Virginia,0.142,0.0,0.0,0.0,0.079,0.398,0.0,0.381
26-35,M,Wisconsin,0.256,0.0,0.0,0.066,0.0,0.431,0.0,0.248
26-35,M,Wyoming,0.175,0.0,0.0,0.412,0.0,0.0,0.0,0.413
36-45,F,Alabama,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Alaska,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Arizona,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Arkansas,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,California,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Colorado,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Connecticut,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,Delaware,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,District of Columbia,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Florida,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Georgia,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Hawaii,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Idaho,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Illinois,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Indiana,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Iowa,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Kansas,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Kentucky,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Louisiana,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Maine,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,Maryland,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Massachusetts,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,Michigan,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Minnesota,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Mississippi,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Missouri,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Montana,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Nebraska,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Nevada,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,New Hampshire,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,New Jersey,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,New Mexico,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,New York,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,North Carolina,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,North Dakota,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Ohio,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Oklahoma,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Oregon,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Pennsylvania,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,Rhode Island,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,South Carolina,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,South Dakota,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Tennessee,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Texas,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Utah,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,Vermont,0.17,0.0,0.0,0.0,0.073,0.409,0.0,0.348
36-45,F,Virginia,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Washington,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,F,West Virginia,0.092,0.0,0.0,0.075,0.17,0.567,0.019,0.078
36-45,F,Wisconsin,0.194,0.0,0.0,0.066,0.183,0.36,0.0,0.197
36-45,F,Wyoming,0.331,0.0,0.0,0.184,0.0,0.236,0.0,0.25
36-45,M,Alabama,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,Alaska,0.246,0.0,0.0,0.087,0.0,0.575,0.0,0.093
36-45,M,Arizona,0.246,0.0,0.0,0.087,0.0,0.575,0.0,0.093
36-45,M,Arkansas,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,California,0.246,0.0,0.0,0.087,0.0,0.575,0.0,0.093
36-45,M,Colorado,0.246,0.0,0.0,0.087,0.0,0.575,0.0,0.093
36-45,M,Connecticut,0.059,0.145,0.0,0.0,0.0,0.771,0.0,0.025
36-45,M,Delaware,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,District of Columbia,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,Florida,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,Georgia,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,Hawaii,0.246,0.0,0.0,0.087,0.0,0.575,0.0,0.093
36-45,M,Idaho,0.246,0.0,0.0,0.087,0.0,0.575,0.0,0.093
36-45,M,Illinois,0.0,0.0,0.252,0.0,0.0,0.439,0.0,0.308
36-45,M,Indiana,0.0,0.0,0.252,0.0,0.0,0.439,0.0,0.308
36-45,M,Iowa,0.0,0.0,0.252,0.0,0.0,0.439,0.0,0.308
36-45,M,Kansas,0.0,0.0,0.252,0.0,0.0,0.439,0.0,0.308
36-45,M,Kentucky,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,Louisiana,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,Maine,0.059,0.145,0.0,0.0,0.0,0.771,0.0,0.025
36-45,M,Maryland,0.128,0.0,0.0,0.107,0.045,0.653,0.067,0.0
36-45,M,Massachusetts,0.059,0.145,0.0,0.0,0.0,0.771,0.0,0.025
36-45,M,Michigan,0.0,0.0,0.252,0.0,0.0,0.439,0.0,0.308
36-45,M,Minnesota,0.0,0.0,0.252,0.0,0.0,0.439,0.0,0.308
