age,gender,state,Prescribe_Amlodipine_10_Mg_Benazepril_Hydrochloride_20_Mg_Oral_Capsule,Prescribe_Amlodipine_10_Mg_Benazepril_Hydrochloride_40_Mg_Oral_Capsule,Prescribe_Amlodipine_2_5_Mg_Benazepril_Hydrochloride_10_Mg_Oral_Capsule,Prescribe_Amlodipine_5_Mg_Benazepril_Hydrochloride_10_Mg_Oral_Capsule,Prescribe_Amlodipine_5_Mg_Benazepril_Hydrochloride_20_Mg_Oral_Capsule,Prescribe_Amlodipine_5_Mg_Benazepril_Hydrochloride_40_Mg_Oral_Capsule
46-65,F,New Jersey,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,New Mexico,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,New York,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,North Carolina,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,North Dakota,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Ohio,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Oklahoma,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Oregon,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Pennsylvania,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,Rhode Island,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,South Carolina,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,South Dakota,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Tennessee,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Texas,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Utah,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,Vermont,0.0,0.0,0.0,0.0,1.0,0.0
46-65,F,Virginia,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Washington,0.0,0.0,0.0,1.0,0.0,0.0
46-65,F,West Virginia,0.0,0.167,0.0,0.0,0.551,0.282
46-65,F,Wisconsin,0.353,0.0,0.0,0.234,0.412,0.0
46-65,F,Wyoming,0.0,0.0,0.0,1.0,0.0,0.0
46-65,M,Alabama,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Alaska,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Arizona,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Arkansas,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,California,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Colorado,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Connecticut,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,Delaware,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,District of Columbia,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Florida,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Georgia,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Hawaii,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Idaho,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Illinois,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Indiana,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Iowa,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Kansas,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Kentucky,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Louisiana,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Maine,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,Maryland,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Massachusetts,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,Michigan,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Minnesota,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Mississippi,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Missouri,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Montana,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Nebraska,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Nevada,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,New Hampshire,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,New Jersey,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,New Mexico,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,New York,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,North Carolina,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,North Dakota,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Ohio,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Oklahoma,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Oregon,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Pennsylvania,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,Rhode Island,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,South Carolina,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,South Dakota,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Tennessee,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Texas,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Utah,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,Vermont,0.458,0.333,0.0,0.0,0.0,0.21
46-65,M,Virginia,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Washington,1.0,0.0,0.0,0.0,0.0,0.0
46-65,M,West Virginia,0.652,0.157,0.0,0.112,0.079,0.0
46-65,M,Wisconsin,0.321,0.277,0.162,0.24,0.0,0.0
46-65,M,Wyoming,1.0,0.0,0.0,0.0,0.0,0.0
65-103,F,Alabama,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Alaska,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Arizona,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Arkansas,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,California,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Colorado,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Connecticut,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,Delaware,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,District of Columbia,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Florida,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Georgia,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Hawaii,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Idaho,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Illinois,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Indiana,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Iowa,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Kansas,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Kentucky,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Louisiana,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Maine,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,Maryland,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Massachusetts,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,Michigan,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Minnesota,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Mississippi,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Missouri,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Montana,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Nebraska,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Nevada,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,New Hampshire,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,New Jersey,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,New Mexico,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,New York,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,North Carolina,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,North Dakota,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Ohio,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Oklahoma,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Oregon,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Pennsylvania,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,Rhode Island,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,South Carolina,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,South Dakota,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Tennessee,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Texas,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Utah,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,Vermont,0.0,0.403,0.0,0.0,0.175,0.421
65-103,F,Virginia,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Washington,0.664,0.0,0.0,0.255,0.081,0.0
65-103,F,West Virginia,0.038,0.415,0.0,0.0,0.548,0.0
65-103,F,Wisconsin,0.0,0.207,0.0,0.793,0.0,0.0
65-103,F,Wyoming,0.664,0.0,0.0,0.255,0.081,0.0
65-103,M,Alabama,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Alaska,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Arizona,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Arkansas,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,California,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Colorado,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Connecticut,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,Delaware,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,District of Columbia,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Florida,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Georgia,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Hawaii,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Idaho,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Illinois,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Indiana,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Iowa,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Kansas,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Kentucky,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Louisiana,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Maine,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,Maryland,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Massachusetts,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,Michigan,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Minnesota,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Mississippi,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Missouri,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Montana,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Nebraska,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Nevada,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,New Hampshire,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,New Jersey,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,New Mexico,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,New York,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,North Carolina,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,North Dakota,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Ohio,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Oklahoma,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Oregon,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Pennsylvania,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,Rhode Island,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,South Carolina,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,South Dakota,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Tennessee,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Texas,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Utah,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,Vermont,0.077,0.155,0.218,0.14,0.41,0.0
65-103,M,Virginia,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Washington,0.347,0.0,0.0,0.315,0.337,0.0
65-103,M,West Virginia,0.132,0.299,0.0,0.162,0.407,0.0
65-103,M,Wisconsin,0.541,0.058,0.0,0.342,0.058,0.0
65-103,M,Wyoming,0.347,0.0,0.0,0.315,0.337,0.0
