age,gender,state,Prescribe_Bisoprolol_Fumarate_10_Mg_Oral_Tablet,Prescribe_Bisoprolol_Fumarate_5_Mg_Oral_Tablet
46-65,M,Mississippi,0.603,0.397
46-65,M,Missouri,0.0,1.0
46-65,M,Nebraska,0.0,1.0
46-65,M,New Hampshire,0.0,1.0
46-65,M,New Jersey,0.0,1.0
46-65,M,New York,0.0,1.0
46-65,M,North Carolina,0.603,0.397
46-65,M,North Dakota,0.0,1.0
46-65,M,Ohio,0.0,1.0
46-65,M,Oklahoma,0.603,0.397
46-65,M,Pennsylvania,0.0,1.0
46-65,M,Rhode Island,0.0,1.0
46-65,M,South Carolina,0.603,0.397
46-65,M,South Dakota,0.0,1.0
46-65,M,Tennessee,0.603,0.397
46-65,M,Texas,0.603,0.397
46-65,M,Vermont,0.0,1.0
46-65,M,Virginia,0.603,0.397
46-65,M,West Virginia,0.603,0.397
46-65,M,Wisconsin,0.0,1.0
65-103,F,Alabama,0.427,0.573
65-103,F,Alaska,0.216,0.784
65-103,F,Arizona,0.216,0.784
65-103,F,Arkansas,0.427,0.573
65-103,F,California,0.216,0.784
65-103,F,Colorado,0.216,0.784
65-103,F,Connecticut,1.0,0.0
65-103,F,Delaware,0.427,0.573
65-103,F,District of Columbia,0.427,0.573
65-103,F,Florida,0.427,0.573
65-103,F,Georgia,0.427,0.573
65-103,F,Hawaii,0.216,0.784
65-103,F,Idaho,0.216,0.784
65-103,F,Illinois,0.282,0.718
65-103,F,Indiana,0.282,0.718
65-103,F,Iowa,0.282,0.718
65-103,F,Kansas,0.282,0.718
65-103,F,Kentucky,0.427,0.573
65-103,F,Louisiana,0.427,0.573
65-103,F,Maine,1.0,0.0
65-103,F,Maryland,0.427,0.573
65-103,F,Massachusetts,1.0,0.0
65-103,F,Michigan,0.282,0.718
65-103,F,Minnesota,0.282,0.718
65-103,F,Mississippi,0.427,0.573
65-103,F,Missouri,0.282,0.718
65-103,F,Montana,0.216,0.784
65-103,F,Nebraska,0.282,0.718
65-103,F,Nevada,0.216,0.784
65-103,F,New Hampshire,1.0,0.0
65-103,F,New Jersey,1.0,0.0
65-103,F,New Mexico,0.216,0.784
65-103,F,New York,1.0,0.0
65-103,F,North Carolina,0.427,0.573
65-103,F,North Dakota,0.282,0.718
65-103,F,Ohio,0.282,0.718
65-103,F,Oklahoma,0.427,0.573
65-103,F,Oregon,0.216,0.784
65-103,F,Pennsylvania,1.0,0.0
65-103,F,Rhode Island,1.0,0.0
65-103,F,South Carolina,0.427,0.573
65-103,F,South Dakota,0.282,0.718
65-103,F,Tennessee,0.427,0.573
65-103,F,Texas,0.427,0.573
65-103,F,Utah,0.216,0.784
65-103,F,Vermont,1.0,0.0
65-103,F,Virginia,0.427,0.573
65-103,F,Washington,0.216,0.784
65-103,F,West Virginia,0.427,0.573
65-103,F,Wisconsin,0.282,0.718
65-103,F,Wyoming,0.216,0.784
65-103,M,Alabama,0.426,0.574
65-103,M,Alaska,0.0,1.0
65-103,M,Arizona,0.0,1.0
65-103,M,Arkansas,0.426,0.574
65-103,M,California,0.0,1.0
65-103,M,Colorado,0.0,1.0
65-103,M,Delaware,0.426,0.574
65-103,M,District of Columbia,0.426,0.574
65-103,M,Florida,0.426,0.574
65-103,M,Georgia,0.426,0.574
65-103,M,Hawaii,0.0,1.0
65-103,M,Idaho,0.0,1.0
65-103,M,Illinois,0.0,1.0
65-103,M,Indiana,0.0,1.0
65-103,M,Iowa,0.0,1.0
65-103,M,Kansas,0.0,1.0
65-103,M,Kentucky,0.426,0.574
65-103,M,Louisiana,0.426,0.574
65-103,M,Maryland,0.426,0.574
65-103,M,Michigan,0.0,1.0
65-103,M,Minnesota,0.0,1.0
65-103,M,Mississippi,0.426,0.574
65-103,M,Missouri,0.0,1.0
65-103,M,Montana,0.0,1.0
65-103,M,Nebraska,0.0,1.0
65-103,M,Nevada,0.0,1.0
65-103,M,New Mexico,0.0,1.0
65-103,M,North Carolina,0.426,0.574
65-103,M,North Dakota,0.0,1.0
65-103,M,Ohio,0.0,1.0
65-103,M,Oklahoma,0.426,0.574
65-103,M,Oregon,0.0,1.0
65-103,M,South Carolina,0.426,0.574
65-103,M,South Dakota,0.0,1.0
65-103,M,Tennessee,0.426,0.574
65-103,M,Texas,0.426,0.574
65-103,M,Utah,0.0,1.0
65-103,M,Virginia,0.426,0.574
65-103,M,Washington,0.0,1.0
65-103,M,West Virginia,0.426,0.574
65-103,M,Wisconsin,0.0,1.0
65-103,M,Wyoming,0.0,1.0
