age,gender,state,Prescribe_Labetalol_Hydrochloride_100_Mg_Oral_Tablet,Prescribe_Labetalol_Hydrochloride_200_Mg_Oral_Tablet,Prescribe_Labetalol_Hydrochloride_300_Mg_Oral_Tablet
46-65,F,New Jersey,0.0,0.605,0.395
46-65,F,New York,0.0,0.605,0.395
46-65,F,North Carolina,0.607,0.0,0.393
46-65,F,North Dakota,0.0,1.0,0.0
46-65,F,Ohio,0.0,1.0,0.0
46-65,F,Oklahoma,0.607,0.0,0.393
46-65,F,Pennsylvania,0.0,0.605,0.395
46-65,F,Rhode Island,0.0,0.605,0.395
46-65,F,South Carolina,0.607,0.0,0.393
46-65,F,South Dakota,0.0,1.0,0.0
46-65,F,Tennessee,0.607,0.0,0.393
46-65,F,Texas,0.607,0.0,0.393
46-65,F,Vermont,0.0,0.605,0.395
46-65,F,Virginia,0.607,0.0,0.393
46-65,F,West Virginia,0.607,0.0,0.393
46-65,F,Wisconsin,0.0,1.0,0.0
46-65,M,Alabama,0.353,0.106,0.541
46-65,M,Alaska,0.0,1.0,0.0
46-65,M,Arizona,0.0,1.0,0.0
46-65,M,Arkansas,0.353,0.106,0.541
46-65,M,California,0.0,1.0,0.0
46-65,M,Colorado,0.0,1.0,0.0
46-65,M,Connecticut,0.25,0.299,0.45
46-65,M,Delaware,0.353,0.106,0.541
46-65,M,District of Columbia,0.353,0.106,0.541
46-65,M,Florida,0.353,0.106,0.541
46-65,M,Georgia,0.353,0.106,0.541
46-65,M,Hawaii,0.0,1.0,0.0
46-65,M,Idaho,0.0,1.0,0.0
46-65,M,Illinois,0.0,1.0,0.0
46-65,M,Indiana,0.0,1.0,0.0
46-65,M,Iowa,0.0,1.0,0.0
46-65,M,Kansas,0.0,1.0,0.0
46-65,M,Kentucky,0.353,0.106,0.541
46-65,M,Louisiana,0.353,0.106,0.541
46-65,M,Maine,0.25,0.299,0.45
46-65,M,Maryland,0.353,0.106,0.541
46-65,M,Massachusetts,0.25,0.299,0.45
46-65,M,Michigan,0.0,1.0,0.0
46-65,M,Minnesota,0.0,1.0,0.0
46-65,M,Mississippi,0.353,0.106,0.541
46-65,M,Missouri,0.0,1.0,0.0
46-65,M,Montana,0.0,1.0,0.0
46-65,M,Nebraska,0.0,1.0,0.0
46-65,M,Nevada,0.0,1.0,0.0
46-65,M,New Hampshire,0.25,0.299,0.45
46-65,M,New Jersey,0.25,0.299,0.45
46-65,M,New Mexico,0.0,1.0,0.0
46-65,M,New York,0.25,0.299,0.45
46-65,M,North Carolina,0.353,0.106,0.541
46-65,M,North Dakota,0.0,1.0,0.0
46-65,M,Ohio,0.0,1.0,0.0
46-65,M,Oklahoma,0.353,0.106,0.541
46-65,M,Oregon,0.0,1.0,0.0
46-65,M,Pennsylvania,0.25,0.299,0.45
46-65,M,Rhode Island,0.25,0.299,0.45
46-65,M,South Carolina,0.353,0.106,0.541
46-65,M,South Dakota,0.0,1.0,0.0
46-65,M,Tennessee,0.353,0.106,0.541
46-65,M,Texas,0.353,0.106,0.541
46-65,M,Utah,0.0,1.0,0.0
46-65,M,Vermont,0.25,0.299,0.45
46-65,M,Virginia,0.353,0.106,0.541
46-65,M,Washington,0.0,1.0,0.0
46-65,M,West Virginia,0.353,0.106,0.541
46-65,M,Wisconsin,0.0,1.0,0.0
46-65,M,Wyoming,0.0,1.0,0.0
65-103,F,Alabama,0.701,0.299,0.0
65-103,F,Alaska,0.633,0.367,0.0
65-103,F,Arizona,0.633,0.367,0.0
65-103,F,Arkansas,0.701,0.299,0.0
65-103,F,California,0.633,0.367,0.0
65-103,F,Colorado,0.633,0.367,0.0
65-103,F,Connecticut,0.428,0.099,0.473
65-103,F,Delaware,0.701,0.299,0.0
65-103,F,District of Columbia,0.701,0.299,0.0
65-103,F,Florida,0.701,0.299,0.0
65-103,F,Georgia,0.701,0.299,0.0
65-103,F,Hawaii,0.633,0.367,0.0
65-103,F,Idaho,0.633,0.367,0.0
65-103,F,Illinois,0.312,0.375,0.312
65-103,F,Indiana,0.312,0.375,0.312
65-103,F,Iowa,0.312,0.375,0.312
65-103,F,Kansas,0.312,0.375,0.312
65-103,F,Kentucky,0.701,0.299,0.0
65-103,F,Louisiana,0.701,0.299,0.0
65-103,F,Maine,0.428,0.099,0.473
65-103,F,Maryland,0.701,0.299,0.0
65-103,F,Massachusetts,0.428,0.099,0.473
65-103,F,Michigan,0.312,0.375,0.312
65-103,F,Minnesota,0.312,0.375,0.312
65-103,F,Mississippi,0.701,0.299,0.0
65-103,F,Missouri,0.312,0.375,0.312
65-103,F,Montana,0.633,0.367,0.0
65-103,F,Nebraska,0.312,0.375,0.312
65-103,F,Nevada,0.633,0.367,0.0
65-103,F,New Hampshire,0.428,0.099,0.473
65-103,F,New Jersey,0.428,0.099,0.473
65-103,F,New Mexico,0.633,0.367,0.0
65-103,F,New York,0.428,0.099,0.473
65-103,F,North Carolina,0.701,0.299,0.0
65-103,F,North Dakota,0.312,0.375,0.312
65-103,F,Ohio,0.312,0.375,0.312
65-103,F,Oklahoma,0.701,0.299,0.0
65-103,F,Oregon,0.633,0.367,0.0
65-103,F,Pennsylvania,0.428,0.099,0.473
65-103,F,Rhode Island,0.428,0.099,0.473
65-103,F,South Carolina,0.701,0.299,0.0
65-103,F,South Dakota,0.312,0.375,0.312
65-103,F,Tennessee,0.701,0.299,0.0
65-103,F,Texas,0.701,0.299,0.0
65-103,F,Utah,0.633,0.367,0.0
65-103,F,Vermont,0.428,0.099,0.473
65-103,F,Virginia,0.701,0.299,0.0
65-103,F,Washington,0.633,0.367,0.0
65-103,F,West Virginia,0.701,0.299,0.0
65-103,F,Wisconsin,0.312,0.375,0.312
65-103,F,Wyoming,0.633,0.367,0.0
65-103,M,Alabama,0.506,0.494,0.0
65-103,M,Alaska,0.0,0.313,0.687
65-103,M,Arizona,0.0,0.313,0.687
65-103,M,Arkansas,0.506,0.494,0.0
65-103,M,California,0.0,0.313,0.687
65-103,M,Colorado,0.0,0.313,0.687
65-103,M,Connecticut,0.311,0.523,0.166
65-103,M,Delaware,0.506,0.494,0.0
65-103,M,District of Columbia,0.506,0.494,0.0
65-103,M,Florida,0.506,0.494,0.0
65-103,M,Georgia,0.506,0.494,0.0
65-103,M,Hawaii,0.0,0.313,0.687
65-103,M,Idaho,0.0,0.313,0.687
65-103,M,Illinois,0.0,1.0,0.0
65-103,M,Indiana,0.0,1.0,0.0
65-103,M,Iowa,0.0,1.0,0.0
65-103,M,Kansas,0.0,1.0,0.0
65-103,M,Kentucky,0.506,0.494,0.0
65-103,M,Louisiana,0.506,0.494,0.0
65-103,M,Maine,0.311,0.523,0.166
65-103,M,Maryland,0.506,0.494,0.0
65-103,M,Massachusetts,0.311,0.523,0.166
65-103,M,Michigan,0.0,1.0,0.0
65-103,M,Minnesota,0.0,1.0,0.0
65-103,M,Mississippi,0.506,0.494,0.0
65-103,M,Missouri,0.0,1.0,0.0
65-103,M,Montana,0.0,0.313,0.687
65-103,M,Nebraska,0.0,1.0,0.0
65-103,M,Nevada,0.0,0.313,0.687
65-103,M,New Hampshire,0.311,0.523,0.166
65-103,M,New Jersey,0.311,0.523,0.166
65-103,M,New Mexico,0.0,0.313,0.687
65-103,M,New York,0.311,0.523,0.166
65-103,M,North Carolina,0.506,0.494,0.0
65-103,M,North Dakota,0.0,1.0,0.0
65-103,M,Ohio,0.0,1.0,0.0
65-103,M,Oklahoma,0.506,0.494,0.0
65-103,M,Oregon,0.0,0.313,0.687
65-103,M,Pennsylvania,0.311,0.523,0.166
65-103,M,Rhode Island,0.311,0.523,0.166
65-103,M,South Carolina,0.506,0.494,0.0
65-103,M,South Dakota,0.0,1.0,0.0
65-103,M,Tennessee,0.506,0.494,0.0
65-103,M,Texas,0.506,0.494,0.0
65-103,M,Utah,0.0,0.313,0.687
65-103,M,Vermont,0.311,0.523,0.166
65-103,M,Virginia,0.506,0.494,0.0
65-103,M,Washington,0.0,0.313,0.687
65-103,M,West Virginia,0.506,0.494,0.0
65-103,M,Wisconsin,0.0,1.0,0.0
65-103,M,Wyoming,0.0,0.313,0.687
