age,gender,state,Prescribe_Amlodipine_Benazepril,Prescribe_Benazepril,Prescribe_Benazepril_Hydrochlorothiazide,Prescribe_Enalapril,Prescribe_Hydrochlorothiazide_Lisinopril,Prescribe_Hydrochlorothiazide_Losartan,Prescribe_Hydrochlorothiazide_Valsartan,Prescribe_Irbesartan,Prescribe_Lisinopril,Prescribe_Losartan,Prescribe_Quinapril,Prescribe_Ramipril,Prescribe_Sacubitril_Valsartan,Prescribe_Telmisartan,Prescribe_Valsartan
18-25,F,Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Oklahoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Vermont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,West Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,F,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
18-25,F,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Alabama,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Arkansas,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Connecticut,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,Delaware,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,District of Columbia,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Florida,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Georgia,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Kentucky,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Louisiana,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Maine,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,Maryland,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Massachusetts,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Mississippi,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,New Hampshire,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,New Jersey,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,New York,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,North Carolina,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Oklahoma,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Pennsylvania,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,Rhode Island,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,South Carolina,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Tennessee,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Texas,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,Vermont,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
18-25,M,Virginia,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
18-25,M,West Virginia,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Wisconsin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18-25,M,Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.368,0.0,0.0,0.0,0.0,0.0
26-35,F,Alabama,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.627,0.0,0.0,0.0,0.0,0.0
26-35,F,Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.627,0.0,0.0,0.0,0.0,0.0
26-35,F,Arkansas,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,California,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.627,0.0,0.0,0.0,0.0,0.0
26-35,F,Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.627,0.0,0.0,0.0,0.0,0.0
26-35,F,Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Delaware,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,District of Columbia,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,Florida,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,Georgia,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.627,0.0,0.0,0.0,0.0,0.0
26-35,F,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.627,0.0,0.0,0.0,0.0,0.0
26-35,F,Illinois,0.0,0.0,0.0,0.0,0.368,0.148,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Indiana,0.0,0.0,0.0,0.0,0.368,0.148,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Iowa,0.0,0.0,0.0,0.0,0.368,0.148,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Kansas,0.0,0.0,0.0,0.0,0.368,0.148,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Kentucky,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,Louisiana,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Maryland,0.0,0.0,0.0,0.04,0.03,0.016,0.0,0.044,0.494,0.227,0.0,0.0,0.0,0.073,0.075
26-35,F,Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,F,Michigan,0.0,0.0,0.0,0.0,0.368,0.148,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0
