age,gender,state,Prescribe_Nebivolol_10_Mg_Oral_Tablet_Bystolic,Prescribe_Nebivolol_20_Mg_Oral_Tablet_Bystolic,Prescribe_Nebivolol_2_5_Mg_Oral_Tablet_Bystolic,Prescribe_Nebivolol_5_Mg_Oral_Tablet_Bystolic
46-65,F,Indiana,0.0,0.396,0.0,0.604
46-65,F,Iowa,0.0,0.396,0.0,0.604
46-65,F,Kansas,0.0,0.396,0.0,0.604
46-65,F,Kentucky,0.454,0.135,0.115,0.296
46-65,F,Louisiana,0.454,0.135,0.115,0.296
46-65,F,Maine,0.538,0.0,0.0,0.462
46-65,F,Maryland,0.454,0.135,0.115,0.296
46-65,F,Massachusetts,0.538,0.0,0.0,0.462
46-65,F,Michigan,0.0,0.396,0.0,0.604
46-65,F,Minnesota,0.0,0.396,0.0,0.604
46-65,F,Mississippi,0.454,0.135,0.115,0.296
46-65,F,Missouri,0.0,0.396,0.0,0.604
46-65,F,Montana,0.224,0.0,0.0,0.776
46-65,F,Nebraska,0.0,0.396,0.0,0.604
46-65,F,Nevada,0.224,0.0,0.0,0.776
46-65,F,New Hampshire,0.538,0.0,0.0,0.462
46-65,F,New Jersey,0.538,0.0,0.0,0.462
46-65,F,New Mexico,0.224,0.0,0.0,0.776
46-65,F,New York,0.538,0.0,0.0,0.462
46-65,F,North Carolina,0.454,0.135,0.115,0.296
46-65,F,North Dakota,0.0,0.396,0.0,0.604
46-65,F,Ohio,0.0,0.396,0.0,0.604
46-65,F,Oklahoma,0.454,0.135,0.115,0.296
46-65,F,Oregon,0.224,0.0,0.0,0.776
46-65,F,Pennsylvania,0.538,0.0,0.0,0.462
46-65,F,Rhode Island,0.538,0.0,0.0,0.462
46-65,F,South Carolina,0.454,0.135,0.115,0.296
46-65,F,South Dakota,0.0,0.396,0.0,0.604
46-65,F,Tennessee,0.454,0.135,0.115,0.296
46-65,F,Texas,0.454,0.135,0.115,0.296
46-65,F,Utah,0.224,0.0,0.0,0.776
46-65,F,Vermont,0.538,0.0,0.0,0.462
46-65,F,Virginia,0.454,0.135,0.115,0.296
46-65,F,Washington,0.224,0.0,0.0,0.776
46-65,F,West Virginia,0.454,0.135,0.115,0.296
46-65,F,Wisconsin,0.0,0.396,0.0,0.604
46-65,F,Wyoming,0.224,0.0,0.0,0.776
46-65,M,Alabama,0.43,0.0,0.0,0.57
46-65,M,Alaska,0.0,0.0,0.0,1.0
46-65,M,Arizona,0.0,0.0,0.0,1.0
46-65,M,Arkansas,0.43,0.0,0.0,0.57
46-65,M,California,0.0,0.0,0.0,1.0
46-65,M,Colorado,0.0,0.0,0.0,1.0
46-65,M,Connecticut,0.722,0.0,0.0,0.278
46-65,M,Delaware,0.43,0.0,0.0,0.57
46-65,M,District of Columbia,0.43,0.0,0.0,0.57
46-65,M,Florida,0.43,0.0,0.0,0.57
46-65,M,Georgia,0.43,0.0,0.0,0.57
46-65,M,Hawaii,0.0,0.0,0.0,1.0
46-65,M,Idaho,0.0,0.0,0.0,1.0
46-65,M,Illinois,1.0,0.0,0.0,0.0
46-65,M,Indiana,1.0,0.0,0.0,0.0
46-65,M,Iowa,1.0,0.0,0.0,0.0
46-65,M,Kansas,1.0,0.0,0.0,0.0
46-65,M,Kentucky,0.43,0.0,0.0,0.57
46-65,M,Louisiana,0.43,0.0,0.0,0.57
46-65,M,Maine,0.722,0.0,0.0,0.278
46-65,M,Maryland,0.43,0.0,0.0,0.57
46-65,M,Massachusetts,0.722,0.0,0.0,0.278
46-65,M,Michigan,1.0,0.0,0.0,0.0
46-65,M,Minnesota,1.0,0.0,0.0,0.0
46-65,M,Mississippi,0.43,0.0,0.0,0.57
46-65,M,Missouri,1.0,0.0,0.0,0.0
46-65,M,Montana,0.0,0.0,0.0,1.0
46-65,M,Nebraska,1.0,0.0,0.0,0.0
46-65,M,Nevada,0.0,0.0,0.0,1.0
46-65,M,New Hampshire,0.722,0.0,0.0,0.278
46-65,M,New Jersey,0.722,0.0,0.0,0.278
46-65,M,New Mexico,0.0,0.0,0.0,1.0
46-65,M,New York,0.722,0.0,0.0,0.278
46-65,M,North Carolina,0.43,0.0,0.0,0.57
46-65,M,North Dakota,1.0,0.0,0.0,0.0
46-65,M,Ohio,1.0,0.0,0.0,0.0
46-65,M,Oklahoma,0.43,0.0,0.0,0.57
46-65,M,Oregon,0.0,0.0,0.0,1.0
46-65,M,Pennsylvania,0.722,0.0,0.0,0.278
46-65,M,Rhode Island,0.722,0.0,0.0,0.278
46-65,M,South Carolina,0.43,0.0,0.0,0.57
46-65,M,South Dakota,1.0,0.0,0.0,0.0
46-65,M,Tennessee,0.43,0.0,0.0,0.57
46-65,M,Texas,0.43,0.0,0.0,0.57
46-65,M,Utah,0.0,0.0,0.0,1.0
46-65,M,Vermont,0.722,0.0,0.0,0.278
46-65,M,Virginia,0.43,0.0,0.0,0.57
46-65,M,Washington,0.0,0.0,0.0,1.0
46-65,M,West Virginia,0.43,0.0,0.0,0.57
46-65,M,Wisconsin,1.0,0.0,0.0,0.0
46-65,M,Wyoming,0.0,0.0,0.0,1.0
65-103,F,Alabama,0.54,0.0,0.0,0.46
65-103,F,Alaska,0.287,0.143,0.0,0.57
65-103,F,Arizona,0.287,0.143,0.0,0.57
65-103,F,Arkansas,0.54,0.0,0.0,0.46
65-103,F,California,0.287,0.143,0.0,0.57
65-103,F,Colorado,0.287,0.143,0.0,0.57
65-103,F,Connecticut,1.0,0.0,0.0,0.0
65-103,F,Delaware,0.54,0.0,0.0,0.46
65-103,F,District of Columbia,0.54,0.0,0.0,0.46
65-103,F,Florida,0.54,0.0,0.0,0.46
65-103,F,Georgia,0.54,0.0,0.0,0.46
65-103,F,Hawaii,0.287,0.143,0.0,0.57
65-103,F,Idaho,0.287,0.143,0.0,0.57
65-103,F,Kentucky,0.54,0.0,0.0,0.46
65-103,F,Louisiana,0.54,0.0,0.0,0.46
65-103,F,Maine,1.0,0.0,0.0,0.0
65-103,F,Maryland,0.54,0.0,0.0,0.46
65-103,F,Massachusetts,1.0,0.0,0.0,0.0
65-103,F,Mississippi,0.54,0.0,0.0,0.46
65-103,F,Montana,0.287,0.143,0.0,0.57
65-103,F,Nevada,0.287,0.143,0.0,0.57
65-103,F,New Hampshire,1.0,0.0,0.0,0.0
65-103,F,New Jersey,1.0,0.0,0.0,0.0
65-103,F,New Mexico,0.287,0.143,0.0,0.57
65-103,F,New York,1.0,0.0,0.0,0.0
65-103,F,North Carolina,0.54,0.0,0.0,0.46
65-103,F,Oklahoma,0.54,0.0,0.0,0.46
65-103,F,Oregon,0.287,0.143,0.0,0.57
65-103,F,Pennsylvania,1.0,0.0,0.0,0.0
65-103,F,Rhode Island,1.0,0.0,0.0,0.0
65-103,F,South Carolina,0.54,0.0,0.0,0.46
65-103,F,Tennessee,0.54,0.0,0.0,0.46
65-103,F,Texas,0.54,0.0,0.0,0.46
65-103,F,Utah,0.287,0.143,0.0,0.57
65-103,F,Vermont,1.0,0.0,0.0,0.0
65-103,F,Virginia,0.54,0.0,0.0,0.46
65-103,F,Washington,0.287,0.143,0.0,0.57
65-103,F,West Virginia,0.54,0.0,0.0,0.46
65-103,F,Wyoming,0.287,0.143,0.0,0.57
65-103,M,Alabama,0.481,0.126,0.0,0.393
65-103,M,Alaska,0.372,0.165,0.0,0.463
65-103,M,Arizona,0.372,0.165,0.0,0.463
65-103,M,Arkansas,0.481,0.126,0.0,0.393
65-103,M,California,0.372,0.165,0.0,0.463
65-103,M,Colorado,0.372,0.165,0.0,0.463
65-103,M,Connecticut,0.0,1.0,0.0,0.0
65-103,M,Delaware,0.481,0.126,0.0,0.393
65-103,M,District of Columbia,0.481,0.126,0.0,0.393
65-103,M,Florida,0.481,0.126,0.0,0.393
65-103,M,Georgia,0.481,0.126,0.0,0.393
65-103,M,Hawaii,0.372,0.165,0.0,0.463
65-103,M,Idaho,0.372,0.165,0.0,0.463
65-103,M,Illinois,0.598,0.402,0.0,0.0
65-103,M,Indiana,0.598,0.402,0.0,0.0
65-103,M,Iowa,0.598,0.402,0.0,0.0
65-103,M,Kansas,0.598,0.402,0.0,0.0
65-103,M,Kentucky,0.481,0.126,0.0,0.393
65-103,M,Louisiana,0.481,0.126,0.0,0.393
65-103,M,Maine,0.0,1.0,0.0,0.0
65-103,M,Maryland,0.481,0.126,0.0,0.393
65-103,M,Massachusetts,0.0,1.0,0.0,0.0
65-103,M,Michigan,0.598,0.402,0.0,0.0
65-103,M,Minnesota,0.598,0.402,0.0,0.0
65-103,M,Mississippi,0.481,0.126,0.0,0.393
65-103,M,Missouri,0.598,0.402,0.0,0.0
65-103,M,Montana,0.372,0.165,0.0,0.463
65-103,M,Nebraska,0.598,0.402,0.0,0.0
65-103,M,Nevada,0.372,0.165,0.0,0.463
65-103,M,New Hampshire,0.0,1.0,0.0,0.0
65-103,M,New Jersey,0.0,1.0,0.0,0.0
65-103,M,New Mexico,0.372,0.165,0.0,0.463
65-103,M,New York,0.0,1.0,0.0,0.0
65-103,M,North Carolina,0.481,0.126,0.0,0.393
65-103,M,North Dakota,0.598,0.402,0.0,0.0
65-103,M,Ohio,0.598,0.402,0.0,0.0
65-103,M,Oklahoma,0.481,0.126,0.0,0.393
65-103,M,Oregon,0.372,0.165,0.0,0.463
65-103,M,Pennsylvania,0.0,1.0,0.0,0.0
65-103,M,Rhode Island,0.0,1.0,0.0,0.0
65-103,M,South Carolina,0.481,0.126,0.0,0.393
65-103,M,South Dakota,0.598,0.402,0.0,0.0
65-103,M,Tennessee,0.481,0.126,0.0,0.393
65-103,M,Texas,0.481,0.126,0.0,0.393
65-103,M,Utah,0.372,0.165,0.0,0.463
65-103,M,Vermont,0.0,1.0,0.0,0.0
65-103,M,Virginia,0.481,0.126,0.0,0.393
65-103,M,Washington,0.372,0.165,0.0,0.463
65-103,M,West Virginia,0.481,0.126,0.0,0.393
65-103,M,Wisconsin,0.598,0.402,0.0,0.0
65-103,M,Wyoming,0.372,0.165,0.0,0.463
