age,gender,state,Prescribe_Hydrochlorothiazide_12_5_Mg_Losartan_Potassium_100_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Losartan_Potassium_100_Mg_Oral_Tablet_Hyzaar,Prescribe_Hydrochlorothiazide_12_5_Mg_Losartan_Potassium_50_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Losartan_Potassium_50_Mg_Oral_Tablet_Hyzaar,Prescribe_Hydrochlorothiazide_25_Mg_Losartan_Potassium_100_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_25_Mg_Losartan_Potassium_100_Mg_Oral_Tablet_Hyzaar
46-65,F,Delaware,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,District of Columbia,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Florida,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Georgia,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Hawaii,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Idaho,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Illinois,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Indiana,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Iowa,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Kansas,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Kentucky,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Louisiana,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Maine,0.125,0.0,0.328,0.0,0.547,0.0
46-65,F,Maryland,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Massachusetts,0.125,0.0,0.328,0.0,0.547,0.0
46-65,F,Michigan,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Minnesota,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Mississippi,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Missouri,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Montana,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Nebraska,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Nevada,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,New Hampshire,0.125,0.0,0.328,0.0,0.547,0.0
46-65,F,New Jersey,0.125,0.0,0.328,0.0,0.547,0.0
46-65,F,New Mexico,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,New York,0.125,0.0,0.328,0.0,0.547,0.0
46-65,F,North Carolina,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,North Dakota,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Ohio,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Oklahoma,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Oregon,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Pennsylvania,0.125,0.0,0.328,0.0,0.547,0.0
46-65,F,Rhode Island,0.125,0.0,0.328,0.0,0.547,0.0
46-65,F,South Carolina,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,South Dakota,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Tennessee,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Texas,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Utah,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,Vermont,0.125,0.0,0.328,0.0,0.547,0.0
46-65,F,Virginia,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Washington,0.0,0.0,0.567,0.0,0.433,0.0
46-65,F,West Virginia,0.095,0.0,0.318,0.0,0.588,0.0
46-65,F,Wisconsin,0.211,0.0,0.252,0.0,0.537,0.0
46-65,F,Wyoming,0.0,0.0,0.567,0.0,0.433,0.0
46-65,M,Alabama,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Alaska,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Arizona,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Arkansas,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,California,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Colorado,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Connecticut,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,Delaware,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,District of Columbia,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Florida,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Georgia,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Hawaii,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Idaho,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Illinois,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Indiana,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Iowa,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Kansas,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Kentucky,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Louisiana,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Maine,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,Maryland,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Massachusetts,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,Michigan,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Minnesota,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Mississippi,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Missouri,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Montana,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Nebraska,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Nevada,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,New Hampshire,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,New Jersey,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,New Mexico,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,New York,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,North Carolina,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,North Dakota,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Ohio,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Oklahoma,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Oregon,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Pennsylvania,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,Rhode Island,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,South Carolina,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,South Dakota,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Tennessee,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Texas,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Utah,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,Vermont,0.0,0.0,0.246,0.0,0.754,0.0
46-65,M,Virginia,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Washington,0.227,0.0,0.206,0.05,0.517,0.0
46-65,M,West Virginia,0.298,0.0,0.28,0.0,0.422,0.0
46-65,M,Wisconsin,0.0,0.0,0.553,0.0,0.447,0.0
46-65,M,Wyoming,0.227,0.0,0.206,0.05,0.517,0.0
65-103,F,Alabama,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Alaska,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Arizona,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Arkansas,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,California,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Colorado,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Connecticut,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,Delaware,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,District of Columbia,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Florida,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Georgia,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Hawaii,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Idaho,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Illinois,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Indiana,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Iowa,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Kansas,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Kentucky,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Louisiana,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Maine,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,Maryland,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Massachusetts,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,Michigan,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Minnesota,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Mississippi,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Missouri,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Montana,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Nebraska,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Nevada,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,New Hampshire,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,New Jersey,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,New Mexico,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,New York,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,North Carolina,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,North Dakota,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Ohio,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Oklahoma,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Oregon,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Pennsylvania,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,Rhode Island,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,South Carolina,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,South Dakota,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Tennessee,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Texas,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Utah,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,Vermont,0.172,0.0,0.278,0.0,0.55,0.0
65-103,F,Virginia,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Washington,0.141,0.0,0.498,0.0,0.361,0.0
65-103,F,West Virginia,0.192,0.0,0.297,0.0,0.487,0.025
65-103,F,Wisconsin,0.357,0.0,0.361,0.0,0.283,0.0
65-103,F,Wyoming,0.141,0.0,0.498,0.0,0.361,0.0
65-103,M,Alabama,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Alaska,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Arizona,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Arkansas,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,California,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Colorado,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Connecticut,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,Delaware,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,District of Columbia,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Florida,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Georgia,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Hawaii,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Idaho,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Illinois,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Indiana,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Iowa,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Kansas,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Kentucky,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Louisiana,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Maine,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,Maryland,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Massachusetts,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,Michigan,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Minnesota,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Mississippi,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Missouri,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Montana,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Nebraska,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Nevada,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,New Hampshire,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,New Jersey,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,New Mexico,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,New York,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,North Carolina,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,North Dakota,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Ohio,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Oklahoma,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Oregon,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Pennsylvania,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,Rhode Island,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,South Carolina,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,South Dakota,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Tennessee,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Texas,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Utah,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,Vermont,0.418,0.0,0.414,0.0,0.168,0.0
65-103,M,Virginia,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Washington,0.083,0.0,0.784,0.0,0.132,0.0
65-103,M,West Virginia,0.055,0.0,0.246,0.0,0.642,0.057
65-103,M,Wisconsin,0.064,0.0,0.303,0.0,0.633,0.0
65-103,M,Wyoming,0.083,0.0,0.784,0.0,0.132,0.0
