age,gender,state,Prescribe_Pravastatin_Sodium_10_Mg_Oral_Tablet,Prescribe_Pravastatin_Sodium_20_Mg_Oral_Tablet,Prescribe_Pravastatin_Sodium_40_Mg_Oral_Tablet,Prescribe_Pravastatin_Sodium_40_Mg_Oral_Tablet_Pravachol,Prescribe_Pravastatin_Sodium_80_Mg_Oral_Tablet
36-45,M,Nebraska,0.0,0.301,0.353,0.0,0.345
36-45,M,New Hampshire,0.0,0.386,0.614,0.0,0.0
36-45,M,New Jersey,0.0,0.386,0.614,0.0,0.0
36-45,M,New York,0.0,0.386,0.614,0.0,0.0
36-45,M,North Carolina,0.124,0.347,0.53,0.0,0.0
36-45,M,North Dakota,0.0,0.301,0.353,0.0,0.345
36-45,M,Ohio,0.0,0.301,0.353,0.0,0.345
36-45,M,Oklahoma,0.124,0.347,0.53,0.0,0.0
36-45,M,Pennsylvania,0.0,0.386,0.614,0.0,0.0
36-45,M,Rhode Island,0.0,0.386,0.614,0.0,0.0
36-45,M,South Carolina,0.124,0.347,0.53,0.0,0.0
36-45,M,South Dakota,0.0,0.301,0.353,0.0,0.345
36-45,M,Tennessee,0.124,0.347,0.53,0.0,0.0
36-45,M,Texas,0.124,0.347,0.53,0.0,0.0
36-45,M,Vermont,0.0,0.386,0.614,0.0,0.0
36-45,M,Virginia,0.124,0.347,0.53,0.0,0.0
36-45,M,West Virginia,0.124,0.347,0.53,0.0,0.0
36-45,M,Wisconsin,0.0,0.301,0.353,0.0,0.345
46-65,F,Alabama,0.034,0.436,0.445,0.0,0.085
46-65,F,Alaska,0.1,0.342,0.558,0.0,0.0
46-65,F,Arizona,0.1,0.342,0.558,0.0,0.0
46-65,F,Arkansas,0.034,0.436,0.445,0.0,0.085
46-65,F,California,0.1,0.342,0.558,0.0,0.0
46-65,F,Colorado,0.1,0.342,0.558,0.0,0.0
46-65,F,Connecticut,0.06,0.157,0.783,0.0,0.0
46-65,F,Delaware,0.034,0.436,0.445,0.0,0.085
46-65,F,District of Columbia,0.034,0.436,0.445,0.0,0.085
46-65,F,Florida,0.034,0.436,0.445,0.0,0.085
46-65,F,Georgia,0.034,0.436,0.445,0.0,0.085
46-65,F,Hawaii,0.1,0.342,0.558,0.0,0.0
46-65,F,Idaho,0.1,0.342,0.558,0.0,0.0
46-65,F,Illinois,0.122,0.433,0.38,0.0,0.065
46-65,F,Indiana,0.122,0.433,0.38,0.0,0.065
46-65,F,Iowa,0.122,0.433,0.38,0.0,0.065
46-65,F,Kansas,0.122,0.433,0.38,0.0,0.065
46-65,F,Kentucky,0.034,0.436,0.445,0.0,0.085
46-65,F,Louisiana,0.034,0.436,0.445,0.0,0.085
46-65,F,Maine,0.06,0.157,0.783,0.0,0.0
46-65,F,Maryland,0.034,0.436,0.445,0.0,0.085
46-65,F,Massachusetts,0.06,0.157,0.783,0.0,0.0
46-65,F,Michigan,0.122,0.433,0.38,0.0,0.065
46-65,F,Minnesota,0.122,0.433,0.38,0.0,0.065
46-65,F,Mississippi,0.034,0.436,0.445,0.0,0.085
46-65,F,Missouri,0.122,0.433,0.38,0.0,0.065
46-65,F,Montana,0.1,0.342,0.558,0.0,0.0
46-65,F,Nebraska,0.122,0.433,0.38,0.0,0.065
46-65,F,Nevada,0.1,0.342,0.558,0.0,0.0
46-65,F,New Hampshire,0.06,0.157,0.783,0.0,0.0
46-65,F,New Jersey,0.06,0.157,0.783,0.0,0.0
46-65,F,New Mexico,0.1,0.342,0.558,0.0,0.0
46-65,F,New York,0.06,0.157,0.783,0.0,0.0
46-65,F,North Carolina,0.034,0.436,0.445,0.0,0.085
46-65,F,North Dakota,0.122,0.433,0.38,0.0,0.065
46-65,F,Ohio,0.122,0.433,0.38,0.0,0.065
46-65,F,Oklahoma,0.034,0.436,0.445,0.0,0.085
46-65,F,Oregon,0.1,0.342,0.558,0.0,0.0
46-65,F,Pennsylvania,0.06,0.157,0.783,0.0,0.0
46-65,F,Rhode Island,0.06,0.157,0.783,0.0,0.0
46-65,F,South Carolina,0.034,0.436,0.445,0.0,0.085
46-65,F,South Dakota,0.122,0.433,0.38,0.0,0.065
46-65,F,Tennessee,0.034,0.436,0.445,0.0,0.085
46-65,F,Texas,0.034,0.436,0.445,0.0,0.085
46-65,F,Utah,0.1,0.342,0.558,0.0,0.0
46-65,F,Vermont,0.06,0.157,0.783,0.0,0.0
46-65,F,Virginia,0.034,0.436,0.445,0.0,0.085
46-65,F,Washington,0.1,0.342,0.558,0.0,0.0
46-65,F,West Virginia,0.034,0.436,0.445,0.0,0.085
46-65,F,Wisconsin,0.122,0.433,0.38,0.0,0.065
46-65,F,Wyoming,0.1,0.342,0.558,0.0,0.0
46-65,M,Alabama,0.047,0.26,0.564,0.0,0.13
46-65,M,Alaska,0.032,0.573,0.301,0.0,0.094
46-65,M,Arizona,0.032,0.573,0.301,0.0,0.094
46-65,M,Arkansas,0.047,0.26,0.564,0.0,0.13
46-65,M,California,0.032,0.573,0.301,0.0,0.094
46-65,M,Colorado,0.032,0.573,0.301,0.0,0.094
46-65,M,Connecticut,0.11,0.225,0.621,0.0,0.045
46-65,M,Delaware,0.047,0.26,0.564,0.0,0.13
46-65,M,District of Columbia,0.047,0.26,0.564,0.0,0.13
46-65,M,Florida,0.047,0.26,0.564,0.0,0.13
46-65,M,Georgia,0.047,0.26,0.564,0.0,0.13
46-65,M,Hawaii,0.032,0.573,0.301,0.0,0.094
46-65,M,Idaho,0.032,0.573,0.301,0.0,0.094
46-65,M,Illinois,0.0,0.378,0.395,0.0,0.227
46-65,M,Indiana,0.0,0.378,0.395,0.0,0.227
46-65,M,Iowa,0.0,0.378,0.395,0.0,0.227
46-65,M,Kansas,0.0,0.378,0.395,0.0,0.227
46-65,M,Kentucky,0.047,0.26,0.564,0.0,0.13
46-65,M,Louisiana,0.047,0.26,0.564,0.0,0.13
46-65,M,Maine,0.11,0.225,0.621,0.0,0.045
46-65,M,Maryland,0.047,0.26,0.564,0.0,0.13
46-65,M,Massachusetts,0.11,0.225,0.621,0.0,0.045
46-65,M,Michigan,0.0,0.378,0.395,0.0,0.227
46-65,M,Minnesota,0.0,0.378,0.395,0.0,0.227
46-65,M,Mississippi,0.047,0.26,0.564,0.0,0.13
46-65,M,Missouri,0.0,0.378,0.395,0.0,0.227
46-65,M,Montana,0.032,0.573,0.301,0.0,0.094
46-65,M,Nebraska,0.0,0.378,0.395,0.0,0.227
46-65,M,Nevada,0.032,0.573,0.301,0.0,0.094
46-65,M,New Hampshire,0.11,0.225,0.621,0.0,0.045
46-65,M,New Jersey,0.11,0.225,0.621,0.0,0.045
46-65,M,New Mexico,0.032,0.573,0.301,0.0,0.094
46-65,M,New York,0.11,0.225,0.621,0.0,0.045
46-65,M,North Carolina,0.047,0.26,0.564,0.0,0.13
46-65,M,North Dakota,0.0,0.378,0.395,0.0,0.227
46-65,M,Ohio,0.0,0.378,0.395,0.0,0.227
46-65,M,Oklahoma,0.047,0.26,0.564,0.0,0.13
46-65,M,Oregon,0.032,0.573,0.301,0.0,0.094
46-65,M,Pennsylvania,0.11,0.225,0.621,0.0,0.045
46-65,M,Rhode Island,0.11,0.225,0.621,0.0,0.045
46-65,M,South Carolina,0.047,0.26,0.564,0.0,0.13
46-65,M,South Dakota,0.0,0.378,0.395,0.0,0.227
46-65,M,Tennessee,0.047,0.26,0.564,0.0,0.13
46-65,M,Texas,0.047,0.26,0.564,0.0,0.13
46-65,M,Utah,0.032,0.573,0.301,0.0,0.094
46-65,M,Vermont,0.11,0.225,0.621,0.0,0.045
46-65,M,Virginia,0.047,0.26,0.564,0.0,0.13
46-65,M,Washington,0.032,0.573,0.301,0.0,0.094
46-65,M,West Virginia,0.047,0.26,0.564,0.0,0.13
46-65,M,Wisconsin,0.0,0.378,0.395,0.0,0.227
46-65,M,Wyoming,0.032,0.573,0.301,0.0,0.094
65-103,F,Alabama,0.064,0.335,0.529,0.0,0.071
65-103,F,Alaska,0.208,0.298,0.423,0.0,0.071
65-103,F,Arizona,0.208,0.298,0.423,0.0,0.071
65-103,F,Arkansas,0.064,0.335,0.529,0.0,0.071
65-103,F,California,0.208,0.298,0.423,0.0,0.071
65-103,F,Colorado,0.208,0.298,0.423,0.0,0.071
65-103,F,Connecticut,0.112,0.121,0.496,0.0,0.271
65-103,F,Delaware,0.064,0.335,0.529,0.0,0.071
65-103,F,District of Columbia,0.064,0.335,0.529,0.0,0.071
65-103,F,Florida,0.064,0.335,0.529,0.0,0.071
65-103,F,Georgia,0.064,0.335,0.529,0.0,0.071
65-103,F,Hawaii,0.208,0.298,0.423,0.0,0.071
65-103,F,Idaho,0.208,0.298,0.423,0.0,0.071
65-103,F,Illinois,0.033,0.322,0.501,0.043,0.101
65-103,F,Indiana,0.033,0.322,0.501,0.043,0.101
65-103,F,Iowa,0.033,0.322,0.501,0.043,0.101
65-103,F,Kansas,0.033,0.322,0.501,0.043,0.101
65-103,F,Kentucky,0.064,0.335,0.529,0.0,0.071
65-103,F,Louisiana,0.064,0.335,0.529,0.0,0.071
65-103,F,Maine,0.112,0.121,0.496,0.0,0.271
65-103,F,Maryland,0.064,0.335,0.529,0.0,0.071
65-103,F,Massachusetts,0.112,0.121,0.496,0.0,0.271
65-103,F,Michigan,0.033,0.322,0.501,0.043,0.101
65-103,F,Minnesota,0.033,0.322,0.501,0.043,0.101
65-103,F,Mississippi,0.064,0.335,0.529,0.0,0.071
65-103,F,Missouri,0.033,0.322,0.501,0.043,0.101
65-103,F,Montana,0.208,0.298,0.423,0.0,0.071
65-103,F,Nebraska,0.033,0.322,0.501,0.043,0.101
65-103,F,Nevada,0.208,0.298,0.423,0.0,0.071
65-103,F,New Hampshire,0.112,0.121,0.496,0.0,0.271
65-103,F,New Jersey,0.112,0.121,0.496,0.0,0.271
65-103,F,New Mexico,0.208,0.298,0.423,0.0,0.071
65-103,F,New York,0.112,0.121,0.496,0.0,0.271
65-103,F,North Carolina,0.064,0.335,0.529,0.0,0.071
65-103,F,North Dakota,0.033,0.322,0.501,0.043,0.101
65-103,F,Ohio,0.033,0.322,0.501,0.043,0.101
65-103,F,Oklahoma,0.064,0.335,0.529,0.0,0.071
65-103,F,Oregon,0.208,0.298,0.423,0.0,0.071
65-103,F,Pennsylvania,0.112,0.121,0.496,0.0,0.271
65-103,F,Rhode Island,0.112,0.121,0.496,0.0,0.271
65-103,F,South Carolina,0.064,0.335,0.529,0.0,0.071
65-103,F,South Dakota,0.033,0.322,0.501,0.043,0.101
65-103,F,Tennessee,0.064,0.335,0.529,0.0,0.071
65-103,F,Texas,0.064,0.335,0.529,0.0,0.071
65-103,F,Utah,0.208,0.298,0.423,0.0,0.071
65-103,F,Vermont,0.112,0.121,0.496,0.0,0.271
65-103,F,Virginia,0.064,0.335,0.529,0.0,0.071
65-103,F,Washington,0.208,0.298,0.423,0.0,0.071
65-103,F,West Virginia,0.064,0.335,0.529,0.0,0.071
65-103,F,Wisconsin,0.033,0.322,0.501,0.043,0.101
65-103,F,Wyoming,0.208,0.298,0.423,0.0,0.071
65-103,M,Alabama,0.046,0.32,0.558,0.0,0.076
65-103,M,Alaska,0.043,0.178,0.333,0.0,0.446
65-103,M,Arizona,0.043,0.178,0.333,0.0,0.446
65-103,M,Arkansas,0.046,0.32,0.558,0.0,0.076
65-103,M,California,0.043,0.178,0.333,0.0,0.446
65-103,M,Colorado,0.043,0.178,0.333,0.0,0.446
65-103,M,Connecticut,0.04,0.398,0.549,0.0,0.013
65-103,M,Delaware,0.046,0.32,0.558,0.0,0.076
65-103,M,District of Columbia,0.046,0.32,0.558,0.0,0.076
65-103,M,Florida,0.046,0.32,0.558,0.0,0.076
65-103,M,Georgia,0.046,0.32,0.558,0.0,0.076
65-103,M,Hawaii,0.043,0.178,0.333,0.0,0.446
65-103,M,Idaho,0.043,0.178,0.333,0.0,0.446
65-103,M,Illinois,0.016,0.163,0.602,0.0,0.219
65-103,M,Indiana,0.016,0.163,0.602,0.0,0.219
65-103,M,Iowa,0.016,0.163,0.602,0.0,0.219
65-103,M,Kansas,0.016,0.163,0.602,0.0,0.219
65-103,M,Kentucky,0.046,0.32,0.558,0.0,0.076
65-103,M,Louisiana,0.046,0.32,0.558,0.0,0.076
65-103,M,Maine,0.04,0.398,0.549,0.0,0.013
65-103,M,Maryland,0.046,0.32,0.558,0.0,0.076
65-103,M,Massachusetts,0.04,0.398,0.549,0.0,0.013
65-103,M,Michigan,0.016,0.163,0.602,0.0,0.219
65-103,M,Minnesota,0.016,0.163,0.602,0.0,0.219
65-103,M,Mississippi,0.046,0.32,0.558,0.0,0.076
65-103,M,Missouri,0.016,0.163,0.602,0.0,0.219
65-103,M,Montana,0.043,0.178,0.333,0.0,0.446
65-103,M,Nebraska,0.016,0.163,0.602,0.0,0.219
65-103,M,Nevada,0.043,0.178,0.333,0.0,0.446
65-103,M,New Hampshire,0.04,0.398,0.549,0.0,0.013
65-103,M,New Jersey,0.04,0.398,0.549,0.0,0.013
65-103,M,New Mexico,0.043,0.178,0.333,0.0,0.446
65-103,M,New York,0.04,0.398,0.549,0.0,0.013
65-103,M,North Carolina,0.046,0.32,0.558,0.0,0.076
65-103,M,North Dakota,0.016,0.163,0.602,0.0,0.219
65-103,M,Ohio,0.016,0.163,0.602,0.0,0.219
65-103,M,Oklahoma,0.046,0.32,0.558,0.0,0.076
65-103,M,Oregon,0.043,0.178,0.333,0.0,0.446
65-103,M,Pennsylvania,0.04,0.398,0.549,0.0,0.013
65-103,M,Rhode Island,0.04,0.398,0.549,0.0,0.013
65-103,M,South Carolina,0.046,0.32,0.558,0.0,0.076
65-103,M,South Dakota,0.016,0.163,0.602,0.0,0.219
65-103,M,Tennessee,0.046,0.32,0.558,0.0,0.076
65-103,M,Texas,0.046,0.32,0.558,0.0,0.076
65-103,M,Utah,0.043,0.178,0.333,0.0,0.446
65-103,M,Vermont,0.04,0.398,0.549,0.0,0.013
65-103,M,Virginia,0.046,0.32,0.558,0.0,0.076
65-103,M,Washington,0.043,0.178,0.333,0.0,0.446
65-103,M,West Virginia,0.046,0.32,0.558,0.0,0.076
65-103,M,Wisconsin,0.016,0.163,0.602,0.0,0.219
65-103,M,Wyoming,0.043,0.178,0.333,0.0,0.446
