age,gender,state,Prescribe_Valsartan_160_Mg_Oral_Tablet,Prescribe_Valsartan_320_Mg_Oral_Tablet,Prescribe_Valsartan_320_Mg_Oral_Tablet_Diovan,Prescribe_Valsartan_40_Mg_Oral_Tablet,Prescribe_Valsartan_80_Mg_Oral_Tablet
46-65,F,Kansas,0.498,0.347,0.0,0.0,0.155
46-65,F,Kentucky,0.513,0.212,0.0,0.0,0.275
46-65,F,Louisiana,0.513,0.212,0.0,0.0,0.275
46-65,F,Maine,0.593,0.184,0.0,0.128,0.095
46-65,F,Maryland,0.513,0.212,0.0,0.0,0.275
46-65,F,Massachusetts,0.593,0.184,0.0,0.128,0.095
46-65,F,Michigan,0.498,0.347,0.0,0.0,0.155
46-65,F,Minnesota,0.498,0.347,0.0,0.0,0.155
46-65,F,Mississippi,0.513,0.212,0.0,0.0,0.275
46-65,F,Missouri,0.498,0.347,0.0,0.0,0.155
46-65,F,Montana,0.0,0.144,0.0,0.0,0.856
46-65,F,Nebraska,0.498,0.347,0.0,0.0,0.155
46-65,F,Nevada,0.0,0.144,0.0,0.0,0.856
46-65,F,New Hampshire,0.593,0.184,0.0,0.128,0.095
46-65,F,New Jersey,0.593,0.184,0.0,0.128,0.095
46-65,F,New Mexico,0.0,0.144,0.0,0.0,0.856
46-65,F,New York,0.593,0.184,0.0,0.128,0.095
46-65,F,North Carolina,0.513,0.212,0.0,0.0,0.275
46-65,F,North Dakota,0.498,0.347,0.0,0.0,0.155
46-65,F,Ohio,0.498,0.347,0.0,0.0,0.155
46-65,F,Oklahoma,0.513,0.212,0.0,0.0,0.275
46-65,F,Oregon,0.0,0.144,0.0,0.0,0.856
46-65,F,Pennsylvania,0.593,0.184,0.0,0.128,0.095
46-65,F,Rhode Island,0.593,0.184,0.0,0.128,0.095
46-65,F,South Carolina,0.513,0.212,0.0,0.0,0.275
46-65,F,South Dakota,0.498,0.347,0.0,0.0,0.155
46-65,F,Tennessee,0.513,0.212,0.0,0.0,0.275
46-65,F,Texas,0.513,0.212,0.0,0.0,0.275
46-65,F,Utah,0.0,0.144,0.0,0.0,0.856
46-65,F,Vermont,0.593,0.184,0.0,0.128,0.095
46-65,F,Virginia,0.513,0.212,0.0,0.0,0.275
46-65,F,Washington,0.0,0.144,0.0,0.0,0.856
46-65,F,West Virginia,0.513,0.212,0.0,0.0,0.275
46-65,F,Wisconsin,0.498,0.347,0.0,0.0,0.155
46-65,F,Wyoming,0.0,0.144,0.0,0.0,0.856
46-65,M,Alabama,0.289,0.259,0.0,0.074,0.378
46-65,M,Alaska,1.0,0.0,0.0,0.0,0.0
46-65,M,Arizona,1.0,0.0,0.0,0.0,0.0
46-65,M,Arkansas,0.289,0.259,0.0,0.074,0.378
46-65,M,California,1.0,0.0,0.0,0.0,0.0
46-65,M,Colorado,1.0,0.0,0.0,0.0,0.0
46-65,M,Connecticut,0.0,0.643,0.0,0.0,0.357
46-65,M,Delaware,0.289,0.259,0.0,0.074,0.378
46-65,M,District of Columbia,0.289,0.259,0.0,0.074,0.378
46-65,M,Florida,0.289,0.259,0.0,0.074,0.378
46-65,M,Georgia,0.289,0.259,0.0,0.074,0.378
46-65,M,Hawaii,1.0,0.0,0.0,0.0,0.0
46-65,M,Idaho,1.0,0.0,0.0,0.0,0.0
46-65,M,Illinois,0.381,0.227,0.128,0.0,0.264
46-65,M,Indiana,0.381,0.227,0.128,0.0,0.264
46-65,M,Iowa,0.381,0.227,0.128,0.0,0.264
46-65,M,Kansas,0.381,0.227,0.128,0.0,0.264
46-65,M,Kentucky,0.289,0.259,0.0,0.074,0.378
46-65,M,Louisiana,0.289,0.259,0.0,0.074,0.378
46-65,M,Maine,0.0,0.643,0.0,0.0,0.357
46-65,M,Maryland,0.289,0.259,0.0,0.074,0.378
46-65,M,Massachusetts,0.0,0.643,0.0,0.0,0.357
46-65,M,Michigan,0.381,0.227,0.128,0.0,0.264
46-65,M,Minnesota,0.381,0.227,0.128,0.0,0.264
46-65,M,Mississippi,0.289,0.259,0.0,0.074,0.378
46-65,M,Missouri,0.381,0.227,0.128,0.0,0.264
46-65,M,Montana,1.0,0.0,0.0,0.0,0.0
46-65,M,Nebraska,0.381,0.227,0.128,0.0,0.264
46-65,M,Nevada,1.0,0.0,0.0,0.0,0.0
46-65,M,New Hampshire,0.0,0.643,0.0,0.0,0.357
46-65,M,New Jersey,0.0,0.643,0.0,0.0,0.357
46-65,M,New Mexico,1.0,0.0,0.0,0.0,0.0
46-65,M,New York,0.0,0.643,0.0,0.0,0.357
46-65,M,North Carolina,0.289,0.259,0.0,0.074,0.378
46-65,M,North Dakota,0.381,0.227,0.128,0.0,0.264
46-65,M,Ohio,0.381,0.227,0.128,0.0,0.264
46-65,M,Oklahoma,0.289,0.259,0.0,0.074,0.378
46-65,M,Oregon,1.0,0.0,0.0,0.0,0.0
46-65,M,Pennsylvania,0.0,0.643,0.0,0.0,0.357
46-65,M,Rhode Island,0.0,0.643,0.0,0.0,0.357
46-65,M,South Carolina,0.289,0.259,0.0,0.074,0.378
46-65,M,South Dakota,0.381,0.227,0.128,0.0,0.264
46-65,M,Tennessee,0.289,0.259,0.0,0.074,0.378
46-65,M,Texas,0.289,0.259,0.0,0.074,0.378
46-65,M,Utah,1.0,0.0,0.0,0.0,0.0
46-65,M,Vermont,0.0,0.643,0.0,0.0,0.357
46-65,M,Virginia,0.289,0.259,0.0,0.074,0.378
46-65,M,Washington,1.0,0.0,0.0,0.0,0.0
46-65,M,West Virginia,0.289,0.259,0.0,0.074,0.378
46-65,M,Wisconsin,0.381,0.227,0.128,0.0,0.264
46-65,M,Wyoming,1.0,0.0,0.0,0.0,0.0
65-103,F,Alabama,0.436,0.48,0.0,0.0,0.084
65-103,F,Alaska,0.072,0.368,0.0,0.0,0.561
65-103,F,Arizona,0.072,0.368,0.0,0.0,0.561
65-103,F,Arkansas,0.436,0.48,0.0,0.0,0.084
65-103,F,California,0.072,0.368,0.0,0.0,0.561
65-103,F,Colorado,0.072,0.368,0.0,0.0,0.561
65-103,F,Connecticut,0.302,0.346,0.0,0.027,0.325
65-103,F,Delaware,0.436,0.48,0.0,0.0,0.084
65-103,F,District of Columbia,0.436,0.48,0.0,0.0,0.084
65-103,F,Florida,0.436,0.48,0.0,0.0,0.084
65-103,F,Georgia,0.436,0.48,0.0,0.0,0.084
65-103,F,Hawaii,0.072,0.368,0.0,0.0,0.561
65-103,F,Idaho,0.072,0.368,0.0,0.0,0.561
65-103,F,Illinois,0.278,0.181,0.038,0.066,0.437
65-103,F,Indiana,0.278,0.181,0.038,0.066,0.437
65-103,F,Iowa,0.278,0.181,0.038,0.066,0.437
65-103,F,Kansas,0.278,0.181,0.038,0.066,0.437
65-103,F,Kentucky,0.436,0.48,0.0,0.0,0.084
65-103,F,Louisiana,0.436,0.48,0.0,0.0,0.084
65-103,F,Maine,0.302,0.346,0.0,0.027,0.325
65-103,F,Maryland,0.436,0.48,0.0,0.0,0.084
65-103,F,Massachusetts,0.302,0.346,0.0,0.027,0.325
65-103,F,Michigan,0.278,0.181,0.038,0.066,0.437
65-103,F,Minnesota,0.278,0.181,0.038,0.066,0.437
65-103,F,Mississippi,0.436,0.48,0.0,0.0,0.084
65-103,F,Missouri,0.278,0.181,0.038,0.066,0.437
65-103,F,Montana,0.072,0.368,0.0,0.0,0.561
65-103,F,Nebraska,0.278,0.181,0.038,0.066,0.437
65-103,F,Nevada,0.072,0.368,0.0,0.0,0.561
65-103,F,New Hampshire,0.302,0.346,0.0,0.027,0.325
65-103,F,New Jersey,0.302,0.346,0.0,0.027,0.325
65-103,F,New Mexico,0.072,0.368,0.0,0.0,0.561
65-103,F,New York,0.302,0.346,0.0,0.027,0.325
65-103,F,North Carolina,0.436,0.48,0.0,0.0,0.084
65-103,F,North Dakota,0.278,0.181,0.038,0.066,0.437
65-103,F,Ohio,0.278,0.181,0.038,0.066,0.437
65-103,F,Oklahoma,0.436,0.48,0.0,0.0,0.084
65-103,F,Oregon,0.072,0.368,0.0,0.0,0.561
65-103,F,Pennsylvania,0.302,0.346,0.0,0.027,0.325
65-103,F,Rhode Island,0.302,0.346,0.0,0.027,0.325
65-103,F,South Carolina,0.436,0.48,0.0,0.0,0.084
65-103,F,South Dakota,0.278,0.181,0.038,0.066,0.437
65-103,F,Tennessee,0.436,0.48,0.0,0.0,0.084
65-103,F,Texas,0.436,0.48,0.0,0.0,0.084
65-103,F,Utah,0.072,0.368,0.0,0.0,0.561
65-103,F,Vermont,0.302,0.346,0.0,0.027,0.325
65-103,F,Virginia,0.436,0.48,0.0,0.0,0.084
65-103,F,Washington,0.072,0.368,0.0,0.0,0.561
65-103,F,West Virginia,0.436,0.48,0.0,0.0,0.084
65-103,F,Wisconsin,0.278,0.181,0.038,0.066,0.437
65-103,F,Wyoming,0.072,0.368,0.0,0.0,0.561
65-103,M,Alabama,0.41,0.429,0.0,0.0,0.161
65-103,M,Alaska,0.237,0.338,0.0,0.0,0.425
65-103,M,Arizona,0.237,0.338,0.0,0.0,0.425
65-103,M,Arkansas,0.41,0.429,0.0,0.0,0.161
65-103,M,California,0.237,0.338,0.0,0.0,0.425
65-103,M,Colorado,0.237,0.338,0.0,0.0,0.425
65-103,M,Connecticut,0.604,0.15,0.0,0.051,0.195
65-103,M,Delaware,0.41,0.429,0.0,0.0,0.161
65-103,M,District of Columbia,0.41,0.429,0.0,0.0,0.161
65-103,M,Florida,0.41,0.429,0.0,0.0,0.161
65-103,M,Georgia,0.41,0.429,0.0,0.0,0.161
65-103,M,Hawaii,0.237,0.338,0.0,0.0,0.425
65-103,M,Idaho,0.237,0.338,0.0,0.0,0.425
65-103,M,Illinois,0.278,0.221,0.139,0.046,0.316
65-103,M,Indiana,0.278,0.221,0.139,0.046,0.316
65-103,M,Iowa,0.278,0.221,0.139,0.046,0.316
65-103,M,Kansas,0.278,0.221,0.139,0.046,0.316
65-103,M,Kentucky,0.41,0.429,0.0,0.0,0.161
65-103,M,Louisiana,0.41,0.429,0.0,0.0,0.161
65-103,M,Maine,0.604,0.15,0.0,0.051,0.195
65-103,M,Maryland,0.41,0.429,0.0,0.0,0.161
65-103,M,Massachusetts,0.604,0.15,0.0,0.051,0.195
65-103,M,Michigan,0.278,0.221,0.139,0.046,0.316
65-103,M,Minnesota,0.278,0.221,0.139,0.046,0.316
65-103,M,Mississippi,0.41,0.429,0.0,0.0,0.161
65-103,M,Missouri,0.278,0.221,0.139,0.046,0.316
65-103,M,Montana,0.237,0.338,0.0,0.0,0.425
65-103,M,Nebraska,0.278,0.221,0.139,0.046,0.316
65-103,M,Nevada,0.237,0.338,0.0,0.0,0.425
65-103,M,New Hampshire,0.604,0.15,0.0,0.051,0.195
65-103,M,New Jersey,0.604,0.15,0.0,0.051,0.195
65-103,M,New Mexico,0.237,0.338,0.0,0.0,0.425
65-103,M,New York,0.604,0.15,0.0,0.051,0.195
65-103,M,North Carolina,0.41,0.429,0.0,0.0,0.161
65-103,M,North Dakota,0.278,0.221,0.139,0.046,0.316
65-103,M,Ohio,0.278,0.221,0.139,0.046,0.316
65-103,M,Oklahoma,0.41,0.429,0.0,0.0,0.161
65-103,M,Oregon,0.237,0.338,0.0,0.0,0.425
65-103,M,Pennsylvania,0.604,0.15,0.0,0.051,0.195
65-103,M,Rhode Island,0.604,0.15,0.0,0.051,0.195
65-103,M,South Carolina,0.41,0.429,0.0,0.0,0.161
65-103,M,South Dakota,0.278,0.221,0.139,0.046,0.316
65-103,M,Tennessee,0.41,0.429,0.0,0.0,0.161
65-103,M,Texas,0.41,0.429,0.0,0.0,0.161
65-103,M,Utah,0.237,0.338,0.0,0.0,0.425
65-103,M,Vermont,0.604,0.15,0.0,0.051,0.195
65-103,M,Virginia,0.41,0.429,0.0,0.0,0.161
65-103,M,Washington,0.237,0.338,0.0,0.0,0.425
65-103,M,West Virginia,0.41,0.429,0.0,0.0,0.161
65-103,M,Wisconsin,0.278,0.221,0.139,0.046,0.316
65-103,M,Wyoming,0.237,0.338,0.0,0.0,0.425
