age,gender,state,Prescribe_Simvastatin_10_Mg_Oral_Tablet,Prescribe_Simvastatin_20_Mg_Oral_Tablet,Prescribe_Simvastatin_40_Mg_Oral_Tablet,Prescribe_Simvastatin_5_Mg_Oral_Tablet,Prescribe_Simvastatin_80_Mg_Oral_Tablet
26-35,M,Virginia,0.0,1.0,0.0,0.0,0.0
26-35,M,West Virginia,0.0,1.0,0.0,0.0,0.0
36-45,F,Alabama,0.239,0.761,0.0,0.0,0.0
36-45,F,Alaska,0.637,0.252,0.112,0.0,0.0
36-45,F,Arizona,0.637,0.252,0.112,0.0,0.0
36-45,F,Arkansas,0.239,0.761,0.0,0.0,0.0
36-45,F,California,0.637,0.252,0.112,0.0,0.0
36-45,F,Colorado,0.637,0.252,0.112,0.0,0.0
36-45,F,Connecticut,1.0,0.0,0.0,0.0,0.0
36-45,F,Delaware,0.239,0.761,0.0,0.0,0.0
36-45,F,District of Columbia,0.239,0.761,0.0,0.0,0.0
36-45,F,Florida,0.239,0.761,0.0,0.0,0.0
36-45,F,Georgia,0.239,0.761,0.0,0.0,0.0
36-45,F,Hawaii,0.637,0.252,0.112,0.0,0.0
36-45,F,Idaho,0.637,0.252,0.112,0.0,0.0
36-45,F,Illinois,0.0,0.833,0.167,0.0,0.0
36-45,F,Indiana,0.0,0.833,0.167,0.0,0.0
36-45,F,Iowa,0.0,0.833,0.167,0.0,0.0
36-45,F,Kansas,0.0,0.833,0.167,0.0,0.0
36-45,F,Kentucky,0.239,0.761,0.0,0.0,0.0
36-45,F,Louisiana,0.239,0.761,0.0,0.0,0.0
36-45,F,Maine,1.0,0.0,0.0,0.0,0.0
36-45,F,Maryland,0.239,0.761,0.0,0.0,0.0
36-45,F,Massachusetts,1.0,0.0,0.0,0.0,0.0
36-45,F,Michigan,0.0,0.833,0.167,0.0,0.0
36-45,F,Minnesota,0.0,0.833,0.167,0.0,0.0
36-45,F,Mississippi,0.239,0.761,0.0,0.0,0.0
36-45,F,Missouri,0.0,0.833,0.167,0.0,0.0
36-45,F,Montana,0.637,0.252,0.112,0.0,0.0
36-45,F,Nebraska,0.0,0.833,0.167,0.0,0.0
36-45,F,Nevada,0.637,0.252,0.112,0.0,0.0
36-45,F,New Hampshire,1.0,0.0,0.0,0.0,0.0
36-45,F,New Jersey,1.0,0.0,0.0,0.0,0.0
36-45,F,New Mexico,0.637,0.252,0.112,0.0,0.0
36-45,F,New York,1.0,0.0,0.0,0.0,0.0
36-45,F,North Carolina,0.239,0.761,0.0,0.0,0.0
36-45,F,North Dakota,0.0,0.833,0.167,0.0,0.0
36-45,F,Ohio,0.0,0.833,0.167,0.0,0.0
36-45,F,Oklahoma,0.239,0.761,0.0,0.0,0.0
36-45,F,Oregon,0.637,0.252,0.112,0.0,0.0
36-45,F,Pennsylvania,1.0,0.0,0.0,0.0,0.0
36-45,F,Rhode Island,1.0,0.0,0.0,0.0,0.0
36-45,F,South Carolina,0.239,0.761,0.0,0.0,0.0
36-45,F,South Dakota,0.0,0.833,0.167,0.0,0.0
36-45,F,Tennessee,0.239,0.761,0.0,0.0,0.0
36-45,F,Texas,0.239,0.761,0.0,0.0,0.0
36-45,F,Utah,0.637,0.252,0.112,0.0,0.0
36-45,F,Vermont,1.0,0.0,0.0,0.0,0.0
36-45,F,Virginia,0.239,0.761,0.0,0.0,0.0
36-45,F,Washington,0.637,0.252,0.112,0.0,0.0
36-45,F,West Virginia,0.239,0.761,0.0,0.0,0.0
36-45,F,Wisconsin,0.0,0.833,0.167,0.0,0.0
36-45,F,Wyoming,0.637,0.252,0.112,0.0,0.0
36-45,M,Alabama,0.597,0.297,0.106,0.0,0.0
36-45,M,Alaska,0.359,0.378,0.263,0.0,0.0
36-45,M,Arizona,0.359,0.378,0.263,0.0,0.0
36-45,M,Arkansas,0.597,0.297,0.106,0.0,0.0
36-45,M,California,0.359,0.378,0.263,0.0,0.0
36-45,M,Colorado,0.359,0.378,0.263,0.0,0.0
36-45,M,Connecticut,0.0,0.214,0.786,0.0,0.0
36-45,M,Delaware,0.597,0.297,0.106,0.0,0.0
36-45,M,District of Columbia,0.597,0.297,0.106,0.0,0.0
36-45,M,Florida,0.597,0.297,0.106,0.0,0.0
36-45,M,Georgia,0.597,0.297,0.106,0.0,0.0
36-45,M,Hawaii,0.359,0.378,0.263,0.0,0.0
36-45,M,Idaho,0.359,0.378,0.263,0.0,0.0
36-45,M,Illinois,0.0,0.714,0.152,0.134,0.0
36-45,M,Indiana,0.0,0.714,0.152,0.134,0.0
36-45,M,Iowa,0.0,0.714,0.152,0.134,0.0
36-45,M,Kansas,0.0,0.714,0.152,0.134,0.0
36-45,M,Kentucky,0.597,0.297,0.106,0.0,0.0
36-45,M,Louisiana,0.597,0.297,0.106,0.0,0.0
36-45,M,Maine,0.0,0.214,0.786,0.0,0.0
36-45,M,Maryland,0.597,0.297,0.106,0.0,0.0
36-45,M,Massachusetts,0.0,0.214,0.786,0.0,0.0
36-45,M,Michigan,0.0,0.714,0.152,0.134,0.0
36-45,M,Minnesota,0.0,0.714,0.152,0.134,0.0
36-45,M,Mississippi,0.597,0.297,0.106,0.0,0.0
36-45,M,Missouri,0.0,0.714,0.152,0.134,0.0
36-45,M,Montana,0.359,0.378,0.263,0.0,0.0
36-45,M,Nebraska,0.0,0.714,0.152,0.134,0.0
36-45,M,Nevada,0.359,0.378,0.263,0.0,0.0
36-45,M,New Hampshire,0.0,0.214,0.786,0.0,0.0
36-45,M,New Jersey,0.0,0.214,0.786,0.0,0.0
36-45,M,New Mexico,0.359,0.378,0.263,0.0,0.0
36-45,M,New York,0.0,0.214,0.786,0.0,0.0
36-45,M,North Carolina,0.597,0.297,0.106,0.0,0.0
36-45,M,North Dakota,0.0,0.714,0.152,0.134,0.0
36-45,M,Ohio,0.0,0.714,0.152,0.134,0.0
36-45,M,Oklahoma,0.597,0.297,0.106,0.0,0.0
36-45,M,Oregon,0.359,0.378,0.263,0.0,0.0
36-45,M,Pennsylvania,0.0,0.214,0.786,0.0,0.0
36-45,M,Rhode Island,0.0,0.214,0.786,0.0,0.0
36-45,M,South Carolina,0.597,0.297,0.106,0.0,0.0
36-45,M,South Dakota,0.0,0.714,0.152,0.134,0.0
36-45,M,Tennessee,0.597,0.297,0.106,0.0,0.0
36-45,M,Texas,0.597,0.297,0.106,0.0,0.0
36-45,M,Utah,0.359,0.378,0.263,0.0,0.0
36-45,M,Vermont,0.0,0.214,0.786,0.0,0.0
36-45,M,Virginia,0.597,0.297,0.106,0.0,0.0
36-45,M,Washington,0.359,0.378,0.263,0.0,0.0
36-45,M,West Virginia,0.597,0.297,0.106,0.0,0.0
36-45,M,Wisconsin,0.0,0.714,0.152,0.134,0.0
36-45,M,Wyoming,0.359,0.378,0.263,0.0,0.0
46-65,F,Alabama,0.186,0.413,0.333,0.0,0.068
46-65,F,Alaska,0.085,0.483,0.407,0.0,0.026
46-65,F,Arizona,0.085,0.483,0.407,0.0,0.026
46-65,F,Arkansas,0.186,0.413,0.333,0.0,0.068
46-65,F,California,0.085,0.483,0.407,0.0,0.026
46-65,F,Colorado,0.085,0.483,0.407,0.0,0.026
46-65,F,Connecticut,0.122,0.369,0.509,0.0,0.0
46-65,F,Delaware,0.186,0.413,0.333,0.0,0.068
46-65,F,District of Columbia,0.186,0.413,0.333,0.0,0.068
46-65,F,Florida,0.186,0.413,0.333,0.0,0.068
46-65,F,Georgia,0.186,0.413,0.333,0.0,0.068
46-65,F,Hawaii,0.085,0.483,0.407,0.0,0.026
46-65,F,Idaho,0.085,0.483,0.407,0.0,0.026
46-65,F,Illinois,0.087,0.592,0.321,0.0,0.0
46-65,F,Indiana,0.087,0.592,0.321,0.0,0.0
46-65,F,Iowa,0.087,0.592,0.321,0.0,0.0
46-65,F,Kansas,0.087,0.592,0.321,0.0,0.0
46-65,F,Kentucky,0.186,0.413,0.333,0.0,0.068
46-65,F,Louisiana,0.186,0.413,0.333,0.0,0.068
46-65,F,Maine,0.122,0.369,0.509,0.0,0.0
46-65,F,Maryland,0.186,0.413,0.333,0.0,0.068
46-65,F,Massachusetts,0.122,0.369,0.509,0.0,0.0
46-65,F,Michigan,0.087,0.592,0.321,0.0,0.0
46-65,F,Minnesota,0.087,0.592,0.321,0.0,0.0
46-65,F,Mississippi,0.186,0.413,0.333,0.0,0.068
46-65,F,Missouri,0.087,0.592,0.321,0.0,0.0
46-65,F,Montana,0.085,0.483,0.407,0.0,0.026
46-65,F,Nebraska,0.087,0.592,0.321,0.0,0.0
46-65,F,Nevada,0.085,0.483,0.407,0.0,0.026
46-65,F,New Hampshire,0.122,0.369,0.509,0.0,0.0
46-65,F,New Jersey,0.122,0.369,0.509,0.0,0.0
46-65,F,New Mexico,0.085,0.483,0.407,0.0,0.026
46-65,F,New York,0.122,0.369,0.509,0.0,0.0
46-65,F,North Carolina,0.186,0.413,0.333,0.0,0.068
46-65,F,North Dakota,0.087,0.592,0.321,0.0,0.0
46-65,F,Ohio,0.087,0.592,0.321,0.0,0.0
46-65,F,Oklahoma,0.186,0.413,0.333,0.0,0.068
46-65,F,Oregon,0.085,0.483,0.407,0.0,0.026
46-65,F,Pennsylvania,0.122,0.369,0.509,0.0,0.0
46-65,F,Rhode Island,0.122,0.369,0.509,0.0,0.0
46-65,F,South Carolina,0.186,0.413,0.333,0.0,0.068
46-65,F,South Dakota,0.087,0.592,0.321,0.0,0.0
46-65,F,Tennessee,0.186,0.413,0.333,0.0,0.068
46-65,F,Texas,0.186,0.413,0.333,0.0,0.068
46-65,F,Utah,0.085,0.483,0.407,0.0,0.026
46-65,F,Vermont,0.122,0.369,0.509,0.0,0.0
46-65,F,Virginia,0.186,0.413,0.333,0.0,0.068
46-65,F,Washington,0.085,0.483,0.407,0.0,0.026
46-65,F,West Virginia,0.186,0.413,0.333,0.0,0.068
46-65,F,Wisconsin,0.087,0.592,0.321,0.0,0.0
46-65,F,Wyoming,0.085,0.483,0.407,0.0,0.026
46-65,M,Alabama,0.136,0.449,0.382,0.0,0.034
46-65,M,Alaska,0.209,0.301,0.489,0.0,0.0
46-65,M,Arizona,0.209,0.301,0.489,0.0,0.0
46-65,M,Arkansas,0.136,0.449,0.382,0.0,0.034
46-65,M,California,0.209,0.301,0.489,0.0,0.0
46-65,M,Colorado,0.209,0.301,0.489,0.0,0.0
46-65,M,Connecticut,0.03,0.642,0.328,0.0,0.0
46-65,M,Delaware,0.136,0.449,0.382,0.0,0.034
46-65,M,District of Columbia,0.136,0.449,0.382,0.0,0.034
46-65,M,Florida,0.136,0.449,0.382,0.0,0.034
46-65,M,Georgia,0.136,0.449,0.382,0.0,0.034
46-65,M,Hawaii,0.209,0.301,0.489,0.0,0.0
46-65,M,Idaho,0.209,0.301,0.489,0.0,0.0
46-65,M,Illinois,0.201,0.409,0.353,0.037,0.0
46-65,M,Indiana,0.201,0.409,0.353,0.037,0.0
46-65,M,Iowa,0.201,0.409,0.353,0.037,0.0
46-65,M,Kansas,0.201,0.409,0.353,0.037,0.0
46-65,M,Kentucky,0.136,0.449,0.382,0.0,0.034
46-65,M,Louisiana,0.136,0.449,0.382,0.0,0.034
46-65,M,Maine,0.03,0.642,0.328,0.0,0.0
46-65,M,Maryland,0.136,0.449,0.382,0.0,0.034
46-65,M,Massachusetts,0.03,0.642,0.328,0.0,0.0
46-65,M,Michigan,0.201,0.409,0.353,0.037,0.0
46-65,M,Minnesota,0.201,0.409,0.353,0.037,0.0
46-65,M,Mississippi,0.136,0.449,0.382,0.0,0.034
46-65,M,Missouri,0.201,0.409,0.353,0.037,0.0
46-65,M,Montana,0.209,0.301,0.489,0.0,0.0
46-65,M,Nebraska,0.201,0.409,0.353,0.037,0.0
46-65,M,Nevada,0.209,0.301,0.489,0.0,0.0
46-65,M,New Hampshire,0.03,0.642,0.328,0.0,0.0
46-65,M,New Jersey,0.03,0.642,0.328,0.0,0.0
46-65,M,New Mexico,0.209,0.301,0.489,0.0,0.0
46-65,M,New York,0.03,0.642,0.328,0.0,0.0
46-65,M,North Carolina,0.136,0.449,0.382,0.0,0.034
46-65,M,North Dakota,0.201,0.409,0.353,0.037,0.0
46-65,M,Ohio,0.201,0.409,0.353,0.037,0.0
46-65,M,Oklahoma,0.136,0.449,0.382,0.0,0.034
46-65,M,Oregon,0.209,0.301,0.489,0.0,0.0
46-65,M,Pennsylvania,0.03,0.642,0.328,0.0,0.0
46-65,M,Rhode Island,0.03,0.642,0.328,0.0,0.0
46-65,M,South Carolina,0.136,0.449,0.382,0.0,0.034
46-65,M,South Dakota,0.201,0.409,0.353,0.037,0.0
46-65,M,Tennessee,0.136,0.449,0.382,0.0,0.034
46-65,M,Texas,0.136,0.449,0.382,0.0,0.034
46-65,M,Utah,0.209,0.301,0.489,0.0,0.0
46-65,M,Vermont,0.03,0.642,0.328,0.0,0.0
46-65,M,Virginia,0.136,0.449,0.382,0.0,0.034
46-65,M,Washington,0.209,0.301,0.489,0.0,0.0
46-65,M,West Virginia,0.136,0.449,0.382,0.0,0.034
46-65,M,Wisconsin,0.201,0.409,0.353,0.037,0.0
46-65,M,Wyoming,0.209,0.301,0.489,0.0,0.0
65-103,F,Alabama,0.107,0.466,0.394,0.004,0.029
65-103,F,Alaska,0.187,0.401,0.375,0.025,0.011
65-103,F,Arizona,0.187,0.401,0.375,0.025,0.011
65-103,F,Arkansas,0.107,0.466,0.394,0.004,0.029
65-103,F,California,0.187,0.401,0.375,0.025,0.011
65-103,F,Colorado,0.187,0.401,0.375,0.025,0.011
65-103,F,Connecticut,0.255,0.293,0.355,0.031,0.066
65-103,F,Delaware,0.107,0.466,0.394,0.004,0.029
65-103,F,District of Columbia,0.107,0.466,0.394,0.004,0.029
65-103,F,Florida,0.107,0.466,0.394,0.004,0.029
65-103,F,Georgia,0.107,0.466,0.394,0.004,0.029
65-103,F,Hawaii,0.187,0.401,0.375,0.025,0.011
65-103,F,Idaho,0.187,0.401,0.375,0.025,0.011
65-103,F,Illinois,0.135,0.488,0.34,0.013,0.025
65-103,F,Indiana,0.135,0.488,0.34,0.013,0.025
65-103,F,Iowa,0.135,0.488,0.34,0.013,0.025
65-103,F,Kansas,0.135,0.488,0.34,0.013,0.025
65-103,F,Kentucky,0.107,0.466,0.394,0.004,0.029
65-103,F,Louisiana,0.107,0.466,0.394,0.004,0.029
65-103,F,Maine,0.255,0.293,0.355,0.031,0.066
65-103,F,Maryland,0.107,0.466,0.394,0.004,0.029
65-103,F,Massachusetts,0.255,0.293,0.355,0.031,0.066
65-103,F,Michigan,0.135,0.488,0.34,0.013,0.025
65-103,F,Minnesota,0.135,0.488,0.34,0.013,0.025
65-103,F,Mississippi,0.107,0.466,0.394,0.004,0.029
65-103,F,Missouri,0.135,0.488,0.34,0.013,0.025
65-103,F,Montana,0.187,0.401,0.375,0.025,0.011
65-103,F,Nebraska,0.135,0.488,0.34,0.013,0.025
65-103,F,Nevada,0.187,0.401,0.375,0.025,0.011
65-103,F,New Hampshire,0.255,0.293,0.355,0.031,0.066
65-103,F,New Jersey,0.255,0.293,0.355,0.031,0.066
65-103,F,New Mexico,0.187,0.401,0.375,0.025,0.011
65-103,F,New York,0.255,0.293,0.355,0.031,0.066
65-103,F,North Carolina,0.107,0.466,0.394,0.004,0.029
65-103,F,North Dakota,0.135,0.488,0.34,0.013,0.025
65-103,F,Ohio,0.135,0.488,0.34,0.013,0.025
65-103,F,Oklahoma,0.107,0.466,0.394,0.004,0.029
65-103,F,Oregon,0.187,0.401,0.375,0.025,0.011
65-103,F,Pennsylvania,0.255,0.293,0.355,0.031,0.066
65-103,F,Rhode Island,0.255,0.293,0.355,0.031,0.066
65-103,F,South Carolina,0.107,0.466,0.394,0.004,0.029
65-103,F,South Dakota,0.135,0.488,0.34,0.013,0.025
65-103,F,Tennessee,0.107,0.466,0.394,0.004,0.029
65-103,F,Texas,0.107,0.466,0.394,0.004,0.029
65-103,F,Utah,0.187,0.401,0.375,0.025,0.011
65-103,F,Vermont,0.255,0.293,0.355,0.031,0.066
65-103,F,Virginia,0.107,0.466,0.394,0.004,0.029
65-103,F,Washington,0.187,0.401,0.375,0.025,0.011
65-103,F,West Virginia,0.107,0.466,0.394,0.004,0.029
65-103,F,Wisconsin,0.135,0.488,0.34,0.013,0.025
65-103,F,Wyoming,0.187,0.401,0.375,0.025,0.011
65-103,M,Alabama,0.111,0.387,0.42,0.0,0.081
65-103,M,Alaska,0.17,0.347,0.448,0.018,0.017
65-103,M,Arizona,0.17,0.347,0.448,0.018,0.017
65-103,M,Arkansas,0.111,0.387,0.42,0.0,0.081
65-103,M,California,0.17,0.347,0.448,0.018,0.017
65-103,M,Colorado,0.17,0.347,0.448,0.018,0.017
65-103,M,Connecticut,0.086,0.383,0.487,0.0,0.044
65-103,M,Delaware,0.111,0.387,0.42,0.0,0.081
65-103,M,District of Columbia,0.111,0.387,0.42,0.0,0.081
65-103,M,Florida,0.111,0.387,0.42,0.0,0.081
65-103,M,Georgia,0.111,0.387,0.42,0.0,0.081
65-103,M,Hawaii,0.17,0.347,0.448,0.018,0.017
65-103,M,Idaho,0.17,0.347,0.448,0.018,0.017
65-103,M,Illinois,0.136,0.34,0.438,0.0,0.086
65-103,M,Indiana,0.136,0.34,0.438,0.0,0.086
65-103,M,Iowa,0.136,0.34,0.438,0.0,0.086
65-103,M,Kansas,0.136,0.34,0.438,0.0,0.086
65-103,M,Kentucky,0.111,0.387,0.42,0.0,0.081
65-103,M,Louisiana,0.111,0.387,0.42,0.0,0.081
65-103,M,Maine,0.086,0.383,0.487,0.0,0.044
65-103,M,Maryland,0.111,0.387,0.42,0.0,0.081
65-103,M,Massachusetts,0.086,0.383,0.487,0.0,0.044
65-103,M,Michigan,0.136,0.34,0.438,0.0,0.086
65-103,M,Minnesota,0.136,0.34,0.438,0.0,0.086
65-103,M,Mississippi,0.111,0.387,0.42,0.0,0.081
65-103,M,Missouri,0.136,0.34,0.438,0.0,0.086
65-103,M,Montana,0.17,0.347,0.448,0.018,0.017
65-103,M,Nebraska,0.136,0.34,0.438,0.0,0.086
65-103,M,Nevada,0.17,0.347,0.448,0.018,0.017
65-103,M,New Hampshire,0.086,0.383,0.487,0.0,0.044
65-103,M,New Jersey,0.086,0.383,0.487,0.0,0.044
65-103,M,New Mexico,0.17,0.347,0.448,0.018,0.017
65-103,M,New York,0.086,0.383,0.487,0.0,0.044
65-103,M,North Carolina,0.111,0.387,0.42,0.0,0.081
65-103,M,North Dakota,0.136,0.34,0.438,0.0,0.086
65-103,M,Ohio,0.136,0.34,0.438,0.0,0.086
65-103,M,Oklahoma,0.111,0.387,0.42,0.0,0.081
65-103,M,Oregon,0.17,0.347,0.448,0.018,0.017
65-103,M,Pennsylvania,0.086,0.383,0.487,0.0,0.044
65-103,M,Rhode Island,0.086,0.383,0.487,0.0,0.044
65-103,M,South Carolina,0.111,0.387,0.42,0.0,0.081
65-103,M,South Dakota,0.136,0.34,0.438,0.0,0.086
65-103,M,Tennessee,0.111,0.387,0.42,0.0,0.081
65-103,M,Texas,0.111,0.387,0.42,0.0,0.081
65-103,M,Utah,0.17,0.347,0.448,0.018,0.017
65-103,M,Vermont,0.086,0.383,0.487,0.0,0.044
65-103,M,Virginia,0.111,0.387,0.42,0.0,0.081
65-103,M,Washington,0.17,0.347,0.448,0.018,0.017
65-103,M,West Virginia,0.111,0.387,0.42,0.0,0.081
65-103,M,Wisconsin,0.136,0.34,0.438,0.0,0.086
65-103,M,Wyoming,0.17,0.347,0.448,0.018,0.017
