time,age,gender,Death,Living_with_Diagnosis_Later_Years
946684800922-978307200921,25-29,M,0.0156,0.9844
946684800922-978307200921,25-29,F,0.0228,0.9772
946684800922-978307200921,30-34,M,0.0180,0.9820
946684800922-978307200921,30-34,F,0.0239,0.9761
946684800922-978307200921,35-39,M,0.0187,0.9813
946684800922-978307200921,35-39,F,0.0251,0.9749
946684800922-978307200921,40-44,M,0.0208,0.9792
946684800922-978307200921,40-44,F,0.0282,0.9718
946684800922-978307200921,45-49,M,0.0258,0.9742
946684800922-978307200921,45-49,F,0.0325,0.9675
946684800922-978307200921,50-54,M,0.0304,0.9696
946684800922-978307200921,50-54,F,0.0342,0.9658
946684800922-978307200921,55-59,M,0.0311,0.9689
946684800922-978307200921,55-59,F,0.0387,0.9613
946684800922-978307200921,60-64,M,0.0402,0.9598
946684800922-978307200921,60-64,F,0.0429,0.9571
946684800922-978307200921,65-69,M,0.0432,0.9568
946684800922-978307200921,65-69,F,0.0469,0.9531
946684800922-978307200921,70-150,M,0.0626,0.9374
946684800922-978307200921,70-150,F,0.0637,0.9363
978307200922-1009843200921,0-12,M,0.0081,0.9919
978307200922-1009843200921,0-12,F,0.0081,0.9919
978307200922-1009843200921,13-24,M,0.0195,0.9805
978307200922-1009843200921,13-24,F,0.0269,0.9731
978307200922-1009843200921,25-34,M,0.0186,0.9814
978307200922-1009843200921,25-34,F,0.0221,0.9779
978307200922-1009843200921,35-44,M,0.0213,0.9787
978307200922-1009843200921,35-44,F,0.0283,0.9717
978307200922-1009843200921,45-54,M,0.0285,0.9715
978307200922-1009843200921,45-54,F,0.0334,0.9666
978307200922-1009843200921,55-150,M,0.0407,0.9593
978307200922-1009843200921,55-150,F,0.0482,0.9518
1009843200922-1041379200921,0-12,M,0.0064,0.9936
1009843200922-1041379200921,0-12,F,0.0064,0.9936
1009843200922-1041379200921,13-24,M,0.0120,0.9880
1009843200922-1041379200921,13-24,F,0.0159,0.9841
1009843200922-1041379200921,25-34,M,0.0172,0.9828
1009843200922-1041379200921,25-34,F,0.0219,0.9781
1009843200922-1041379200921,35-44,M,0.0215,0.9785
1009843200922-1041379200921,35-44,F,0.0279,0.9721
1009843200922-1041379200921,45-54,M,0.0303,0.9697
1009843200922-1041379200921,45-54,F,0.0364,0.9636
1009843200922-1041379200921,55-150,M,0.0426,0.9574
1009843200922-1041379200921,55-150,F,0.0458,0.9542
1041379200922-1072915200921,0-12,M,0.0048,0.9952
1041379200922-1072915200921,0-12,F,0.0048,0.9952
1041379200922-1072915200921,13-24,M,0.0124,0.9876
1041379200922-1072915200921,13-24,F,0.0149,0.9851
1041379200922-1072915200921,25-34,M,0.0164,0.9836
1041379200922-1072915200921,25-34,F,0.0195,0.9805
1041379200922-1072915200921,35-44,M,0.0201,0.9799
1041379200922-1072915200921,35-44,F,0.0263,0.9737
1041379200922-1072915200921,45-54,M,0.0274,0.9726
1041379200922-1072915200921,45-54,F,0.0317,0.9683
1041379200922-1072915200921,55-150,M,0.0413,0.9587
1041379200922-1072915200921,55-150,F,0.0432,0.9568
1072915200922-1104537600921,0-12,M,0.0036,0.9964
1072915200922-1104537600921,0-12,F,0.0036,0.9964
1072915200922-1104537600921,13-24,M,0.0129,0.9871
1072915200922-1104537600921,13-24,F,0.0131,0.9869
1072915200922-1104537600921,25-34,M,0.0147,0.9853
1072915200922-1104537600921,25-34,F,0.0188,0.9812
1072915200922-1104537600921,35-44,M,0.0182,0.9818
1072915200922-1104537600921,35-44,F,0.0242,0.9758
1072915200922-1104537600921,45-54,M,0.0252,0.9748
1072915200922-1104537600921,45-54,F,0.0314,0.9686
1072915200922-1104537600921,55-150,M,0.0368,0.9632
1072915200922-1104537600921,55-150,F,0.0395,0.9605
1104537600922-1136073600921,0-12,M,0.0020,0.9980
1104537600922-1136073600921,0-12,F,0.0020,0.9980
1104537600922-1136073600921,13-24,M,0.0096,0.9904
1104537600922-1136073600921,13-24,F,0.0108,0.9892
1104537600922-1136073600921,25-34,M,0.0141,0.9859
1104537600922-1136073600921,25-34,F,0.0182,0.9818
1104537600922-1136073600921,35-44,M,0.0170,0.9830
1104537600922-1136073600921,35-44,F,0.0216,0.9784
1104537600922-1136073600921,45-54,M,0.0237,0.9763
1104537600922-1136073600921,45-54,F,0.0276,0.9724
1104537600922-1136073600921,55-150,M,0.0348,0.9652
1104537600922-1136073600921,55-150,F,0.0347,0.9653
1136073600922-1167609600921,0-12,M,0.0017,0.9983
1136073600922-1167609600921,0-12,F,0.0017,0.9983
1136073600922-1167609600921,13-24,M,0.0112,0.9888
1136073600922-1167609600921,13-24,F,0.0123,0.9877
1136073600922-1167609600921,25-34,M,0.0134,0.9866
1136073600922-1167609600921,25-34,F,0.0168,0.9832
1136073600922-1167609600921,35-44,M,0.0154,0.9846
1136073600922-1167609600921,35-44,F,0.0209,0.9791
1136073600922-1167609600921,45-54,M,0.0215,0.9785
1136073600922-1167609600921,45-54,F,0.0261,0.9739
1136073600922-1167609600921,55-150,M,0.0318,0.9682
1136073600922-1167609600921,55-150,F,0.0341,0.9659
1167609600922-1199145600921,0-12,M,0.0014,0.9986
1167609600922-1199145600921,0-12,F,0.0014,0.9986
1167609600922-1199145600921,13-24,M,0.0086,0.9914
1167609600922-1199145600921,13-24,F,0.0112,0.9888
1167609600922-1199145600921,25-34,M,0.0122,0.9878
1167609600922-1199145600921,25-34,F,0.0165,0.9835
1167609600922-1199145600921,35-44,M,0.0143,0.9857
1167609600922-1199145600921,35-44,F,0.0189,0.9811
1167609600922-1199145600921,45-54,M,0.0190,0.9810
1167609600922-1199145600921,45-54,F,0.0242,0.9758
1167609600922-1199145600921,55-150,M,0.0286,0.9714
1167609600922-1199145600921,55-150,F,0.0292,0.9708
1199145600922-1230768000921,0-12,M,0.0007,0.9993
1199145600922-1230768000921,0-12,F,0.0007,0.9993
1199145600922-1230768000921,13-24,M,0.0070,0.9930
1199145600922-1230768000921,13-24,F,0.0106,0.9894
1199145600922-1230768000921,25-34,M,0.0114,0.9886
1199145600922-1230768000921,25-34,F,0.0141,0.9859
1199145600922-1230768000921,35-44,M,0.0120,0.9880
1199145600922-1230768000921,35-44,F,0.0164,0.9836
1199145600922-1230768000921,45-54,M,0.0166,0.9834
1199145600922-1230768000921,45-54,F,0.0207,0.9793
1230768000922-1262304000921,0-12,M,0.0007,0.9993
1230768000922-1262304000921,0-12,F,0.0007,0.9993
1230768000922-1262304000921,13-24,M,0.0017,0.9983
1230768000922-1262304000921,13-24,F,0.0019,0.9981
1230768000922-1262304000921,25-34,M,0.0035,0.9965
1230768000922-1262304000921,25-34,F,0.0031,0.9969
1230768000922-1262304000921,35-44,M,0.0052,0.9948
1230768000922-1262304000921,35-44,F,0.0056,0.9944
1230768000922-1262304000921,45-54,M,0.0101,0.9899
1230768000922-1262304000921,45-54,F,0.0129,0.9871
1230768000922-1262304000921,55-150,M,0.0283,0.9717
1230768000922-1262304000921,55-150,F,0.0294,0.9706
1262304000922-1293840000921,0-12,M,0.0027,0.9973
1262304000922-1293840000921,0-12,F,0.0027,0.9973
1262304000922-1293840000921,13-24,M,0.0017,0.9983
1262304000922-1293840000921,13-24,F,0.0025,0.9975
1262304000922-1293840000921,25-34,M,0.0033,0.9967
1262304000922-1293840000921,25-34,F,0.0032,0.9968
1262304000922-1293840000921,35-44,M,0.0043,0.9957
1262304000922-1293840000921,35-44,F,0.0057,0.9943
1262304000922-1293840000921,45-54,M,0.0097,0.9903
1262304000922-1293840000921,45-54,F,0.0111,0.9889
1262304000922-1293840000921,55-150,M,0.0238,0.9762
1262304000922-1293840000921,55-150,F,0.0255,0.9745
1293840000922-1325376000921,0-12,M,0.0004,0.9996
1293840000922-1325376000921,0-12,F,0.0004,0.9996
1293840000922-1325376000921,13-24,M,0.0019,0.9981
1293840000922-1325376000921,13-24,F,0.0012,0.9988
1293840000922-1325376000921,25-34,M,0.0030,0.9970
1293840000922-1325376000921,25-34,F,0.0031,0.9969
1293840000922-1325376000921,35-44,M,0.0044,0.9956
1293840000922-1325376000921,35-44,F,0.0047,0.9953
1293840000922-1325376000921,45-54,M,0.0082,0.9918
1293840000922-1325376000921,45-54,F,0.0101,0.9899
1293840000922-1325376000921,55-150,M,0.0233,0.9767
1293840000922-1325376000921,55-150,F,0.0201,0.9799
1325376000922-1356998400921,0-12,M,0.0011,0.9989
1325376000922-1356998400921,0-12,F,0.0011,0.9989
1325376000922-1356998400921,13-24,M,0.0016,0.9984
1325376000922-1356998400921,13-24,F,0.0011,0.9989
1325376000922-1356998400921,25-34,M,0.0030,0.9970
1325376000922-1356998400921,25-34,F,0.0027,0.9973
1325376000922-1356998400921,35-44,M,0.0042,0.9958
1325376000922-1356998400921,35-44,F,0.0052,0.9948
1325376000922-1356998400921,45-54,M,0.0074,0.9926
1325376000922-1356998400921,45-54,F,0.0107,0.9893
1325376000922-1356998400921,55-150,M,0.0210,0.9790
1325376000922-1356998400921,55-150,F,0.0212,0.9788
1356998400922-1388534400921,0-12,M,0.0000,1.0000
1356998400922-1388534400921,0-12,F,0.0000,1.0000
1356998400922-1388534400921,13-24,M,0.0017,0.9983
1356998400922-1388534400921,13-24,F,0.0007,0.9993
1356998400922-1388534400921,25-34,M,0.0028,0.9972
1356998400922-1388534400921,25-34,F,0.0021,0.9979
1356998400922-1388534400921,35-44,M,0.0040,0.9960
1356998400922-1388534400921,35-44,F,0.0042,0.9958
1356998400922-1388534400921,45-54,M,0.0076,0.9924
1356998400922-1388534400921,45-54,F,0.0088,0.9912
1356998400922-1388534400921,55-150,M,0.0196,0.9804
1356998400922-1388534400921,55-150,F,0.0190,0.9810
1388534400922-1420070400921,0-12,M,0.0004,0.9996
1388534400922-1420070400921,0-12,F,0.0004,0.9996
1388534400922-1420070400921,13-24,M,0.0015,0.9985
1388534400922-1420070400921,13-24,F,0.0021,0.9979
1388534400922-1420070400921,25-34,M,0.0027,0.9973
1388534400922-1420070400921,25-34,F,0.0023,0.9977
1388534400922-1420070400921,35-44,M,0.0041,0.9959
1388534400922-1420070400921,35-44,F,0.0046,0.9954
1388534400922-1420070400921,45-54,M,0.0068,0.9932
1388534400922-1420070400921,45-54,F,0.0088,0.9912
1388534400922-1420070400921,55-150,M,0.0193,0.9807
1388534400922-1420070400921,55-150,F,0.0206,0.9794
1420070400922-1451606400921,0-12,M,0.0009,0.9991
1420070400922-1451606400921,0-12,F,0.0009,0.9991
1420070400922-1451606400921,13-24,M,0.0014,0.9986
1420070400922-1451606400921,13-24,F,0.0009,0.9991
1420070400922-1451606400921,25-34,M,0.0023,0.9977
1420070400922-1451606400921,25-34,F,0.0029,0.9971
1420070400922-1451606400921,35-44,M,0.0041,0.9959
1420070400922-1451606400921,35-44,F,0.0040,0.9960
1420070400922-1451606400921,45-54,M,0.0066,0.9934
1420070400922-1451606400921,45-54,F,0.0073,0.9927
1420070400922-1451606400921,55-150,M,0.0181,0.9819
1420070400922-1451606400921,55-150,F,0.0182,0.9818
1451606400922-1483228800921,0-12,M,0.0009,0.9991
1451606400922-1483228800921,0-12,F,0.0009,0.9991
1451606400922-1483228800921,13-24,M,0.0020,0.9980
1451606400922-1483228800921,13-24,F,0.0021,0.9979
1451606400922-1483228800921,25-34,M,0.0032,0.9968
1451606400922-1483228800921,25-34,F,0.0032,0.9968
1451606400922-1483228800921,35-44,M,0.0043,0.9957
1451606400922-1483228800921,35-44,F,0.0042,0.9958
1451606400922-1483228800921,45-54,M,0.0062,0.9938
1451606400922-1483228800921,45-54,F,0.0083,0.9917
1451606400922-1483228800921,55-150,M,0.0188,0.9812
1451606400922-1483228800921,55-150,F,0.0172,0.9828
1483228800922-1514764800921,0-12,M,0.0010,0.9990
1483228800922-1514764800921,0-12,F,0.0010,0.9990
1483228800922-1514764800921,13-24,M,0.0018,0.9982
1483228800922-1514764800921,13-24,F,0.0016,0.9984
1483228800922-1514764800921,25-34,M,0.0030,0.9970
1483228800922-1514764800921,25-34,F,0.0032,0.9968
1483228800922-1514764800921,35-44,M,0.0041,0.9959
1483228800922-1514764800921,35-44,F,0.0045,0.9955
1483228800922-1514764800921,45-54,M,0.0067,0.9933
1483228800922-1514764800921,45-54,F,0.0078,0.9922
1483228800922-1514764800921,55-150,M,0.0175,0.9825
1483228800922-1514764800921,55-150,F,0.0175,0.9825
1514764800922-1546300800921,0-12,M,0.0005,0.9995
1514764800922-1546300800921,0-12,F,0.0005,0.9995
1514764800922-1546300800921,13-24,M,0.0016,0.9984
1514764800922-1546300800921,13-24,F,0.0015,0.9985
1514764800922-1546300800921,25-34,M,0.0025,0.9975
1514764800922-1546300800921,25-34,F,0.0034,0.9966
1514764800922-1546300800921,35-44,M,0.0041,0.9959
1514764800922-1546300800921,35-44,F,0.0038,0.9962
1514764800922-1546300800921,45-54,M,0.0064,0.9936
1514764800922-1546300800921,45-54,F,0.0076,0.9924
1514764800922-1546300800921,55-150,M,0.0172,0.9828
1514764800922-1546300800921,55-150,F,0.0155,0.9845
1546300800922-1577836800921,13-24,M,0.0017,0.9983
1546300800922-1577836800921,13-24,F,0.0020,0.9980
1546300800922-1577836800921,25-34,M,0.0028,0.9972
1546300800922-1577836800921,25-34,F,0.0033,0.9967
1546300800922-1577836800921,35-44,M,0.0042,0.9958
1546300800922-1577836800921,35-44,F,0.0040,0.9960
1546300800922-1577836800921,45-54,M,0.0058,0.9942
1546300800922-1577836800921,45-54,F,0.0065,0.9935
1546300800922-1577836800921,55-150,M,0.0160,0.9840
1546300800922-1577836800921,55-150,F,0.0143,0.9857
