age,gender,state,Prescribe_Atorvastatin,Prescribe_Ezetimibe_Simvastatin,Prescribe_Lovastatin,Prescribe_Pitavastatin,Prescribe_Pravastatin,Prescribe_Rosuvastatin,Prescribe_Simvastatin
26-35,M,West Virginia,0.645,0.0,0.0,0.0,0.137,0.124,0.093
26-35,M,Wisconsin,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26-35,M,Wyoming,0.413,0.0,0.0,0.0,0.0,0.587,0.0
36-45,F,Alabama,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Alaska,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Arizona,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Arkansas,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,California,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Colorado,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Connecticut,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,Delaware,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,District of Columbia,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Florida,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Georgia,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Hawaii,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Idaho,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Illinois,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Indiana,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Iowa,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Kansas,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Kentucky,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Louisiana,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Maine,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,Maryland,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Massachusetts,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,Michigan,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Minnesota,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Mississippi,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Missouri,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Montana,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Nebraska,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Nevada,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,New Hampshire,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,New Jersey,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,New Mexico,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,New York,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,North Carolina,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,North Dakota,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Ohio,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Oklahoma,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Oregon,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Pennsylvania,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,Rhode Island,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,South Carolina,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,South Dakota,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Tennessee,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Texas,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Utah,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,Vermont,0.34,0.0,0.0,0.0,0.266,0.278,0.116
36-45,F,Virginia,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Washington,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,F,West Virginia,0.549,0.0,0.093,0.0,0.214,0.0,0.144
36-45,F,Wisconsin,0.571,0.0,0.0,0.0,0.082,0.239,0.108
36-45,F,Wyoming,0.564,0.0,0.0,0.0,0.073,0.053,0.31
36-45,M,Alabama,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Alaska,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Arizona,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Arkansas,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,California,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Colorado,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Connecticut,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,Delaware,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,District of Columbia,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Florida,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Georgia,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Hawaii,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Idaho,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Illinois,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Indiana,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Iowa,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Kansas,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Kentucky,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Louisiana,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Maine,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,Maryland,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Massachusetts,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,Michigan,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Minnesota,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Mississippi,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Missouri,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Montana,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Nebraska,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Nevada,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,New Hampshire,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,New Jersey,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,New Mexico,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,New York,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,North Carolina,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,North Dakota,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Ohio,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Oklahoma,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Oregon,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Pennsylvania,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,Rhode Island,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,South Carolina,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,South Dakota,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Tennessee,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Texas,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Utah,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,Vermont,0.613,0.0,0.0,0.0,0.13,0.126,0.13
36-45,M,Virginia,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Washington,0.701,0.0,0.0,0.0,0.0,0.034,0.265
36-45,M,West Virginia,0.345,0.0,0.058,0.022,0.219,0.15,0.206
36-45,M,Wisconsin,0.471,0.0,0.198,0.0,0.055,0.058,0.219
36-45,M,Wyoming,0.701,0.0,0.0,0.0,0.0,0.034,0.265
4-7,M,Alabama,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Arkansas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Delaware,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,District of Columbia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Florida,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Georgia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Kentucky,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Louisiana,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Maryland,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Mississippi,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,North Carolina,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Oklahoma,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,South Carolina,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Tennessee,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Texas,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,Virginia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4-7,M,West Virginia,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46-65,F,Alabama,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Alaska,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Arizona,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Arkansas,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,California,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Colorado,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Connecticut,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,Delaware,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,District of Columbia,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Florida,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Georgia,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Hawaii,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Idaho,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Illinois,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Indiana,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Iowa,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Kansas,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Kentucky,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Louisiana,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Maine,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,Maryland,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Massachusetts,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,Michigan,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Minnesota,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Mississippi,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Missouri,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Montana,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Nebraska,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Nevada,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,New Hampshire,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,New Jersey,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,New Mexico,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,New York,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,North Carolina,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,North Dakota,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Ohio,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Oklahoma,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Oregon,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Pennsylvania,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,Rhode Island,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,South Carolina,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,South Dakota,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Tennessee,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Texas,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Utah,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,Vermont,0.576,0.02,0.03,0.0,0.045,0.102,0.226
46-65,F,Virginia,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Washington,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,F,West Virginia,0.446,0.0,0.03,0.021,0.166,0.151,0.186
46-65,F,Wisconsin,0.469,0.0,0.062,0.006,0.103,0.172,0.188
46-65,F,Wyoming,0.564,0.0,0.019,0.014,0.064,0.092,0.246
46-65,M,Alabama,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Alaska,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Arizona,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Arkansas,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,California,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Colorado,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Connecticut,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,Delaware,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,District of Columbia,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Florida,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Georgia,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Hawaii,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Idaho,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Illinois,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Indiana,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Iowa,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Kansas,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Kentucky,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Louisiana,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Maine,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,Maryland,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Massachusetts,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,Michigan,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Minnesota,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Mississippi,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Missouri,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Montana,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Nebraska,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Nevada,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,New Hampshire,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,New Jersey,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,New Mexico,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,New York,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,North Carolina,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,North Dakota,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Ohio,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Oklahoma,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Oregon,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Pennsylvania,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,Rhode Island,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,South Carolina,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,South Dakota,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Tennessee,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Texas,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Utah,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,Vermont,0.614,0.005,0.019,0.0,0.083,0.093,0.187
46-65,M,Virginia,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Washington,0.574,0.007,0.05,0.0,0.064,0.076,0.229
46-65,M,West Virginia,0.527,0.003,0.034,0.005,0.106,0.144,0.182
46-65,M,Wisconsin,0.559,0.0,0.028,0.004,0.066,0.127,0.217
46-65,M,Wyoming,0.574,0.007,0.05,0.0,0.064,0.076,0.229
65-103,F,Alabama,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Alaska,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Arizona,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Arkansas,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,California,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Colorado,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Connecticut,0.468,0.009,0.029,0.01,0.13,0.131,0.223
65-103,F,Delaware,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,District of Columbia,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Florida,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Georgia,0.423,0.006,0.063,0.01,0.163,0.141,0.193
65-103,F,Hawaii,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Idaho,0.442,0.006,0.085,0.0,0.114,0.063,0.291
65-103,F,Illinois,0.457,0.0,0.043,0.002,0.13,0.083,0.285
