age,gender,state,Prescribe_Losartan_Potassium_100_Mg_Oral_Tablet,Prescribe_Losartan_Potassium_25_Mg_Oral_Tablet,Prescribe_Losartan_Potassium_25_Mg_Oral_Tablet_Cozaar,Prescribe_Losartan_Potassium_50_Mg_Oral_Tablet,Prescribe_Losartan_Potassium_50_Mg_Oral_Tablet_Cozaar
26-35,F,Virginia,0.395,0.144,0.0,0.461,0.0
26-35,F,Washington,0.0,1.0,0.0,0.0,0.0
26-35,F,West Virginia,0.395,0.144,0.0,0.461,0.0
26-35,F,Wyoming,0.0,1.0,0.0,0.0,0.0
26-35,M,Alabama,0.659,0.0,0.0,0.341,0.0
26-35,M,Alaska,1.0,0.0,0.0,0.0,0.0
26-35,M,Arizona,1.0,0.0,0.0,0.0,0.0
26-35,M,Arkansas,0.659,0.0,0.0,0.341,0.0
26-35,M,California,1.0,0.0,0.0,0.0,0.0
26-35,M,Colorado,1.0,0.0,0.0,0.0,0.0
26-35,M,Connecticut,1.0,0.0,0.0,0.0,0.0
26-35,M,Delaware,0.659,0.0,0.0,0.341,0.0
26-35,M,District of Columbia,0.659,0.0,0.0,0.341,0.0
26-35,M,Florida,0.659,0.0,0.0,0.341,0.0
26-35,M,Georgia,0.659,0.0,0.0,0.341,0.0
26-35,M,Hawaii,1.0,0.0,0.0,0.0,0.0
26-35,M,Idaho,1.0,0.0,0.0,0.0,0.0
26-35,M,Kentucky,0.659,0.0,0.0,0.341,0.0
26-35,M,Louisiana,0.659,0.0,0.0,0.341,0.0
26-35,M,Maine,1.0,0.0,0.0,0.0,0.0
26-35,M,Maryland,0.659,0.0,0.0,0.341,0.0
26-35,M,Massachusetts,1.0,0.0,0.0,0.0,0.0
26-35,M,Mississippi,0.659,0.0,0.0,0.341,0.0
26-35,M,Montana,1.0,0.0,0.0,0.0,0.0
26-35,M,Nevada,1.0,0.0,0.0,0.0,0.0
26-35,M,New Hampshire,1.0,0.0,0.0,0.0,0.0
26-35,M,New Jersey,1.0,0.0,0.0,0.0,0.0
26-35,M,New Mexico,1.0,0.0,0.0,0.0,0.0
26-35,M,New York,1.0,0.0,0.0,0.0,0.0
26-35,M,North Carolina,0.659,0.0,0.0,0.341,0.0
26-35,M,Oklahoma,0.659,0.0,0.0,0.341,0.0
26-35,M,Oregon,1.0,0.0,0.0,0.0,0.0
26-35,M,Pennsylvania,1.0,0.0,0.0,0.0,0.0
26-35,M,Rhode Island,1.0,0.0,0.0,0.0,0.0
26-35,M,South Carolina,0.659,0.0,0.0,0.341,0.0
26-35,M,Tennessee,0.659,0.0,0.0,0.341,0.0
26-35,M,Texas,0.659,0.0,0.0,0.341,0.0
26-35,M,Utah,1.0,0.0,0.0,0.0,0.0
26-35,M,Vermont,1.0,0.0,0.0,0.0,0.0
26-35,M,Virginia,0.659,0.0,0.0,0.341,0.0
26-35,M,Washington,1.0,0.0,0.0,0.0,0.0
26-35,M,West Virginia,0.659,0.0,0.0,0.341,0.0
26-35,M,Wyoming,1.0,0.0,0.0,0.0,0.0
36-45,F,Alabama,0.376,0.158,0.0,0.466,0.0
36-45,F,Alaska,0.0,0.413,0.0,0.587,0.0
36-45,F,Arizona,0.0,0.413,0.0,0.587,0.0
36-45,F,Arkansas,0.376,0.158,0.0,0.466,0.0
36-45,F,California,0.0,0.413,0.0,0.587,0.0
36-45,F,Colorado,0.0,0.413,0.0,0.587,0.0
36-45,F,Connecticut,1.0,0.0,0.0,0.0,0.0
36-45,F,Delaware,0.376,0.158,0.0,0.466,0.0
36-45,F,District of Columbia,0.376,0.158,0.0,0.466,0.0
36-45,F,Florida,0.376,0.158,0.0,0.466,0.0
36-45,F,Georgia,0.376,0.158,0.0,0.466,0.0
36-45,F,Hawaii,0.0,0.413,0.0,0.587,0.0
36-45,F,Idaho,0.0,0.413,0.0,0.587,0.0
36-45,F,Illinois,0.0,0.316,0.0,0.684,0.0
36-45,F,Indiana,0.0,0.316,0.0,0.684,0.0
36-45,F,Iowa,0.0,0.316,0.0,0.684,0.0
36-45,F,Kansas,0.0,0.316,0.0,0.684,0.0
36-45,F,Kentucky,0.376,0.158,0.0,0.466,0.0
36-45,F,Louisiana,0.376,0.158,0.0,0.466,0.0
36-45,F,Maine,1.0,0.0,0.0,0.0,0.0
36-45,F,Maryland,0.376,0.158,0.0,0.466,0.0
36-45,F,Massachusetts,1.0,0.0,0.0,0.0,0.0
36-45,F,Michigan,0.0,0.316,0.0,0.684,0.0
36-45,F,Minnesota,0.0,0.316,0.0,0.684,0.0
36-45,F,Mississippi,0.376,0.158,0.0,0.466,0.0
36-45,F,Missouri,0.0,0.316,0.0,0.684,0.0
36-45,F,Montana,0.0,0.413,0.0,0.587,0.0
36-45,F,Nebraska,0.0,0.316,0.0,0.684,0.0
36-45,F,Nevada,0.0,0.413,0.0,0.587,0.0
36-45,F,New Hampshire,1.0,0.0,0.0,0.0,0.0
36-45,F,New Jersey,1.0,0.0,0.0,0.0,0.0
36-45,F,New Mexico,0.0,0.413,0.0,0.587,0.0
36-45,F,New York,1.0,0.0,0.0,0.0,0.0
36-45,F,North Carolina,0.376,0.158,0.0,0.466,0.0
36-45,F,North Dakota,0.0,0.316,0.0,0.684,0.0
36-45,F,Ohio,0.0,0.316,0.0,0.684,0.0
36-45,F,Oklahoma,0.376,0.158,0.0,0.466,0.0
36-45,F,Oregon,0.0,0.413,0.0,0.587,0.0
36-45,F,Pennsylvania,1.0,0.0,0.0,0.0,0.0
36-45,F,Rhode Island,1.0,0.0,0.0,0.0,0.0
36-45,F,South Carolina,0.376,0.158,0.0,0.466,0.0
36-45,F,South Dakota,0.0,0.316,0.0,0.684,0.0
36-45,F,Tennessee,0.376,0.158,0.0,0.466,0.0
36-45,F,Texas,0.376,0.158,0.0,0.466,0.0
36-45,F,Utah,0.0,0.413,0.0,0.587,0.0
36-45,F,Vermont,1.0,0.0,0.0,0.0,0.0
36-45,F,Virginia,0.376,0.158,0.0,0.466,0.0
36-45,F,Washington,0.0,0.413,0.0,0.587,0.0
36-45,F,West Virginia,0.376,0.158,0.0,0.466,0.0
36-45,F,Wisconsin,0.0,0.316,0.0,0.684,0.0
36-45,F,Wyoming,0.0,0.413,0.0,0.587,0.0
36-45,M,Alabama,0.66,0.283,0.0,0.057,0.0
36-45,M,Alaska,0.155,0.0,0.0,0.845,0.0
36-45,M,Arizona,0.155,0.0,0.0,0.845,0.0
36-45,M,Arkansas,0.66,0.283,0.0,0.057,0.0
36-45,M,California,0.155,0.0,0.0,0.845,0.0
36-45,M,Colorado,0.155,0.0,0.0,0.845,0.0
36-45,M,Connecticut,0.753,0.0,0.0,0.247,0.0
36-45,M,Delaware,0.66,0.283,0.0,0.057,0.0
36-45,M,District of Columbia,0.66,0.283,0.0,0.057,0.0
36-45,M,Florida,0.66,0.283,0.0,0.057,0.0
36-45,M,Georgia,0.66,0.283,0.0,0.057,0.0
36-45,M,Hawaii,0.155,0.0,0.0,0.845,0.0
36-45,M,Idaho,0.155,0.0,0.0,0.845,0.0
36-45,M,Illinois,0.539,0.189,0.0,0.272,0.0
36-45,M,Indiana,0.539,0.189,0.0,0.272,0.0
36-45,M,Iowa,0.539,0.189,0.0,0.272,0.0
36-45,M,Kansas,0.539,0.189,0.0,0.272,0.0
36-45,M,Kentucky,0.66,0.283,0.0,0.057,0.0
36-45,M,Louisiana,0.66,0.283,0.0,0.057,0.0
36-45,M,Maine,0.753,0.0,0.0,0.247,0.0
36-45,M,Maryland,0.66,0.283,0.0,0.057,0.0
36-45,M,Massachusetts,0.753,0.0,0.0,0.247,0.0
36-45,M,Michigan,0.539,0.189,0.0,0.272,0.0
36-45,M,Minnesota,0.539,0.189,0.0,0.272,0.0
36-45,M,Mississippi,0.66,0.283,0.0,0.057,0.0
36-45,M,Missouri,0.539,0.189,0.0,0.272,0.0
36-45,M,Montana,0.155,0.0,0.0,0.845,0.0
36-45,M,Nebraska,0.539,0.189,0.0,0.272,0.0
36-45,M,Nevada,0.155,0.0,0.0,0.845,0.0
36-45,M,New Hampshire,0.753,0.0,0.0,0.247,0.0
36-45,M,New Jersey,0.753,0.0,0.0,0.247,0.0
36-45,M,New Mexico,0.155,0.0,0.0,0.845,0.0
36-45,M,New York,0.753,0.0,0.0,0.247,0.0
36-45,M,North Carolina,0.66,0.283,0.0,0.057,0.0
36-45,M,North Dakota,0.539,0.189,0.0,0.272,0.0
36-45,M,Ohio,0.539,0.189,0.0,0.272,0.0
36-45,M,Oklahoma,0.66,0.283,0.0,0.057,0.0
36-45,M,Oregon,0.155,0.0,0.0,0.845,0.0
36-45,M,Pennsylvania,0.753,0.0,0.0,0.247,0.0
36-45,M,Rhode Island,0.753,0.0,0.0,0.247,0.0
36-45,M,South Carolina,0.66,0.283,0.0,0.057,0.0
36-45,M,South Dakota,0.539,0.189,0.0,0.272,0.0
36-45,M,Tennessee,0.66,0.283,0.0,0.057,0.0
36-45,M,Texas,0.66,0.283,0.0,0.057,0.0
36-45,M,Utah,0.155,0.0,0.0,0.845,0.0
36-45,M,Vermont,0.753,0.0,0.0,0.247,0.0
36-45,M,Virginia,0.66,0.283,0.0,0.057,0.0
36-45,M,Washington,0.155,0.0,0.0,0.845,0.0
36-45,M,West Virginia,0.66,0.283,0.0,0.057,0.0
36-45,M,Wisconsin,0.539,0.189,0.0,0.272,0.0
36-45,M,Wyoming,0.155,0.0,0.0,0.845,0.0
4-7,M,Connecticut,1.0,0.0,0.0,0.0,0.0
4-7,M,Maine,1.0,0.0,0.0,0.0,0.0
4-7,M,Massachusetts,1.0,0.0,0.0,0.0,0.0
4-7,M,New Hampshire,1.0,0.0,0.0,0.0,0.0
4-7,M,New Jersey,1.0,0.0,0.0,0.0,0.0
4-7,M,New York,1.0,0.0,0.0,0.0,0.0
4-7,M,Pennsylvania,1.0,0.0,0.0,0.0,0.0
4-7,M,Rhode Island,1.0,0.0,0.0,0.0,0.0
4-7,M,Vermont,1.0,0.0,0.0,0.0,0.0
46-65,F,Alabama,0.368,0.215,0.0,0.416,0.0
46-65,F,Alaska,0.375,0.322,0.0,0.304,0.0
46-65,F,Arizona,0.375,0.322,0.0,0.304,0.0
46-65,F,Arkansas,0.368,0.215,0.0,0.416,0.0
46-65,F,California,0.375,0.322,0.0,0.304,0.0
46-65,F,Colorado,0.375,0.322,0.0,0.304,0.0
46-65,F,Connecticut,0.403,0.173,0.0,0.424,0.0
46-65,F,Delaware,0.368,0.215,0.0,0.416,0.0
46-65,F,District of Columbia,0.368,0.215,0.0,0.416,0.0
46-65,F,Florida,0.368,0.215,0.0,0.416,0.0
46-65,F,Georgia,0.368,0.215,0.0,0.416,0.0
46-65,F,Hawaii,0.375,0.322,0.0,0.304,0.0
46-65,F,Idaho,0.375,0.322,0.0,0.304,0.0
46-65,F,Illinois,0.356,0.137,0.0,0.507,0.0
46-65,F,Indiana,0.356,0.137,0.0,0.507,0.0
46-65,F,Iowa,0.356,0.137,0.0,0.507,0.0
46-65,F,Kansas,0.356,0.137,0.0,0.507,0.0
46-65,F,Kentucky,0.368,0.215,0.0,0.416,0.0
46-65,F,Louisiana,0.368,0.215,0.0,0.416,0.0
46-65,F,Maine,0.403,0.173,0.0,0.424,0.0
46-65,F,Maryland,0.368,0.215,0.0,0.416,0.0
46-65,F,Massachusetts,0.403,0.173,0.0,0.424,0.0
46-65,F,Michigan,0.356,0.137,0.0,0.507,0.0
46-65,F,Minnesota,0.356,0.137,0.0,0.507,0.0
46-65,F,Mississippi,0.368,0.215,0.0,0.416,0.0
46-65,F,Missouri,0.356,0.137,0.0,0.507,0.0
46-65,F,Montana,0.375,0.322,0.0,0.304,0.0
46-65,F,Nebraska,0.356,0.137,0.0,0.507,0.0
46-65,F,Nevada,0.375,0.322,0.0,0.304,0.0
46-65,F,New Hampshire,0.403,0.173,0.0,0.424,0.0
46-65,F,New Jersey,0.403,0.173,0.0,0.424,0.0
46-65,F,New Mexico,0.375,0.322,0.0,0.304,0.0
46-65,F,New York,0.403,0.173,0.0,0.424,0.0
46-65,F,North Carolina,0.368,0.215,0.0,0.416,0.0
46-65,F,North Dakota,0.356,0.137,0.0,0.507,0.0
46-65,F,Ohio,0.356,0.137,0.0,0.507,0.0
46-65,F,Oklahoma,0.368,0.215,0.0,0.416,0.0
46-65,F,Oregon,0.375,0.322,0.0,0.304,0.0
46-65,F,Pennsylvania,0.403,0.173,0.0,0.424,0.0
46-65,F,Rhode Island,0.403,0.173,0.0,0.424,0.0
46-65,F,South Carolina,0.368,0.215,0.0,0.416,0.0
46-65,F,South Dakota,0.356,0.137,0.0,0.507,0.0
46-65,F,Tennessee,0.368,0.215,0.0,0.416,0.0
46-65,F,Texas,0.368,0.215,0.0,0.416,0.0
46-65,F,Utah,0.375,0.322,0.0,0.304,0.0
46-65,F,Vermont,0.403,0.173,0.0,0.424,0.0
46-65,F,Virginia,0.368,0.215,0.0,0.416,0.0
46-65,F,Washington,0.375,0.322,0.0,0.304,0.0
46-65,F,West Virginia,0.368,0.215,0.0,0.416,0.0
46-65,F,Wisconsin,0.356,0.137,0.0,0.507,0.0
46-65,F,Wyoming,0.375,0.322,0.0,0.304,0.0
46-65,M,Alabama,0.444,0.256,0.0,0.294,0.006
46-65,M,Alaska,0.316,0.26,0.0,0.424,0.0
46-65,M,Arizona,0.316,0.26,0.0,0.424,0.0
46-65,M,Arkansas,0.444,0.256,0.0,0.294,0.006
46-65,M,California,0.316,0.26,0.0,0.424,0.0
46-65,M,Colorado,0.316,0.26,0.0,0.424,0.0
46-65,M,Connecticut,0.344,0.055,0.0,0.601,0.0
46-65,M,Delaware,0.444,0.256,0.0,0.294,0.006
46-65,M,District of Columbia,0.444,0.256,0.0,0.294,0.006
46-65,M,Florida,0.444,0.256,0.0,0.294,0.006
46-65,M,Georgia,0.444,0.256,0.0,0.294,0.006
46-65,M,Hawaii,0.316,0.26,0.0,0.424,0.0
46-65,M,Idaho,0.316,0.26,0.0,0.424,0.0
46-65,M,Illinois,0.237,0.32,0.0,0.444,0.0
46-65,M,Indiana,0.237,0.32,0.0,0.444,0.0
46-65,M,Iowa,0.237,0.32,0.0,0.444,0.0
46-65,M,Kansas,0.237,0.32,0.0,0.444,0.0
46-65,M,Kentucky,0.444,0.256,0.0,0.294,0.006
46-65,M,Louisiana,0.444,0.256,0.0,0.294,0.006
46-65,M,Maine,0.344,0.055,0.0,0.601,0.0
46-65,M,Maryland,0.444,0.256,0.0,0.294,0.006
46-65,M,Massachusetts,0.344,0.055,0.0,0.601,0.0
46-65,M,Michigan,0.237,0.32,0.0,0.444,0.0
46-65,M,Minnesota,0.237,0.32,0.0,0.444,0.0
46-65,M,Mississippi,0.444,0.256,0.0,0.294,0.006
46-65,M,Missouri,0.237,0.32,0.0,0.444,0.0
46-65,M,Montana,0.316,0.26,0.0,0.424,0.0
46-65,M,Nebraska,0.237,0.32,0.0,0.444,0.0
46-65,M,Nevada,0.316,0.26,0.0,0.424,0.0
46-65,M,New Hampshire,0.344,0.055,0.0,0.601,0.0
46-65,M,New Jersey,0.344,0.055,0.0,0.601,0.0
46-65,M,New Mexico,0.316,0.26,0.0,0.424,0.0
46-65,M,New York,0.344,0.055,0.0,0.601,0.0
46-65,M,North Carolina,0.444,0.256,0.0,0.294,0.006
46-65,M,North Dakota,0.237,0.32,0.0,0.444,0.0
46-65,M,Ohio,0.237,0.32,0.0,0.444,0.0
46-65,M,Oklahoma,0.444,0.256,0.0,0.294,0.006
46-65,M,Oregon,0.316,0.26,0.0,0.424,0.0
46-65,M,Pennsylvania,0.344,0.055,0.0,0.601,0.0
46-65,M,Rhode Island,0.344,0.055,0.0,0.601,0.0
46-65,M,South Carolina,0.444,0.256,0.0,0.294,0.006
46-65,M,South Dakota,0.237,0.32,0.0,0.444,0.0
46-65,M,Tennessee,0.444,0.256,0.0,0.294,0.006
46-65,M,Texas,0.444,0.256,0.0,0.294,0.006
46-65,M,Utah,0.316,0.26,0.0,0.424,0.0
46-65,M,Vermont,0.344,0.055,0.0,0.601,0.0
46-65,M,Virginia,0.444,0.256,0.0,0.294,0.006
46-65,M,Washington,0.316,0.26,0.0,0.424,0.0
46-65,M,West Virginia,0.444,0.256,0.0,0.294,0.006
46-65,M,Wisconsin,0.237,0.32,0.0,0.444,0.0
46-65,M,Wyoming,0.316,0.26,0.0,0.424,0.0
65-103,F,Alabama,0.429,0.2,0.0,0.371,0.0
65-103,F,Alaska,0.393,0.218,0.003,0.386,0.0
65-103,F,Arizona,0.393,0.218,0.003,0.386,0.0
65-103,F,Arkansas,0.429,0.2,0.0,0.371,0.0
65-103,F,California,0.393,0.218,0.003,0.386,0.0
65-103,F,Colorado,0.393,0.218,0.003,0.386,0.0
65-103,F,Connecticut,0.401,0.164,0.0,0.435,0.0
65-103,F,Delaware,0.429,0.2,0.0,0.371,0.0
65-103,F,District of Columbia,0.429,0.2,0.0,0.371,0.0
65-103,F,Florida,0.429,0.2,0.0,0.371,0.0
65-103,F,Georgia,0.429,0.2,0.0,0.371,0.0
65-103,F,Hawaii,0.393,0.218,0.003,0.386,0.0
65-103,F,Idaho,0.393,0.218,0.003,0.386,0.0
65-103,F,Illinois,0.416,0.168,0.0,0.416,0.0
65-103,F,Indiana,0.416,0.168,0.0,0.416,0.0
65-103,F,Iowa,0.416,0.168,0.0,0.416,0.0
65-103,F,Kansas,0.416,0.168,0.0,0.416,0.0
65-103,F,Kentucky,0.429,0.2,0.0,0.371,0.0
65-103,F,Louisiana,0.429,0.2,0.0,0.371,0.0
65-103,F,Maine,0.401,0.164,0.0,0.435,0.0
65-103,F,Maryland,0.429,0.2,0.0,0.371,0.0
65-103,F,Massachusetts,0.401,0.164,0.0,0.435,0.0
65-103,F,Michigan,0.416,0.168,0.0,0.416,0.0
65-103,F,Minnesota,0.416,0.168,0.0,0.416,0.0
65-103,F,Mississippi,0.429,0.2,0.0,0.371,0.0
65-103,F,Missouri,0.416,0.168,0.0,0.416,0.0
65-103,F,Montana,0.393,0.218,0.003,0.386,0.0
65-103,F,Nebraska,0.416,0.168,0.0,0.416,0.0
65-103,F,Nevada,0.393,0.218,0.003,0.386,0.0
65-103,F,New Hampshire,0.401,0.164,0.0,0.435,0.0
65-103,F,New Jersey,0.401,0.164,0.0,0.435,0.0
65-103,F,New Mexico,0.393,0.218,0.003,0.386,0.0
65-103,F,New York,0.401,0.164,0.0,0.435,0.0
65-103,F,North Carolina,0.429,0.2,0.0,0.371,0.0
65-103,F,North Dakota,0.416,0.168,0.0,0.416,0.0
65-103,F,Ohio,0.416,0.168,0.0,0.416,0.0
65-103,F,Oklahoma,0.429,0.2,0.0,0.371,0.0
65-103,F,Oregon,0.393,0.218,0.003,0.386,0.0
65-103,F,Pennsylvania,0.401,0.164,0.0,0.435,0.0
65-103,F,Rhode Island,0.401,0.164,0.0,0.435,0.0
65-103,F,South Carolina,0.429,0.2,0.0,0.371,0.0
65-103,F,South Dakota,0.416,0.168,0.0,0.416,0.0
65-103,F,Tennessee,0.429,0.2,0.0,0.371,0.0
65-103,F,Texas,0.429,0.2,0.0,0.371,0.0
65-103,F,Utah,0.393,0.218,0.003,0.386,0.0
65-103,F,Vermont,0.401,0.164,0.0,0.435,0.0
65-103,F,Virginia,0.429,0.2,0.0,0.371,0.0
65-103,F,Washington,0.393,0.218,0.003,0.386,0.0
65-103,F,West Virginia,0.429,0.2,0.0,0.371,0.0
65-103,F,Wisconsin,0.416,0.168,0.0,0.416,0.0
65-103,F,Wyoming,0.393,0.218,0.003,0.386,0.0
65-103,M,Alabama,0.477,0.202,0.0,0.321,0.0
65-103,M,Alaska,0.332,0.29,0.0,0.379,0.0
65-103,M,Arizona,0.332,0.29,0.0,0.379,0.0
65-103,M,Arkansas,0.477,0.202,0.0,0.321,0.0
65-103,M,California,0.332,0.29,0.0,0.379,0.0
65-103,M,Colorado,0.332,0.29,0.0,0.379,0.0
65-103,M,Connecticut,0.479,0.23,0.0,0.291,0.0
65-103,M,Delaware,0.477,0.202,0.0,0.321,0.0
65-103,M,District of Columbia,0.477,0.202,0.0,0.321,0.0
65-103,M,Florida,0.477,0.202,0.0,0.321,0.0
65-103,M,Georgia,0.477,0.202,0.0,0.321,0.0
65-103,M,Hawaii,0.332,0.29,0.0,0.379,0.0
65-103,M,Idaho,0.332,0.29,0.0,0.379,0.0
65-103,M,Illinois,0.541,0.121,0.0,0.337,0.0
65-103,M,Indiana,0.541,0.121,0.0,0.337,0.0
65-103,M,Iowa,0.541,0.121,0.0,0.337,0.0
65-103,M,Kansas,0.541,0.121,0.0,0.337,0.0
65-103,M,Kentucky,0.477,0.202,0.0,0.321,0.0
65-103,M,Louisiana,0.477,0.202,0.0,0.321,0.0
65-103,M,Maine,0.479,0.23,0.0,0.291,0.0
65-103,M,Maryland,0.477,0.202,0.0,0.321,0.0
65-103,M,Massachusetts,0.479,0.23,0.0,0.291,0.0
65-103,M,Michigan,0.541,0.121,0.0,0.337,0.0
65-103,M,Minnesota,0.541,0.121,0.0,0.337,0.0
65-103,M,Mississippi,0.477,0.202,0.0,0.321,0.0
65-103,M,Missouri,0.541,0.121,0.0,0.337,0.0
65-103,M,Montana,0.332,0.29,0.0,0.379,0.0
65-103,M,Nebraska,0.541,0.121,0.0,0.337,0.0
65-103,M,Nevada,0.332,0.29,0.0,0.379,0.0
65-103,M,New Hampshire,0.479,0.23,0.0,0.291,0.0
65-103,M,New Jersey,0.479,0.23,0.0,0.291,0.0
65-103,M,New Mexico,0.332,0.29,0.0,0.379,0.0
65-103,M,New York,0.479,0.23,0.0,0.291,0.0
65-103,M,North Carolina,0.477,0.202,0.0,0.321,0.0
65-103,M,North Dakota,0.541,0.121,0.0,0.337,0.0
65-103,M,Ohio,0.541,0.121,0.0,0.337,0.0
65-103,M,Oklahoma,0.477,0.202,0.0,0.321,0.0
65-103,M,Oregon,0.332,0.29,0.0,0.379,0.0
65-103,M,Pennsylvania,0.479,0.23,0.0,0.291,0.0
65-103,M,Rhode Island,0.479,0.23,0.0,0.291,0.0
65-103,M,South Carolina,0.477,0.202,0.0,0.321,0.0
65-103,M,South Dakota,0.541,0.121,0.0,0.337,0.0
65-103,M,Tennessee,0.477,0.202,0.0,0.321,0.0
65-103,M,Texas,0.477,0.202,0.0,0.321,0.0
65-103,M,Utah,0.332,0.29,0.0,0.379,0.0
65-103,M,Vermont,0.479,0.23,0.0,0.291,0.0
65-103,M,Virginia,0.477,0.202,0.0,0.321,0.0
65-103,M,Washington,0.332,0.29,0.0,0.379,0.0
65-103,M,West Virginia,0.477,0.202,0.0,0.321,0.0
65-103,M,Wisconsin,0.541,0.121,0.0,0.337,0.0
65-103,M,Wyoming,0.332,0.29,0.0,0.379,0.0
