age,gender,state,Prescribe_Ramipril_10_Mg_Oral_Capsule,Prescribe_Ramipril_1_25_Mg_Oral_Capsule,Prescribe_Ramipril_2_5_Mg_Oral_Capsule,Prescribe_Ramipril_5_Mg_Oral_Capsule
46-65,F,Connecticut,0.74,0.0,0.26,0.0
46-65,F,Delaware,0.448,0.0,0.275,0.276
46-65,F,District of Columbia,0.448,0.0,0.275,0.276
46-65,F,Florida,0.448,0.0,0.275,0.276
46-65,F,Georgia,0.448,0.0,0.275,0.276
46-65,F,Hawaii,0.0,0.0,0.0,1.0
46-65,F,Idaho,0.0,0.0,0.0,1.0
46-65,F,Illinois,0.844,0.0,0.156,0.0
46-65,F,Indiana,0.844,0.0,0.156,0.0
46-65,F,Iowa,0.844,0.0,0.156,0.0
46-65,F,Kansas,0.844,0.0,0.156,0.0
46-65,F,Kentucky,0.448,0.0,0.275,0.276
46-65,F,Louisiana,0.448,0.0,0.275,0.276
46-65,F,Maine,0.74,0.0,0.26,0.0
46-65,F,Maryland,0.448,0.0,0.275,0.276
46-65,F,Massachusetts,0.74,0.0,0.26,0.0
46-65,F,Michigan,0.844,0.0,0.156,0.0
46-65,F,Minnesota,0.844,0.0,0.156,0.0
46-65,F,Mississippi,0.448,0.0,0.275,0.276
46-65,F,Missouri,0.844,0.0,0.156,0.0
46-65,F,Montana,0.0,0.0,0.0,1.0
46-65,F,Nebraska,0.844,0.0,0.156,0.0
46-65,F,Nevada,0.0,0.0,0.0,1.0
46-65,F,New Hampshire,0.74,0.0,0.26,0.0
46-65,F,New Jersey,0.74,0.0,0.26,0.0
46-65,F,New Mexico,0.0,0.0,0.0,1.0
46-65,F,New York,0.74,0.0,0.26,0.0
46-65,F,North Carolina,0.448,0.0,0.275,0.276
46-65,F,North Dakota,0.844,0.0,0.156,0.0
46-65,F,Ohio,0.844,0.0,0.156,0.0
46-65,F,Oklahoma,0.448,0.0,0.275,0.276
46-65,F,Oregon,0.0,0.0,0.0,1.0
46-65,F,Pennsylvania,0.74,0.0,0.26,0.0
46-65,F,Rhode Island,0.74,0.0,0.26,0.0
46-65,F,South Carolina,0.448,0.0,0.275,0.276
46-65,F,South Dakota,0.844,0.0,0.156,0.0
46-65,F,Tennessee,0.448,0.0,0.275,0.276
46-65,F,Texas,0.448,0.0,0.275,0.276
46-65,F,Utah,0.0,0.0,0.0,1.0
46-65,F,Vermont,0.74,0.0,0.26,0.0
46-65,F,Virginia,0.448,0.0,0.275,0.276
46-65,F,Washington,0.0,0.0,0.0,1.0
46-65,F,West Virginia,0.448,0.0,0.275,0.276
46-65,F,Wisconsin,0.844,0.0,0.156,0.0
46-65,F,Wyoming,0.0,0.0,0.0,1.0
46-65,M,Alabama,0.423,0.161,0.128,0.288
46-65,M,Arkansas,0.423,0.161,0.128,0.288
46-65,M,Connecticut,0.279,0.275,0.447,0.0
46-65,M,Delaware,0.423,0.161,0.128,0.288
46-65,M,District of Columbia,0.423,0.161,0.128,0.288
46-65,M,Florida,0.423,0.161,0.128,0.288
46-65,M,Georgia,0.423,0.161,0.128,0.288
46-65,M,Illinois,0.5,0.0,0.5,0.0
46-65,M,Indiana,0.5,0.0,0.5,0.0
46-65,M,Iowa,0.5,0.0,0.5,0.0
46-65,M,Kansas,0.5,0.0,0.5,0.0
46-65,M,Kentucky,0.423,0.161,0.128,0.288
46-65,M,Louisiana,0.423,0.161,0.128,0.288
46-65,M,Maine,0.279,0.275,0.447,0.0
46-65,M,Maryland,0.423,0.161,0.128,0.288
46-65,M,Massachusetts,0.279,0.275,0.447,0.0
46-65,M,Michigan,0.5,0.0,0.5,0.0
46-65,M,Minnesota,0.5,0.0,0.5,0.0
46-65,M,Mississippi,0.423,0.161,0.128,0.288
46-65,M,Missouri,0.5,0.0,0.5,0.0
46-65,M,Nebraska,0.5,0.0,0.5,0.0
46-65,M,New Hampshire,0.279,0.275,0.447,0.0
46-65,M,New Jersey,0.279,0.275,0.447,0.0
46-65,M,New York,0.279,0.275,0.447,0.0
46-65,M,North Carolina,0.423,0.161,0.128,0.288
46-65,M,North Dakota,0.5,0.0,0.5,0.0
46-65,M,Ohio,0.5,0.0,0.5,0.0
46-65,M,Oklahoma,0.423,0.161,0.128,0.288
46-65,M,Pennsylvania,0.279,0.275,0.447,0.0
46-65,M,Rhode Island,0.279,0.275,0.447,0.0
46-65,M,South Carolina,0.423,0.161,0.128,0.288
46-65,M,South Dakota,0.5,0.0,0.5,0.0
46-65,M,Tennessee,0.423,0.161,0.128,0.288
46-65,M,Texas,0.423,0.161,0.128,0.288
46-65,M,Vermont,0.279,0.275,0.447,0.0
46-65,M,Virginia,0.423,0.161,0.128,0.288
46-65,M,West Virginia,0.423,0.161,0.128,0.288
46-65,M,Wisconsin,0.5,0.0,0.5,0.0
65-103,F,Alabama,0.927,0.0,0.0,0.073
65-103,F,Alaska,0.876,0.0,0.0,0.124
65-103,F,Arizona,0.876,0.0,0.0,0.124
65-103,F,Arkansas,0.927,0.0,0.0,0.073
65-103,F,California,0.876,0.0,0.0,0.124
65-103,F,Colorado,0.876,0.0,0.0,0.124
65-103,F,Connecticut,0.378,0.0,0.34,0.282
65-103,F,Delaware,0.927,0.0,0.0,0.073
65-103,F,District of Columbia,0.927,0.0,0.0,0.073
65-103,F,Florida,0.927,0.0,0.0,0.073
65-103,F,Georgia,0.927,0.0,0.0,0.073
65-103,F,Hawaii,0.876,0.0,0.0,0.124
65-103,F,Idaho,0.876,0.0,0.0,0.124
65-103,F,Kentucky,0.927,0.0,0.0,0.073
65-103,F,Louisiana,0.927,0.0,0.0,0.073
65-103,F,Maine,0.378,0.0,0.34,0.282
65-103,F,Maryland,0.927,0.0,0.0,0.073
65-103,F,Massachusetts,0.378,0.0,0.34,0.282
65-103,F,Mississippi,0.927,0.0,0.0,0.073
65-103,F,Montana,0.876,0.0,0.0,0.124
65-103,F,Nevada,0.876,0.0,0.0,0.124
65-103,F,New Hampshire,0.378,0.0,0.34,0.282
65-103,F,New Jersey,0.378,0.0,0.34,0.282
65-103,F,New Mexico,0.876,0.0,0.0,0.124
65-103,F,New York,0.378,0.0,0.34,0.282
65-103,F,North Carolina,0.927,0.0,0.0,0.073
65-103,F,Oklahoma,0.927,0.0,0.0,0.073
65-103,F,Oregon,0.876,0.0,0.0,0.124
65-103,F,Pennsylvania,0.378,0.0,0.34,0.282
65-103,F,Rhode Island,0.378,0.0,0.34,0.282
65-103,F,South Carolina,0.927,0.0,0.0,0.073
65-103,F,Tennessee,0.927,0.0,0.0,0.073
65-103,F,Texas,0.927,0.0,0.0,0.073
65-103,F,Utah,0.876,0.0,0.0,0.124
65-103,F,Vermont,0.378,0.0,0.34,0.282
65-103,F,Virginia,0.927,0.0,0.0,0.073
65-103,F,Washington,0.876,0.0,0.0,0.124
65-103,F,West Virginia,0.927,0.0,0.0,0.073
65-103,F,Wyoming,0.876,0.0,0.0,0.124
65-103,M,Alabama,0.327,0.0,0.113,0.559
65-103,M,Alaska,0.596,0.0,0.091,0.313
65-103,M,Arizona,0.596,0.0,0.091,0.313
65-103,M,Arkansas,0.327,0.0,0.113,0.559
65-103,M,California,0.596,0.0,0.091,0.313
65-103,M,Colorado,0.596,0.0,0.091,0.313
65-103,M,Connecticut,0.356,0.0,0.442,0.202
65-103,M,Delaware,0.327,0.0,0.113,0.559
65-103,M,District of Columbia,0.327,0.0,0.113,0.559
65-103,M,Florida,0.327,0.0,0.113,0.559
65-103,M,Georgia,0.327,0.0,0.113,0.559
65-103,M,Hawaii,0.596,0.0,0.091,0.313
65-103,M,Idaho,0.596,0.0,0.091,0.313
65-103,M,Illinois,0.0,0.0,0.0,1.0
65-103,M,Indiana,0.0,0.0,0.0,1.0
65-103,M,Iowa,0.0,0.0,0.0,1.0
65-103,M,Kansas,0.0,0.0,0.0,1.0
65-103,M,Kentucky,0.327,0.0,0.113,0.559
65-103,M,Louisiana,0.327,0.0,0.113,0.559
65-103,M,Maine,0.356,0.0,0.442,0.202
65-103,M,Maryland,0.327,0.0,0.113,0.559
65-103,M,Massachusetts,0.356,0.0,0.442,0.202
65-103,M,Michigan,0.0,0.0,0.0,1.0
65-103,M,Minnesota,0.0,0.0,0.0,1.0
65-103,M,Mississippi,0.327,0.0,0.113,0.559
65-103,M,Missouri,0.0,0.0,0.0,1.0
65-103,M,Montana,0.596,0.0,0.091,0.313
65-103,M,Nebraska,0.0,0.0,0.0,1.0
65-103,M,Nevada,0.596,0.0,0.091,0.313
65-103,M,New Hampshire,0.356,0.0,0.442,0.202
65-103,M,New Jersey,0.356,0.0,0.442,0.202
65-103,M,New Mexico,0.596,0.0,0.091,0.313
65-103,M,New York,0.356,0.0,0.442,0.202
65-103,M,North Carolina,0.327,0.0,0.113,0.559
65-103,M,North Dakota,0.0,0.0,0.0,1.0
65-103,M,Ohio,0.0,0.0,0.0,1.0
65-103,M,Oklahoma,0.327,0.0,0.113,0.559
65-103,M,Oregon,0.596,0.0,0.091,0.313
65-103,M,Pennsylvania,0.356,0.0,0.442,0.202
65-103,M,Rhode Island,0.356,0.0,0.442,0.202
65-103,M,South Carolina,0.327,0.0,0.113,0.559
65-103,M,South Dakota,0.0,0.0,0.0,1.0
65-103,M,Tennessee,0.327,0.0,0.113,0.559
65-103,M,Texas,0.327,0.0,0.113,0.559
65-103,M,Utah,0.596,0.0,0.091,0.313
65-103,M,Vermont,0.356,0.0,0.442,0.202
65-103,M,Virginia,0.327,0.0,0.113,0.559
65-103,M,Washington,0.596,0.0,0.091,0.313
65-103,M,West Virginia,0.327,0.0,0.113,0.559
65-103,M,Wisconsin,0.0,0.0,0.0,1.0
65-103,M,Wyoming,0.596,0.0,0.091,0.313
