age,gender,state,Prescribe_Telmisartan_20_Mg_Oral_Tablet,Prescribe_Telmisartan_20_Mg_Oral_Tablet_Micardis,Prescribe_Telmisartan_40_Mg_Oral_Tablet,Prescribe_Telmisartan_80_Mg_Oral_Tablet,Prescribe_Telmisartan_80_Mg_Oral_Tablet_Micardis
65-103,F,Kansas,0.0,0.0,0.0,1.0,0.0
65-103,F,Kentucky,0.0,0.0,0.255,0.745,0.0
65-103,F,Louisiana,0.0,0.0,0.255,0.745,0.0
65-103,F,Maryland,0.0,0.0,0.255,0.745,0.0
65-103,F,Michigan,0.0,0.0,0.0,1.0,0.0
65-103,F,Minnesota,0.0,0.0,0.0,1.0,0.0
65-103,F,Mississippi,0.0,0.0,0.255,0.745,0.0
65-103,F,Missouri,0.0,0.0,0.0,1.0,0.0
65-103,F,Montana,0.0,0.0,1.0,0.0,0.0
65-103,F,Nebraska,0.0,0.0,0.0,1.0,0.0
65-103,F,Nevada,0.0,0.0,1.0,0.0,0.0
65-103,F,New Mexico,0.0,0.0,1.0,0.0,0.0
65-103,F,North Carolina,0.0,0.0,0.255,0.745,0.0
65-103,F,North Dakota,0.0,0.0,0.0,1.0,0.0
65-103,F,Ohio,0.0,0.0,0.0,1.0,0.0
65-103,F,Oklahoma,0.0,0.0,0.255,0.745,0.0
65-103,F,Oregon,0.0,0.0,1.0,0.0,0.0
65-103,F,South Carolina,0.0,0.0,0.255,0.745,0.0
65-103,F,South Dakota,0.0,0.0,0.0,1.0,0.0
65-103,F,Tennessee,0.0,0.0,0.255,0.745,0.0
65-103,F,Texas,0.0,0.0,0.255,0.745,0.0
65-103,F,Utah,0.0,0.0,1.0,0.0,0.0
65-103,F,Virginia,0.0,0.0,0.255,0.745,0.0
65-103,F,Washington,0.0,0.0,1.0,0.0,0.0
65-103,F,West Virginia,0.0,0.0,0.255,0.745,0.0
65-103,F,Wisconsin,0.0,0.0,0.0,1.0,0.0
65-103,F,Wyoming,0.0,0.0,1.0,0.0,0.0
65-103,M,Alabama,0.0,0.0,0.605,0.104,0.291
65-103,M,Alaska,0.0,0.0,0.0,0.659,0.341
65-103,M,Arizona,0.0,0.0,0.0,0.659,0.341
65-103,M,Arkansas,0.0,0.0,0.605,0.104,0.291
65-103,M,California,0.0,0.0,0.0,0.659,0.341
65-103,M,Colorado,0.0,0.0,0.0,0.659,0.341
65-103,M,Connecticut,0.0,0.0,0.0,0.5,0.5
65-103,M,Delaware,0.0,0.0,0.605,0.104,0.291
65-103,M,District of Columbia,0.0,0.0,0.605,0.104,0.291
65-103,M,Florida,0.0,0.0,0.605,0.104,0.291
65-103,M,Georgia,0.0,0.0,0.605,0.104,0.291
65-103,M,Hawaii,0.0,0.0,0.0,0.659,0.341
65-103,M,Idaho,0.0,0.0,0.0,0.659,0.341
65-103,M,Illinois,0.0,0.0,0.0,0.5,0.5
65-103,M,Indiana,0.0,0.0,0.0,0.5,0.5
65-103,M,Iowa,0.0,0.0,0.0,0.5,0.5
65-103,M,Kansas,0.0,0.0,0.0,0.5,0.5
65-103,M,Kentucky,0.0,0.0,0.605,0.104,0.291
65-103,M,Louisiana,0.0,0.0,0.605,0.104,0.291
65-103,M,Maine,0.0,0.0,0.0,0.5,0.5
65-103,M,Maryland,0.0,0.0,0.605,0.104,0.291
65-103,M,Massachusetts,0.0,0.0,0.0,0.5,0.5
65-103,M,Michigan,0.0,0.0,0.0,0.5,0.5
65-103,M,Minnesota,0.0,0.0,0.0,0.5,0.5
65-103,M,Mississippi,0.0,0.0,0.605,0.104,0.291
65-103,M,Missouri,0.0,0.0,0.0,0.5,0.5
65-103,M,Montana,0.0,0.0,0.0,0.659,0.341
65-103,M,Nebraska,0.0,0.0,0.0,0.5,0.5
65-103,M,Nevada,0.0,0.0,0.0,0.659,0.341
65-103,M,New Hampshire,0.0,0.0,0.0,0.5,0.5
65-103,M,New Jersey,0.0,0.0,0.0,0.5,0.5
65-103,M,New Mexico,0.0,0.0,0.0,0.659,0.341
65-103,M,New York,0.0,0.0,0.0,0.5,0.5
65-103,M,North Carolina,0.0,0.0,0.605,0.104,0.291
65-103,M,North Dakota,0.0,0.0,0.0,0.5,0.5
65-103,M,Ohio,0.0,0.0,0.0,0.5,0.5
65-103,M,Oklahoma,0.0,0.0,0.605,0.104,0.291
65-103,M,Oregon,0.0,0.0,0.0,0.659,0.341
65-103,M,Pennsylvania,0.0,0.0,0.0,0.5,0.5
65-103,M,Rhode Island,0.0,0.0,0.0,0.5,0.5
65-103,M,South Carolina,0.0,0.0,0.605,0.104,0.291
65-103,M,South Dakota,0.0,0.0,0.0,0.5,0.5
65-103,M,Tennessee,0.0,0.0,0.605,0.104,0.291
65-103,M,Texas,0.0,0.0,0.605,0.104,0.291
65-103,M,Utah,0.0,0.0,0.0,0.659,0.341
65-103,M,Vermont,0.0,0.0,0.0,0.5,0.5
65-103,M,Virginia,0.0,0.0,0.605,0.104,0.291
65-103,M,Washington,0.0,0.0,0.0,0.659,0.341
65-103,M,West Virginia,0.0,0.0,0.605,0.104,0.291
65-103,M,Wisconsin,0.0,0.0,0.0,0.5,0.5
65-103,M,Wyoming,0.0,0.0,0.0,0.659,0.341
