age,gender,state,Prescribe_Enalapril_Maleate_10_Mg_Oral_Tablet,Prescribe_Enalapril_Maleate_1_Mg_Ml_Oral_Solution_Epaned,Prescribe_Enalapril_Maleate_20_Mg_Oral_Tablet,Prescribe_Enalapril_Maleate_2_5_Mg_Oral_Tablet,Prescribe_Enalapril_Maleate_5_Mg_Oral_Tablet
36-45,F,Florida,0.0,0.0,1.0,0.0,0.0
36-45,F,Georgia,0.0,0.0,1.0,0.0,0.0
36-45,F,Kentucky,0.0,0.0,1.0,0.0,0.0
36-45,F,Louisiana,0.0,0.0,1.0,0.0,0.0
36-45,F,Maine,1.0,0.0,0.0,0.0,0.0
36-45,F,Maryland,0.0,0.0,1.0,0.0,0.0
36-45,F,Massachusetts,1.0,0.0,0.0,0.0,0.0
36-45,F,Mississippi,0.0,0.0,1.0,0.0,0.0
36-45,F,New Hampshire,1.0,0.0,0.0,0.0,0.0
36-45,F,New Jersey,1.0,0.0,0.0,0.0,0.0
36-45,F,New York,1.0,0.0,0.0,0.0,0.0
36-45,F,North Carolina,0.0,0.0,1.0,0.0,0.0
36-45,F,Oklahoma,0.0,0.0,1.0,0.0,0.0
36-45,F,Pennsylvania,1.0,0.0,0.0,0.0,0.0
36-45,F,Rhode Island,1.0,0.0,0.0,0.0,0.0
36-45,F,South Carolina,0.0,0.0,1.0,0.0,0.0
36-45,F,Tennessee,0.0,0.0,1.0,0.0,0.0
36-45,F,Texas,0.0,0.0,1.0,0.0,0.0
36-45,F,Vermont,1.0,0.0,0.0,0.0,0.0
36-45,F,Virginia,0.0,0.0,1.0,0.0,0.0
36-45,F,West Virginia,0.0,0.0,1.0,0.0,0.0
36-45,M,Illinois,0.452,0.0,0.548,0.0,0.0
36-45,M,Indiana,0.452,0.0,0.548,0.0,0.0
36-45,M,Iowa,0.452,0.0,0.548,0.0,0.0
36-45,M,Kansas,0.452,0.0,0.548,0.0,0.0
36-45,M,Michigan,0.452,0.0,0.548,0.0,0.0
36-45,M,Minnesota,0.452,0.0,0.548,0.0,0.0
36-45,M,Missouri,0.452,0.0,0.548,0.0,0.0
36-45,M,Nebraska,0.452,0.0,0.548,0.0,0.0
36-45,M,North Dakota,0.452,0.0,0.548,0.0,0.0
36-45,M,Ohio,0.452,0.0,0.548,0.0,0.0
36-45,M,South Dakota,0.452,0.0,0.548,0.0,0.0
36-45,M,Wisconsin,0.452,0.0,0.548,0.0,0.0
4-7,M,Alabama,0.0,1.0,0.0,0.0,0.0
4-7,M,Arkansas,0.0,1.0,0.0,0.0,0.0
4-7,M,Delaware,0.0,1.0,0.0,0.0,0.0
4-7,M,District of Columbia,0.0,1.0,0.0,0.0,0.0
4-7,M,Florida,0.0,1.0,0.0,0.0,0.0
4-7,M,Georgia,0.0,1.0,0.0,0.0,0.0
4-7,M,Kentucky,0.0,1.0,0.0,0.0,0.0
4-7,M,Louisiana,0.0,1.0,0.0,0.0,0.0
4-7,M,Maryland,0.0,1.0,0.0,0.0,0.0
4-7,M,Mississippi,0.0,1.0,0.0,0.0,0.0
4-7,M,North Carolina,0.0,1.0,0.0,0.0,0.0
4-7,M,Oklahoma,0.0,1.0,0.0,0.0,0.0
4-7,M,South Carolina,0.0,1.0,0.0,0.0,0.0
4-7,M,Tennessee,0.0,1.0,0.0,0.0,0.0
4-7,M,Texas,0.0,1.0,0.0,0.0,0.0
4-7,M,Virginia,0.0,1.0,0.0,0.0,0.0
4-7,M,West Virginia,0.0,1.0,0.0,0.0,0.0
46-65,F,Alabama,0.452,0.0,0.116,0.0,0.432
46-65,F,Arkansas,0.452,0.0,0.116,0.0,0.432
46-65,F,Connecticut,0.423,0.0,0.358,0.117,0.102
46-65,F,Delaware,0.452,0.0,0.116,0.0,0.432
46-65,F,District of Columbia,0.452,0.0,0.116,0.0,0.432
46-65,F,Florida,0.452,0.0,0.116,0.0,0.432
46-65,F,Georgia,0.452,0.0,0.116,0.0,0.432
46-65,F,Kentucky,0.452,0.0,0.116,0.0,0.432
46-65,F,Louisiana,0.452,0.0,0.116,0.0,0.432
46-65,F,Maine,0.423,0.0,0.358,0.117,0.102
46-65,F,Maryland,0.452,0.0,0.116,0.0,0.432
46-65,F,Massachusetts,0.423,0.0,0.358,0.117,0.102
46-65,F,Mississippi,0.452,0.0,0.116,0.0,0.432
46-65,F,New Hampshire,0.423,0.0,0.358,0.117,0.102
46-65,F,New Jersey,0.423,0.0,0.358,0.117,0.102
46-65,F,New York,0.423,0.0,0.358,0.117,0.102
46-65,F,North Carolina,0.452,0.0,0.116,0.0,0.432
46-65,F,Oklahoma,0.452,0.0,0.116,0.0,0.432
46-65,F,Pennsylvania,0.423,0.0,0.358,0.117,0.102
46-65,F,Rhode Island,0.423,0.0,0.358,0.117,0.102
46-65,F,South Carolina,0.452,0.0,0.116,0.0,0.432
46-65,F,Tennessee,0.452,0.0,0.116,0.0,0.432
46-65,F,Texas,0.452,0.0,0.116,0.0,0.432
46-65,F,Vermont,0.423,0.0,0.358,0.117,0.102
46-65,F,Virginia,0.452,0.0,0.116,0.0,0.432
46-65,F,West Virginia,0.452,0.0,0.116,0.0,0.432
46-65,M,Alabama,0.415,0.0,0.486,0.0,0.098
46-65,M,Alaska,0.669,0.0,0.331,0.0,0.0
46-65,M,Arizona,0.669,0.0,0.331,0.0,0.0
46-65,M,Arkansas,0.415,0.0,0.486,0.0,0.098
46-65,M,California,0.669,0.0,0.331,0.0,0.0
46-65,M,Colorado,0.669,0.0,0.331,0.0,0.0
46-65,M,Connecticut,0.534,0.0,0.297,0.0,0.169
46-65,M,Delaware,0.415,0.0,0.486,0.0,0.098
46-65,M,District of Columbia,0.415,0.0,0.486,0.0,0.098
46-65,M,Florida,0.415,0.0,0.486,0.0,0.098
46-65,M,Georgia,0.415,0.0,0.486,0.0,0.098
46-65,M,Hawaii,0.669,0.0,0.331,0.0,0.0
46-65,M,Idaho,0.669,0.0,0.331,0.0,0.0
46-65,M,Illinois,0.393,0.0,0.237,0.157,0.212
46-65,M,Indiana,0.393,0.0,0.237,0.157,0.212
46-65,M,Iowa,0.393,0.0,0.237,0.157,0.212
46-65,M,Kansas,0.393,0.0,0.237,0.157,0.212
46-65,M,Kentucky,0.415,0.0,0.486,0.0,0.098
46-65,M,Louisiana,0.415,0.0,0.486,0.0,0.098
46-65,M,Maine,0.534,0.0,0.297,0.0,0.169
46-65,M,Maryland,0.415,0.0,0.486,0.0,0.098
46-65,M,Massachusetts,0.534,0.0,0.297,0.0,0.169
46-65,M,Michigan,0.393,0.0,0.237,0.157,0.212
46-65,M,Minnesota,0.393,0.0,0.237,0.157,0.212
46-65,M,Mississippi,0.415,0.0,0.486,0.0,0.098
46-65,M,Missouri,0.393,0.0,0.237,0.157,0.212
46-65,M,Montana,0.669,0.0,0.331,0.0,0.0
46-65,M,Nebraska,0.393,0.0,0.237,0.157,0.212
46-65,M,Nevada,0.669,0.0,0.331,0.0,0.0
46-65,M,New Hampshire,0.534,0.0,0.297,0.0,0.169
46-65,M,New Jersey,0.534,0.0,0.297,0.0,0.169
46-65,M,New Mexico,0.669,0.0,0.331,0.0,0.0
46-65,M,New York,0.534,0.0,0.297,0.0,0.169
46-65,M,North Carolina,0.415,0.0,0.486,0.0,0.098
46-65,M,North Dakota,0.393,0.0,0.237,0.157,0.212
46-65,M,Ohio,0.393,0.0,0.237,0.157,0.212
46-65,M,Oklahoma,0.415,0.0,0.486,0.0,0.098
46-65,M,Oregon,0.669,0.0,0.331,0.0,0.0
46-65,M,Pennsylvania,0.534,0.0,0.297,0.0,0.169
46-65,M,Rhode Island,0.534,0.0,0.297,0.0,0.169
46-65,M,South Carolina,0.415,0.0,0.486,0.0,0.098
46-65,M,South Dakota,0.393,0.0,0.237,0.157,0.212
46-65,M,Tennessee,0.415,0.0,0.486,0.0,0.098
46-65,M,Texas,0.415,0.0,0.486,0.0,0.098
46-65,M,Utah,0.669,0.0,0.331,0.0,0.0
46-65,M,Vermont,0.534,0.0,0.297,0.0,0.169
46-65,M,Virginia,0.415,0.0,0.486,0.0,0.098
46-65,M,Washington,0.669,0.0,0.331,0.0,0.0
46-65,M,West Virginia,0.415,0.0,0.486,0.0,0.098
46-65,M,Wisconsin,0.393,0.0,0.237,0.157,0.212
46-65,M,Wyoming,0.669,0.0,0.331,0.0,0.0
65-103,F,Alabama,0.152,0.0,0.475,0.034,0.34
65-103,F,Alaska,0.106,0.0,0.757,0.136,0.0
65-103,F,Arizona,0.106,0.0,0.757,0.136,0.0
65-103,F,Arkansas,0.152,0.0,0.475,0.034,0.34
65-103,F,California,0.106,0.0,0.757,0.136,0.0
65-103,F,Colorado,0.106,0.0,0.757,0.136,0.0
65-103,F,Connecticut,0.111,0.0,0.627,0.221,0.041
65-103,F,Delaware,0.152,0.0,0.475,0.034,0.34
65-103,F,District of Columbia,0.152,0.0,0.475,0.034,0.34
65-103,F,Florida,0.152,0.0,0.475,0.034,0.34
65-103,F,Georgia,0.152,0.0,0.475,0.034,0.34
65-103,F,Hawaii,0.106,0.0,0.757,0.136,0.0
65-103,F,Idaho,0.106,0.0,0.757,0.136,0.0
65-103,F,Illinois,0.142,0.0,0.596,0.262,0.0
65-103,F,Indiana,0.142,0.0,0.596,0.262,0.0
65-103,F,Iowa,0.142,0.0,0.596,0.262,0.0
65-103,F,Kansas,0.142,0.0,0.596,0.262,0.0
65-103,F,Kentucky,0.152,0.0,0.475,0.034,0.34
65-103,F,Louisiana,0.152,0.0,0.475,0.034,0.34
65-103,F,Maine,0.111,0.0,0.627,0.221,0.041
65-103,F,Maryland,0.152,0.0,0.475,0.034,0.34
65-103,F,Massachusetts,0.111,0.0,0.627,0.221,0.041
65-103,F,Michigan,0.142,0.0,0.596,0.262,0.0
65-103,F,Minnesota,0.142,0.0,0.596,0.262,0.0
65-103,F,Mississippi,0.152,0.0,0.475,0.034,0.34
65-103,F,Missouri,0.142,0.0,0.596,0.262,0.0
65-103,F,Montana,0.106,0.0,0.757,0.136,0.0
65-103,F,Nebraska,0.142,0.0,0.596,0.262,0.0
65-103,F,Nevada,0.106,0.0,0.757,0.136,0.0
65-103,F,New Hampshire,0.111,0.0,0.627,0.221,0.041
65-103,F,New Jersey,0.111,0.0,0.627,0.221,0.041
65-103,F,New Mexico,0.106,0.0,0.757,0.136,0.0
65-103,F,New York,0.111,0.0,0.627,0.221,0.041
65-103,F,North Carolina,0.152,0.0,0.475,0.034,0.34
65-103,F,North Dakota,0.142,0.0,0.596,0.262,0.0
65-103,F,Ohio,0.142,0.0,0.596,0.262,0.0
65-103,F,Oklahoma,0.152,0.0,0.475,0.034,0.34
65-103,F,Oregon,0.106,0.0,0.757,0.136,0.0
65-103,F,Pennsylvania,0.111,0.0,0.627,0.221,0.041
65-103,F,Rhode Island,0.111,0.0,0.627,0.221,0.041
65-103,F,South Carolina,0.152,0.0,0.475,0.034,0.34
65-103,F,South Dakota,0.142,0.0,0.596,0.262,0.0
65-103,F,Tennessee,0.152,0.0,0.475,0.034,0.34
65-103,F,Texas,0.152,0.0,0.475,0.034,0.34
65-103,F,Utah,0.106,0.0,0.757,0.136,0.0
65-103,F,Vermont,0.111,0.0,0.627,0.221,0.041
65-103,F,Virginia,0.152,0.0,0.475,0.034,0.34
65-103,F,Washington,0.106,0.0,0.757,0.136,0.0
65-103,F,West Virginia,0.152,0.0,0.475,0.034,0.34
65-103,F,Wisconsin,0.142,0.0,0.596,0.262,0.0
65-103,F,Wyoming,0.106,0.0,0.757,0.136,0.0
65-103,M,Alabama,0.202,0.0,0.332,0.189,0.277
65-103,M,Arkansas,0.202,0.0,0.332,0.189,0.277
65-103,M,Connecticut,0.737,0.0,0.0,0.141,0.122
65-103,M,Delaware,0.202,0.0,0.332,0.189,0.277
65-103,M,District of Columbia,0.202,0.0,0.332,0.189,0.277
65-103,M,Florida,0.202,0.0,0.332,0.189,0.277
65-103,M,Georgia,0.202,0.0,0.332,0.189,0.277
65-103,M,Illinois,0.251,0.0,0.313,0.349,0.087
65-103,M,Indiana,0.251,0.0,0.313,0.349,0.087
65-103,M,Iowa,0.251,0.0,0.313,0.349,0.087
65-103,M,Kansas,0.251,0.0,0.313,0.349,0.087
65-103,M,Kentucky,0.202,0.0,0.332,0.189,0.277
65-103,M,Louisiana,0.202,0.0,0.332,0.189,0.277
65-103,M,Maine,0.737,0.0,0.0,0.141,0.122
65-103,M,Maryland,0.202,0.0,0.332,0.189,0.277
65-103,M,Massachusetts,0.737,0.0,0.0,0.141,0.122
65-103,M,Michigan,0.251,0.0,0.313,0.349,0.087
65-103,M,Minnesota,0.251,0.0,0.313,0.349,0.087
65-103,M,Mississippi,0.202,0.0,0.332,0.189,0.277
65-103,M,Missouri,0.251,0.0,0.313,0.349,0.087
65-103,M,Nebraska,0.251,0.0,0.313,0.349,0.087
65-103,M,New Hampshire,0.737,0.0,0.0,0.141,0.122
65-103,M,New Jersey,0.737,0.0,0.0,0.141,0.122
65-103,M,New York,0.737,0.0,0.0,0.141,0.122
65-103,M,North Carolina,0.202,0.0,0.332,0.189,0.277
65-103,M,North Dakota,0.251,0.0,0.313,0.349,0.087
65-103,M,Ohio,0.251,0.0,0.313,0.349,0.087
65-103,M,Oklahoma,0.202,0.0,0.332,0.189,0.277
65-103,M,Pennsylvania,0.737,0.0,0.0,0.141,0.122
65-103,M,Rhode Island,0.737,0.0,0.0,0.141,0.122
65-103,M,South Carolina,0.202,0.0,0.332,0.189,0.277
65-103,M,South Dakota,0.251,0.0,0.313,0.349,0.087
65-103,M,Tennessee,0.202,0.0,0.332,0.189,0.277
65-103,M,Texas,0.202,0.0,0.332,0.189,0.277
65-103,M,Vermont,0.737,0.0,0.0,0.141,0.122
65-103,M,Virginia,0.202,0.0,0.332,0.189,0.277
65-103,M,West Virginia,0.202,0.0,0.332,0.189,0.277
65-103,M,Wisconsin,0.251,0.0,0.313,0.349,0.087
