age,gender,state,Prescribe_Hydrochlorothiazide_12_5_Mg_Lisinopril_10_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_12_5_Mg_Lisinopril_20_Mg_Oral_Tablet,Prescribe_Hydrochlorothiazide_25_Mg_Lisinopril_20_Mg_Oral_Tablet
65-103,F,Maine,0.019,0.596,0.385
65-103,F,Maryland,0.357,0.388,0.254
65-103,F,Massachusetts,0.019,0.596,0.385
65-103,F,Michigan,0.177,0.39,0.432
65-103,F,Minnesota,0.177,0.39,0.432
65-103,F,Mississippi,0.357,0.388,0.254
65-103,F,Missouri,0.177,0.39,0.432
65-103,F,Montana,0.46,0.54,0.0
65-103,F,Nebraska,0.177,0.39,0.432
65-103,F,Nevada,0.46,0.54,0.0
65-103,F,New Hampshire,0.019,0.596,0.385
65-103,F,New Jersey,0.019,0.596,0.385
65-103,F,New Mexico,0.46,0.54,0.0
65-103,F,New York,0.019,0.596,0.385
65-103,F,North Carolina,0.357,0.388,0.254
65-103,F,North Dakota,0.177,0.39,0.432
65-103,F,Ohio,0.177,0.39,0.432
65-103,F,Oklahoma,0.357,0.388,0.254
65-103,F,Oregon,0.46,0.54,0.0
65-103,F,Pennsylvania,0.019,0.596,0.385
65-103,F,Rhode Island,0.019,0.596,0.385
65-103,F,South Carolina,0.357,0.388,0.254
65-103,F,South Dakota,0.177,0.39,0.432
65-103,F,Tennessee,0.357,0.388,0.254
65-103,F,Texas,0.357,0.388,0.254
65-103,F,Utah,0.46,0.54,0.0
65-103,F,Vermont,0.019,0.596,0.385
65-103,F,Virginia,0.357,0.388,0.254
65-103,F,Washington,0.46,0.54,0.0
65-103,F,West Virginia,0.357,0.388,0.254
65-103,F,Wisconsin,0.177,0.39,0.432
65-103,F,Wyoming,0.46,0.54,0.0
65-103,M,Alabama,0.374,0.352,0.274
65-103,M,Alaska,0.173,0.583,0.244
65-103,M,Arizona,0.173,0.583,0.244
65-103,M,Arkansas,0.374,0.352,0.274
65-103,M,California,0.173,0.583,0.244
65-103,M,Colorado,0.173,0.583,0.244
65-103,M,Connecticut,0.346,0.371,0.283
65-103,M,Delaware,0.374,0.352,0.274
65-103,M,District of Columbia,0.374,0.352,0.274
65-103,M,Florida,0.374,0.352,0.274
65-103,M,Georgia,0.374,0.352,0.274
65-103,M,Hawaii,0.173,0.583,0.244
65-103,M,Idaho,0.173,0.583,0.244
65-103,M,Illinois,0.327,0.484,0.188
65-103,M,Indiana,0.327,0.484,0.188
65-103,M,Iowa,0.327,0.484,0.188
65-103,M,Kansas,0.327,0.484,0.188
65-103,M,Kentucky,0.374,0.352,0.274
65-103,M,Louisiana,0.374,0.352,0.274
65-103,M,Maine,0.346,0.371,0.283
65-103,M,Maryland,0.374,0.352,0.274
65-103,M,Massachusetts,0.346,0.371,0.283
65-103,M,Michigan,0.327,0.484,0.188
65-103,M,Minnesota,0.327,0.484,0.188
65-103,M,Mississippi,0.374,0.352,0.274
65-103,M,Missouri,0.327,0.484,0.188
65-103,M,Montana,0.173,0.583,0.244
65-103,M,Nebraska,0.327,0.484,0.188
65-103,M,Nevada,0.173,0.583,0.244
65-103,M,New Hampshire,0.346,0.371,0.283
65-103,M,New Jersey,0.346,0.371,0.283
65-103,M,New Mexico,0.173,0.583,0.244
65-103,M,New York,0.346,0.371,0.283
65-103,M,North Carolina,0.374,0.352,0.274
65-103,M,North Dakota,0.327,0.484,0.188
65-103,M,Ohio,0.327,0.484,0.188
65-103,M,Oklahoma,0.374,0.352,0.274
65-103,M,Oregon,0.173,0.583,0.244
65-103,M,Pennsylvania,0.346,0.371,0.283
65-103,M,Rhode Island,0.346,0.371,0.283
65-103,M,South Carolina,0.374,0.352,0.274
65-103,M,South Dakota,0.327,0.484,0.188
65-103,M,Tennessee,0.374,0.352,0.274
65-103,M,Texas,0.374,0.352,0.274
65-103,M,Utah,0.173,0.583,0.244
65-103,M,Vermont,0.346,0.371,0.283
65-103,M,Virginia,0.374,0.352,0.274
65-103,M,Washington,0.173,0.583,0.244
65-103,M,West Virginia,0.374,0.352,0.274
65-103,M,Wisconsin,0.327,0.484,0.188
65-103,M,Wyoming,0.173,0.583,0.244
